value_name,description,
leaflet,folded page or pages printed on both sides,
flier,"single, unfolded page that may only be printed on one side",
newsletter,"publication issued periodically to the members of a society, business, or organization",
social,events of a leisurely nature for community fun and bonding,
political,events relating to the ideas or strategies of a particular party or group in politics,
