id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,Adventures of Huckleberry Finn (Tom Sawyer's comrade): Scene: the Mississippi Valley. Time: forty to fifty years ago,Adventures of Huckleberry Finn,Huckleberry Finn,"Twain, Mark, 1835-1910","Kemble, E. W. (Edward Windsor), 1861-1933 (illustrator)|||J.J. Little & Co (printer)","New York: :|||[New York, New York] :","Charles L. Webster and Company.,|||Press of J.J. Little & Co. nos. 10 to 20 Astor Place, New York.|||Charles L. Webster and Company",1885.,1885||||||1885.,,1884,,monographic,English,text,print|||unmediated|||volume,"366, [2] pages, 1 unnumbered leaf of plates : illustrations, portrait ; 22 cm",Action and adventure fiction|||Adventure stories|||Bildungsromans|||Fiction|||Humorous fiction|||Humorous stories|||Juvenile literature|||Rare books|||novel|||still image|||text,"Recounts the adventures of a young boy and an escaped slave as they travel down the Mississippi River on a raft, and tells of the people they encounter, including a pair of swindlers and two families in a feud.","Runaway children|||Male friendship|||Fugitive slaves|||Race relations|||Boys|||(Fictitious character) Finn, Huckleberry",,"Missouri|||United States, New York, New York|||Mississippi River",,763070,,31035230,ocm06010580|||6010580,,,
,"Adventures of Kamoula, the lovely Arabian, or, A vindication of the ways of providence: exemplified in the triumph of virtue and innocence over corruption, perjury, and malice, The",,A vindication of the ways of providence,,,London,"Printed by J.S. Hollis, Romsey, for Lackington, Allen and Co. ...",1801,1801,,,,monographic,English,text,print,"4⁾, 156, 2⁾ p., 1⁾ leaf of plates : ill. ; 15 cm.",,,Tales|||Conduct of life|||Juvenile fiction,,,juvenile,1076897,,,14909554,,,
,"adventures of Mother Hubbard and her dog, The",Old Mother Hubbard,Dunigan's edition,"Martin, Sarah Catherine, 1768-1826",,New York,"Edward Dunigan & Brother, 151 Fulton-st.",[not before 1852?],[not before 1852?]||||||1852,,,,monographic,English,text,print,15 (i.e. 8) p. : ill. ; 20 cm.,Juvenile poetry,,Dogs,,,juvenile,6827343,,,ocm34264146,,,
,"Adventures of Robert, Earl of Huntingdon: commonly called Robin Hood, the famous English archer, The",Robin Hood,,,,Baltimore,Printed and sold by William Warner,1812,1812,,,,monographic,English,text,print,"110, 2⁾ p. ; 14 cm.",,,,,,juvenile,1082424,,,20680591,,,
,"adventures of Robinson Crusoe, The",,,,"Defoe, Daniel, 1661?-1731",Leeds :,"J. Roberts,",[approximately 1820],1820||||||[approximately 1820],,,,monographic,English,text,print|||unmediated|||volume,12 pages : illustrations ; 11 cm,Juvenile fiction|||Specimens|||text,,"Crusoe, Robinson (Fictitious character)|||Shipwreck survival|||Chapbooks, English|||Chapbooks|||Castaways|||Islands",,Atlantic Ocean,juvenile,7896466,,,ocn926104455,,,
,"adventures of Teasing Tom and Naughty Ned with a spool of Clark's O.N.T. cotton, The",,,,"Clark Thread Company|||Clark, George A.",New York,"F.B. Patterson|||Patterson, F. B.",c1879,c1879||||||1879,,,,monographic,English,text,print,[8] p. : ill. ; 12 cm.,Juvenile poetry,,Children|||Conduct of life|||Thread|||Malicious mischief|||Birds,,"United States, New York, New York",juvenile,6827600,,,ocm10646692,,,
,"Adventures of the beautiful little maid Cinderilla, or, The history of a glass slipper: to which is added, An historical description of the cat",Cinderella. English,"History of a glass slipper|||Historical description of the cat|||Surprising adventures of Cinderilla, or, The history of a glass slipper|||Cinderilla, or, The little glass slipper",,,York,"Printed and sold by J. Kendrew, Colliergate",[1820?],[1820?]||||||1820,,,,monographic,English,text,print,31 p. : ill. ; 11 cm.,Chapbooks|||Fairy tales|||Juvenile literature,,Conduct of life,,,juvenile,6343154,,26022742,ocm04710574,,,
,"adventures of three Englishmen and three Russians in Southern Africa, The",Aventures de trois Russes et de trois Anglais. English,,"Verne, Jules, 1828-1905","Frith, Henry, 1840-",London|||Glasgow|||New York,George Routledge and Sons,[1887],[1887]||||||1887,,,,monographic,English,text,print,176 p. ; 18 cm.,Fiction,"Three Englishmen and three Russians and their guide, a bushman named Mokoum, set out to measure the arc of the meridian in the Kalahari Desert. During the expedition war is declared between England and Russia.",Scientific expeditions|||Indigenous peoples|||Hunting stories|||Hunting,,"Kalahari Desert|||Africa|||Africa, Southern",juvenile,7912032,,,ocn317553148,,,
,"adventures of Tom Sawyer, The",,Tom Sawyer,"Twain, Mark, 1835-1910",,"Hartford, Conn|||Chicago, Ill",American Pub. Co.,1884,1884,,,,monographic,English,text,print|||unmediated|||volume,"6 preliminary leaves, [17]-274, [1] pages including frontispiece, illustrations 22 cm",Fiction|||text,,,,Missouri|||Mississippi River,,8161152,,,ocm04727192,,,
,"adventures of William Waters, and his ass Bob: ornamented with neat wood cuts, The",,William Waters and his ass Bob|||William Waters|||History of William Waters and his ass Bob,,,Otley,"Printed by and for W. Walker, at the Wharfdale, Stanhope Press",[approximately 1815?],[approximately 1815?]||||||1815,,,,monographic,English,text,print|||unmediated|||volume,"16, [1] pages : illustrations ; 11 cm",Juvenile literature|||Juvenile works|||Specimens|||text,,"Conduct of life|||Chapbooks, English",19th century,,juvenile,9635632,,,ocm31043873|||31043873,,,
