id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,"Blown to bits, or, The lonely man of Rakata: a tale of the Malay Archipelago",,Lonely man of Rakata,"Ballantyne, R. M. (Robert Michael), 1825-1894","Ballantyne, R. M. (Robert Michael), 1825-1894 (ill)|||T. and A. Constable (prt)|||Edinburgh University Press (prt)",New York,Thomas Nelson and Son|||Thomas Nelson & Son,1889,1889,,,,monographic,English,text,print,"vii, 438 p., [5] leaves of plates : front., ill. ; 19 cm.",Juvenile fiction|||novel,,Children|||Conduct of life|||Hermits|||Islands|||Canoes and canoeing|||Volcanoes|||Friendship|||Pirates|||Adventure stories|||Hunting stories|||Nature stories|||Murder,,"Indonesia|||Krakatoa (Indonesia)|||Malay Archipelago|||Scotland, Edinburgh|||Southeast Asia|||United States, New York, New York",juvenile,7112051,,,ocm06540834,,,
,Blue beard,,Bluebeard,,"Perrault, Charles, 1628-1703",Glasgow,"William Gage, 66 Nelson Street (City)",[between 1800 and 1899],[between 1800 and 1899]||||||18uu,,,,monographic,English,text,print|||unmediated|||volume,11 pages : illustrations (some color) ; 18 cm.,Fiction|||Juvenile fiction|||Juvenile works|||Specimens|||text,,"Chapbooks|||Chapbooks, Scottish|||Bluebeard (Legendary character)|||(Legendary character) Bluebeard",,"Scotland, Glasgow",juvenile,8934494,,,on1000302881,,,
,"blue bells on the lea: & ten other tales in verse, The",,,"Ewing, Juliana Horatia, 1841-1885","Andre, R. (ill)",London|||New York,Society for Promoting Christian Knowledge|||Young,1884,1884,,,,monographic,English,text,print,172 p. : ill. ; 16 x 18 cm.,,,Children's poetry,,,juvenile,1031078,,,15133848,,,
,"Blue fairy book, The",,,"Lang, Andrew, 1844-1912","Ford, H. J. (Henry Justice), 1860-1941 (ill)|||Jacomb Hood, G. P. (George Percy), 1857-1929 (ill)",New York,Hurst & Company,[19--?],[19--?]|||1880/1910,,,,monographic,English,text,print,"x,337 p. : ill. ; 19 cm.",,,Fairy tales,,,juvenile,4414056,,,ocm20406765,,,
,"Blue lights; or, Hot work in the Soudan: a tale of soldier life in several of its phases",,,"Ballantyne, R. M. (Robert Michael), 1825-1894",,New York,T. Nelson and Sons,1888,1888,,,,monographic,English,text,print,"vii, [1], 425 p., [5] leaves of plates : ill. ; 19 cm.",,,,,,,7112153,,08007693,ocm05373769,,,
,Bluebeard's picture book,,Bluebeard|||Sleeping beauty|||Baby's own alphabet,"Crane, Walter, 1845-1915",,London,John Lane,[pref. 1899],[pref. 1899]||||||1899,,,,monographic,English,text,print,"8, 8, 8 ℓ. : ill. 18 cm.",,,Fairy tales,,,juvenile,5796397,,,ocm02978673|||2978673,,,
,"Bo-Peep story books: Old Mother Hubbard, Little Bo-peep, &c",,,,"Chatelain, Clara de, 1807-1876",New York,Leavitt & Allen,[185-?],[185-?]||||||185u,,,,monographic,English,text,print,[96] p. : ill. ; 13 cm.,,,Children's stories|||Fairy tales,,,,7893361,,,ocm30760012,,,
,"boat club, or, The Bunkers of Rippleton, The",,Boat club|||Bunkers of Rippleton,"Optic, Oliver, 1822-1897",,Boston,Lee and Shepard|||Lee and Shepard,©1896,©1896||||||1896,,,"New ed., rev. and enl.",monographic,English,text,print|||unmediated|||volume,"321, [6] pages, [4] leaves of plates : illustrations ; 18 cm.",Fiction|||Juvenile fiction|||Juvenile works|||Publishers' advertisements-1896|||novel|||text,,Boys|||Conduct of life|||Truthfulness and falsehood|||Boats and boating|||Rowing clubs|||Friendship,,"United States, Massachusetts, Boston",juvenile,8365709,,,ocm04142130,,,
,"boatman's daughter: a narrative for the learned and unlearned, The",,,"Barrett, Alfred, 1808-1876","Kidder, Daniel P. (Daniel Parish), 1815-1891",New York (200 Mulberry Street),Published by Carlton & Phillips,1853,1853,,,,monographic,English,text,print,152 p. : ill. ; 16 cm.,Fiction,,Christian life,,,,5816121,,,ocm20299916,,,
,"Bob, son of Battle",,,"Ollivant, Alfred, 1874-1927",,New York :,"Doubleday & McClure Company,",1899.,1899||||||1899.,,1898,,monographic,English,text,print|||unmediated|||volume,"vi, 356 pages ; 19 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,"Two sheep farmers and their sheepdogs engage in a years-long battle to prove their superiority in handling sheep with the son of one caught between. Bob is the last of the famous shepherd line of Gray Dogs of Kenmuir. His alcoholic master, Adam M'Adam, doesn't believe the dog is as good as his forebears, until Bob gives his life to save the flock from a ravenous wolf of the Scottish highlands.",Dogs|||Youth|||Conduct of life,,,,8539639,,,ocm10522443,,,
,"Bob, the cabin-boy",,,,,New York],"Sunday-School Department, 805 Broadway, N.Y.|||Methodist Episcopal Church, Sunday School Union,",[between 1869 and 1890?],[between 1869 and 1890?]||||||1869,,,,monographic,English,text,print|||unmediated|||volume,24 p. : ill. ; 7 cm.,Juvenile fiction|||Specimens|||text,,Study and teaching|||Sunday school literature|||Children's stories|||Boys|||Orphans|||Seafaring life|||Chapbooks|||Study skills|||Bible,,"United States, New York, New York",juvenile,7896519,,,ocn209991523,,,
,"bobbin boy, or, How Nat got his learning: an example for youth, The",,How Nat got his learning,"Thayer, William M., 1820-1898",,Boston,J.E. Tilton and Co.,"1861, ©1860","1861, ©1860||||||1861",,1860,,monographic,English,text,print|||unmediated|||volume,"xv, [1], 310 pages : [5] leaves of plates : illustrations ; 18 cm",Biography|||Juvenile literature|||Juvenile works|||text,,Self-culture|||Political oratory|||Statesmen|||Temperance,,United States,juvenile,7700004,,,ocm32427819,,,
,"Bodleys afoot, The",,,"Scudder, Horace Elisha, 1838-1902",,Boston,"Houghton, Osgood",1880,1880,,,,monographic,English,text,print,"[1]-202 p., 4 †. : ill. ; 21 cm.",,,,,,juvenile,1123309,,,04942213,,,
,"Bonnie Scotland: Tales of her history, heroes, and poets",,,"Greenwood, Grace, 1823-1904",,Boston,Ticknor and Fields,1861,1861,,,,monographic,English,text,print,"4p. l., 273p. illus. 18cm.",,,History,,Scotland,,1470888,,,00633799,,,
,Bonny birds,,,"Veale, E.","Cox, Palmer, 1840-1924 (ill)",Philadelphia,Hubbard Pub. Co.]|||Hubbard Publishing Co,c1896,c1896||||||1896,,,,monographic,English,text,print,1 v. (unpaged) : ill. (some col.) ; 23 cm.,Children's stories-1896|||Fantasy literature-1896|||Juvenile fiction|||novel,,Animals|||Children's stories,,"United States, Pennsylvania, Philadelphia",juvenile,7911885,,,ocn232606059,,,
,"book fancier: or, The romance of book collecting, The",,The romance of book collecting,"Fitzgerald, Percy, 1834-1925",,London,"S. Low, Marston, Searle & Rivington",1887,1887,,,"2d ed., rev.",monographic,English,text,print,"vi, [1], 312 p. 18 cm.",,,Book collecting|||Bibliography,,,,643434,,01015510,04510498,,,
,"book for boys and girls; or, country rhymes for children, A",,Country rhymes for children,"Bunyan, John, 1628-1688","Brown, John, 1830-1872",London,Elliot Stock,1889,1889,,,,monographic,English,text,print,"xxviii, 8⁾, 79 p. ; 18 cm.",,,"Didactic poetry, English|||Advertising specialties|||Specimens",,,juvenile,1030498,,,08510443,,,
,"book of beasts: for young persons, The",,,,,Banbury,Printed by J.G. Rusher,[1820?],[1820?]||||||1820,,,,monographic,English,text,print,"15, [1] p. illus. 9 cm.",Juvenile literature|||Juvenile works|||Specimens,,Zoology|||Chapbooks,,,juvenile,7896520,,29005452,ocm16898830,,,
,"book of birds, The",,,"Brayman, James O. (James Orimel), 1815-1887","Johnson, J. M. (prt, bnd)",New York|||Buffalo,"Blakeman & Mason|||Breed, Butler & Co.|||Blakeman & Mason",[18--],[18--]||||||18uu,,,,monographic,English,text,print,64 p. : ill. ; 16 cm.,Juvenile literature,Describes the physical characteristics and habitats of eleven North American birds.,Birds,,"North America|||United States, New York, New York",juvenile,7096061,,,ocm30259529,,,
,"book of Christmas verse, A",,Christmas verse,,"Beeching, H. C. (Henry Charles), 1859-1919 (ed)|||Crane, Walter, 1845-1915 (illus)",London,Methuen and co.,1895⁾,1895⁾||||||1895,,,,monographic,English,text,print,"xvi, 173, 40⁾ p. : ill. ; 20 cm.",,,Christmas|||Poetry|||Advertising specialties|||Specimens|||Publishers' catalogs,,,,1026308,,15022577,03597049,,,
,"book of drawing-room plays, and evening amusements: being a collection of charades, burlesques, proverbs, tragedies, comedies, dramas, farces, lectures, etc, The",,,"Steele, Silas Sexton.",,Philadelphia,Charles Desilver,1865,1865,,,,monographic,English,text,print,352 p. ; 19 cm.,,,,,,,1028906,,,01842907,,,
,"Book of fun, or, Laugh and learn: for boys and girls, The",,Book of fun|||Laugh and learn,,"Cruikshank, Percy, active 1840-1860",London,James Gilbert,[18--],[18--]||||||18uu,,,,monographic,English,text,print|||unmediated|||volume,[214] pages : illustrations ; 18 cm,Juvenile humor|||Juvenile literature|||text,,Education|||Etiquette|||English wit and humor|||Caricatures and cartoons,,Great Britain,juvenile,7711225,,,ocn252399842,,,
,"book of giants, A",,,"Strang, William, 1859-1921",,London,Unicorn Press,1898,1898,,,,monographic,English,text,print,56 p. : 12 ill. ; 23 cm.,,,"Giants|||Poetry|||Strang, William 1859-1921",,,,1026352,,83131230,08056701,,,
,"book of golden deeds, A",,,"Yonge, Charlotte M. (Charlotte Mary), 1823-1901",,New York,Hurst,[186-?],[186-?]|||1860/1870,,,,monographic,English,text,print,410 p. ; 16 cm.,,,,,,juvenile,1121857,,,10084407,,,
,"book of horses, The",,Reuben Racer's book of horses,,,"West Cowes, Isle of Wight]",[publisher not identified],[189-?],[189-?]||||||1890,,,,monographic,English,text,print|||unmediated|||volume,7 pages : illustrations ; 12 cm,Juvenile poetry|||Juvenile works|||Poetry|||Specimens|||text,,Horses|||Advertising|||Medicine|||Chapbooks,,,juvenile,9048870,,,ocn695022071,,,
,"book of nursery rhymes, A",,,,"Bedford, F. D. (illustrator)",[London] :,"Methuen Y Co., 36 Essex Street, Strand W.C.,",[between 1890 and 1899?],189u||||||[between 1890 and 1899?],,,,monographic,English,text,print|||unmediated|||volume,91 pages : illustrations (some color) ; 26 cm,text,"A collection of familiar rhymes, including Simple Simon, Little Miss Muffet, Little Boy Blue, and Old King Cole.","Nursery rhymes, English",,,juvenile,8549136,,,ocn317624775,,,
,"book of nursery rhymes, tales and fables a gift for all seasons, The",,,"Lovechild, Lawrence.",,Philadelphia,J.B. Smith & Co.,1858,1858,,,,monographic,English,text,print,"x, 102 p. : illus. ; 22 cm.",,,Fairy tales|||Fables|||Nursery rhymes,,,,1023177,,,ocm38145311,,,
,"book of one hundred pictures, The",,One hundred pictures,,American Sunday-School Union,Philadelphia,American Sunday-School Union,c1861,c1861||||||1861,,,,monographic,English,text,print,104 p. : ill. ; 16 cm.,Fiction|||Juvenile fiction|||Juvenile works,,"Children|||Conduct of life|||Children's stories|||Bible stories, English",,,juvenile,1092917,,,ocm08932920,,,
,"Book of parlour games: comprising explanations of the most approved games for the social circle, The",,,,"Esling, Catharine Harbeson Waterman, 1812- (trans)",Philadelphia,H.C. Peck & Theo. Bliss,"1856, c1853","1856, c1853|||1856/1853",,,,monographic,French|||English,text,print,"288 p., 5⁾ leaves of plates : ill. ; 19 cm.",,,Games,,,,1030827,,,08862799,,,
,Book of Politeness,,American letter-writer,,,Philadelphia,Fisher,[18--?],[18--?]|||1800/1899,,,,monographic,English,text,print,[60] p. ; 12 cm.,,,Etiquette|||Letter writing,,United States,,3368472,,,ocm07499230,,,
,"book of songs for my little sisters, and little brothers too: mostly translated from the German, A",,,,,Boston :,Munroe and Francis ;,1852.,1852||||||1852.,,,,monographic,English|||German,text,print|||unmediated|||volume,141 pages : illustrations ; 16 cm,Texts|||Translations|||Translations into English|||text,,"Songs, German|||Children's songs",,,juvenile,1087653,,,ocm06672134,,,
,"bookseller of the last century: being some account of the life of John Newbery, and of the books he published, with a notice of the later Newberys, A",,,"Welsh, Charles, 1850-1914",,London|||New York,"Printed for Griffith, Farran, Okeden & Welsh, successors to Newbery & Harris|||E. P. Dutton & Co.",1885,1885,,,,monographic,English,text,print,"[i-xii] [1]-373 [1]p. front., illus., ports., facsim. (fold.) 21 cm.",bibliography,,"Children's literature|||Bibliography|||Children's literature, English|||History and criticism|||Newbery, John 1713-1767|||Newbery, firm, publishers, London.",,,,624375,,,01447856,,,
,"Boots at the ""Holly Tree Inn""",,Holly-tree,"Dickens, Charles, 1812-1870",,New York,Cassell & Co.,©1882,©1882||||||1882,,,,monographic,English,text,print|||unmediated|||volume,"16 leaves illustrations, 16 color plates (including frontispiece) 23.2 cm",text,,"Children's stories, English",,,,8211291,,,ocm01356943,,,
,"Bordentown story-tellers, or, Little Lady Lucy and the merry berry pickers, The",,Little Lady Lucy and the merry berry pickers,"Butterworth, Hezekiah, 1839-1905",A. I. Bradley & Co (cph),Boston,A.I. Bradley & Co.|||A. I. Bradley & Co,1899,1899,,,,monographic,English,text,print,"7, [2], 9-251 p., [7] leaves of plates : ill. ; 21 cm.",Children's stories|||Juvenile fiction|||biography|||novel,,"Storytellers|||Youth|||Conduct of life|||Widows|||Fathers and daughters|||Berries|||Harvesting|||Fruit-culture|||Children|||Friendship|||Soldiers|||Battles|||Liberty|||Voyages and travels|||Adventure stories|||Christmas stories|||Children's stories|||History|||Social life and customs|||marquis de Lafayette, Marie Joseph Paul Yves Roch Gilbert Du Motier 1757-1834",,"United States, Massachusetts, Boston|||New Jersey|||Bordentown (N.J.)",juvenile,7180500,,,ocm10646192|||10646192,,,
,"border outlaws: an authentic and thrilling history of the most noted bandits of ancient or modern times, the Younger brothers, Jesse and Frank James, and their comrades in crime, The",,Border bandits,"Buel, James W. (James William), 1849-1920",,"Cincinnati, Ohio",Forshee & McMakin.,"1882, ©1880","1882, ©1880||||||1882",,1880,,monographic,English,text,print|||unmediated|||volume,476 pages : illustrations ; 19 cm,biography|||text,,Outlaws|||Criminals,,West (U.S.),,8215418,,,ocm08029733,,,
,"Boston boys: or, Caleb at home, The",,,"Abbott, Jacob, 1803-1879",,London,T. Allman,1844,1844||||||1846,,,,monographic,English,text,print,185 p. : ill. ; 13 cm.,Children's stories|||Juvenile fiction,,Christian life,,,juvenile,7111407,,,ocn780680770,,,
,"Boston tea party: and other stories of the American revolution, relating many daring deeds of the old heroes, The",,,"Watson, Henry C. (Henry Clay), 1831-1869",,Boston|||New York,Lee and Shepard|||C. T. Dillingham,"1889, c1888","1889, c1888|||1889/1888",,,,monographic,English,text,print,"222, 2⁾ p. : front., plates ; 18 cm.",,,History|||Anecdotes,"Revolution, 1775-1783",United States,juvenile,1038945,,02002077,05779277,,,
,Both sides the border: a tale of Hotspur and Glendower,,,"Henty, G. A. (George Alfred), 1832-1902","Peacock, Ralph. (ill)|||Charles Scribner's Sons (cph)",New York,Charles Scribner's Sons|||Charles Scribner's Sons,1898,1898,,,,monographic,English,text,print|||unmediated|||volume,"6, 378, 32 pages, [12] leaves of plates : illustrations ; 19 cm",Biographical fiction-1898|||Fiction|||History|||Juvenile fiction|||Juvenile literature-1898|||Juvenile works|||Publishers' catalogues-1898|||biography|||novel|||text,,"Kings and rulers|||Knights and knighthood|||Youth|||Conduct of life|||Voyages and travels|||Adventure stories|||Courage|||Determination (Personality trait)|||Battles|||Castles|||War stories|||Prisoners|||Monks|||Courtship|||Borders of Wales|||War|||History|||Lord Percy, Henry 1364-1403|||Glendower, Owen approximately 1354-1416",,"Great Britain|||Welsh Borders (England and Wales)|||England|||Welsh Borders|||Wales|||United States, New York, New York",juvenile,8862104,,98000490,ocm04349297,,,
,"bound boy and, The young soldier, The",,Young soldier,"Leslie, Madeline, 1815-1893",,Boston,Ira Bradley,c1862,c1862||||||1862,,,,monographic,English,text,print,"159, 1⁾ p., 1⁾ leaf of plates : ill. ; 15 cm.",,,,,,juvenile,1093044,,,05344799,,,
,Bow wow: [Four lines of verse],,,,"Jansen, John B. (bookseller)",New-York: :,"Sold by J.B. Jansen, 150 Nassau-Street,",1827.,1827||||||1827.,,,,monographic,English,text,print|||unmediated|||volume,8 unnumbered pages : illustrations (woodcuts) ; 63 mm.,Juvenile poetry|||Juvenile works|||Poetry|||Specimens|||text,,"Dogs|||Animals|||Chapbooks, American|||Chapbooks|||Miniature books",,"United States, New York, New York",juvenile,7896521,,,ocn953963929,,,
,"boy Crusoe and his dog Friday: a tale of Paris after the French of Foa, The",,,"Foa, Eugénie, -1853","Adams, Belle K.|||Snyder, Ann E.|||Foa, Eugénie, d. 1853",Cleveland,Press of the Williams Publishing and Electric Co.,c1899,c1899||||||1899,,,,monographic,English,text,print,"183 p. : ill., ports. ; 20 cm.",Juvenile fiction,,Adventure stories|||Children's stories|||Children|||Conduct of life,,,juvenile,6188468,,,ocn794665959|||794665959,,,
,"boy of principle, the man of honor; or, The story of Jack Halyard, The",Story of Jack Halyard,,"Cardell, William S. (William Samuel), 1780-1828",,Philadelphia,U. Hunt & Son,"[1855], c1854","[1855], c1854||||||1855",,1854,,monographic,English,text,print,"x, 11-310 p. : ill. ; 17 cm",,,,,,juvenile,7250818,,,ocm13718839,,,
,"boy spies of old New York: the story of how the young spies prevented the capture of General Washington, The",,,"Otis, James, 1848-1912",,New York,A.L. Burt Company,©1899,©1899||||||1899,,,,monographic,English,text,print|||unmediated|||volume,"vi, 265. [2] pages, [1] leaf of plates : 1 illustration ; 20 cm",Fiction|||History|||text,,History|||American Revolution (1775-1783),"1775-1783|||Revolution, 1775-1783",United States,,9002380,,,ocm16780223,,,
,"boy spy: a substantially true record of Secret Service during the War of the Rebellion, a correct account of events witnessed by a soldier attached to headquarters : the only practical history of war telegraphers in the field, a full account of the mysteries of signalling by flags, torches, and rockets, thrilling scenes of battles, captures and escapes, The",,,"Kerbey, Joseph Orton, -1913",,Chicago :,"American Mutual Library Association,",1889.,1889||||||1889.,,,,monographic,English,text,print|||unmediated|||volume,"557 pages, 33 unnumbered leaves of plates : illustrations ; 21 cm",History|||Personal narratives|||text,,Secret service|||History|||American Civil War (1861-1865),"1861-1865|||Civil War, 1861-1865",United States,,8849527,,,ocm05986612,,,
,"boy trapper, The",,,"Castlemon, Harry, 1842-1915",,Philadelphia,Porter & Coates,©1878,©1878||||||1878,,,,monographic,English,text,print|||unmediated|||volume,306 pages : illustrations ; 18 cm.,Juvenile literature-1878|||text,,Adventure stories|||Children's stories,,,,8238263,,12031257,ocm00592789,,,
,"boy travellers in central Europe: adventures of two youths in a journey through France, Switzerland, and Austria, with excursions among the Alps of Switzerland and the Tyrol, The",,"Central Europe|||Knox's Boy travellers, Central Europe","Knox, Thomas Wallace, 1835-1896",,New York,Harper & Brothers|||Harper & Brothers,"1893, c1892","1893, c1892||||||1893",,1892,,monographic,English,text,print,"xvi, 532, 4 p. : ill. (some col.), ports, maps (some col.) ; 23 cm.",Juvenile fiction|||Publishers' catalogues-1893|||Travelogue storybooks-1893|||novel,,Voyages and travels|||Adventure stories|||Brothers and sisters|||Cousins|||Animals|||Nature stories|||Description and travel,,"Austria|||Europe|||Switzerland|||United States, New York, New York|||France",juvenile,6800510,,05038612,ocm05276298,,,
,"boy travellers in the Far East, The",,"Boy travellers, Central Africa|||Adventures of two youths in a journey through Africa","Knox, Thomas Wallace, 1835-1896",,New York,Harper & Bros.,©1883,©1883||||||1883,,,,monographic,English,text,print|||unmediated|||volume,473 pages : illustrations ; 23 cm,text,,Travel|||Description and travel,,"Africa, Central",juvenile,8331464,,,ocm20516160,,,
,"boy who drew cats, The",,Nekodera,"Hearn, Lafcadio, 1850-1904","Suzuki, Kason, 1860-1919 (illustrator)",Tōkyō|||東京 :,"Hasegawa Takejirō|||長谷川武次郎,",Meiji 31 [1898]|||明治 31 [1898],Meiji 31 [1898]||||||1898||||||明治 31 [1898],,,,monographic,Japanese|||English,text,print|||unmediated|||volume,18 pages : color illustrations ; 19 cm.,Fairy tales|||Folklore|||Translations into English|||text,An artistic young boy's love for drawing cats gets him into trouble and leads him to a mysterious experience.,"Fairy tales|||Ukiyoe|||Folklore|||Children's stories, Japanese",,"Japan, Tokyo|||Japan",juvenile,8850505,,09019681,ocm03317411,,,
,"boyhood of famous authors, The",,,"Rideing, William Henry, 1853-1918",,New York|||Boston,T. Y. Crowell,c1897,c1897||||||1897,,,,monographic,English,text,print,"iv, 211 p. : ill., facsims., port. ; 20 cm.",biography,,"Authors, American|||Authors",,,,1120985,,18001674,01888535,,,
,"boyhood of great men: intended as an example to youth, The",,,"Edgar, John G. (John George), 1834-1864","Foster, B. (ill)|||Lossing & Barritt (egr)",New York,Harper & Brothers|||Harper & Brothers,1853,1853,,,,monographic,English,text,print,"385, [2], 6, 2 p., [1] leaf of plates : ill. ; 18 cm.",Biographies-1853|||Embossed cloth bindings (Binding)-1853|||Publishers' advertisements-1853|||biography,,,,"United States, New York, New York",juvenile,4362425,,,ocm46368244,,,
,"Boys' and girls' magazine and fireside companion, The",,,,"Forrester, Mark (ed)",Boston,Bradbury & Guild,1848-1852,1848-1852|||1848/1852,,,,serial,English,text,print,"8 v. : ill, ; 19 cm.",Periodicals|||periodical,,Children's periodicals,,United States,,4067984,,,ocm08592528,,,
,Boys and girls own toy maker,,Boy's own toy-maker|||Girl's own toy-maker,"Landells, Ebenezer, 1808-1860","Landells, Ebenezer, 1808-1860|||Landells, Alice.",Boston :,"Cyrus G. Cooke, 37 & 39 Brattle Street,|||Cooke, Cyrus G.",1861.,1861||||||1861.,,,,monographic,English,text,print|||unmediated|||volume,"2 volumes in 1 (viii, 153; 164, [5] pages) : illustrations ; 17 cm",Blind tooling|||Gold tooling|||Juvenile literature|||Juvenile works|||Pictorial cloth bindings|||Provenance (history of ownership)|||Publishers' advertisements|||Publishers' cloth bindings|||text,,Toys|||Amusements|||Paper work,,"United States, Massachusetts, Boston",juvenile,9309571,,,ocm49963265|||49963265,,,
,"boys' book of famous rulers, The",,,"Farmer, Lydia Hoyt, 1842-1903",,New York,T. Y. Crowell,c1886,c1886||||||1886,,,,monographic,English,text,print|||electronic resource|||remote,"xi, 477 p. front., plates, ports. 19 cm.",,,Kings and rulers,,,juvenile,6125835,,12032183,ocm01908273,http://hdl.loc.gov/loc.gdc/scd0001.00094914383,,
,"boy's book of his own country, The",,,"Wilson, Rev. T","Williams, Samuel. (ill)|||Stevens, William. (prt)|||Wilson, T., 1810-1875",London (Holborn Hill),Darton and Co.|||Darton & Co,[1857],[1857]||||||1857,,,,monographic,English,text,print,"viii, 276, [4] p. : ill. ; 17 cm.",Juvenile literature|||Publishers' advertisements-1857,,Description and travel,,"England, London|||Great Britain",juvenile,4363261,,,ocm27468817,,,
,"boy's book of Indian battles and adventures, with anecdotes about them, The",,Anecdotes of the American Indians,"Blake, John Lauris, 1788-1857|||Blake, Alexander Vietts, 1818-1881",,New York,James Miller,"1861, c1860","1861, c1860||||||1861",,,,monographic,English,text,print,"252 p., 8⁾ leaves of plates : ill. ; 18 cm.",Fiction,,Indians of North America,,North America,juvenile,1038886,,03004800 //r,07605345,,,
,"boy's friend: a magazine of literature, science, instruction and amusement, The",,,,,London,Clarke; [etc],[1866],[1866]||||||1867,,,,monographic,English,text,print,"iv, 764 p. Illus. Plates. 21 cm.",Periodicals,,"Children's literature, English",19th century,,,4588655,,,ocm30447702,,,
,"Boy's King Arthur: Being Sir Thomas Malory's History of King Arthur and his Knights of The Round Table, The",Morte d'Arthur. Selections,,"Malory, Thomas, Sir, active 15th century","Lanier, Sidney, 1842-1881|||Kappes, Alfred, 1850-1894 (illus)",New York,Charles Scribner's Sons,1880,1880,,,,monographic,English,text,print,"xlviii, 403 p. : illus. (front.) ; 21 cm.",,,Juvenile literature|||Arthurian romances|||Specimens|||Knights and knighthood|||Fiction|||King Arthur,,,juvenile,1020992,,,00653360,,,
,"boys of 1745 at the capture of Louisbourg, The",,,"Otis, James, 1848-1912",,Boston,Estes and Lauriat,1895,1895,,,,monographic,English,text,print|||unmediated|||volume,93 pages : illustrations ; 21 cm.,Juvenile fiction|||text,,"Authors, American|||History","Siege, 1745|||King George's War, 1744-1748",Maine|||United States|||Louisburg,juvenile,8209901,,,ocm02384295,,,
,"boys of '76: a history of the battles of the revolution, The",,Boys of seventy-six,"Coffin, Charles Carleton, 1823-1896",Harper & Brothers (pubisher),New York,"Harper & Brothers, publishers, Franklin Square",1877,1877,,,,monographic,English,text,print,"398 p. : ill., ports., maps ; 21 cm",History|||Juvenile literature|||Juvenile literature-1877|||Juvenile works,,Generals|||Soldiers|||War|||History|||Campaigns|||American Revolution (1775-1783),"1775 - 1783|||Revolution, 1775-1783",United States,juvenile,7792948,,08002666,ocn608676322,http://hdl.loc.gov/loc.gdc/scd0001.00116995736,,
,"boys of '76: a history of the battles of the revolution, The",,Boys of seventy-six,"Coffin, Charles Carleton, 1823-1896",,New York,Harper & Bros.|||Harper & Brothers,c1876,c1876||||||1876,,,,monographic,English,text,print,"398, 2 p. : ill., maps, ports. ; 23 cm.",History|||Juvenile literature|||Juvenile works|||biography,,Generals|||Soldiers|||War|||History|||Campaigns|||American Revolution (1775-1783),"1775 - 1783|||Revolution, 1775-1783","United States|||United States, New York, New York",juvenile,7792950,,02006765,ocm00634255,,,
,"Boy's own paper, The",,Boy's own annual,,,London,Leisure Hour Office,1879-,1879-|||1879/1967,,,,serial,English,text,print,89 v. : ill. (some col.) ; 29 cm.,periodical,,,,,,1324179,,sc 83002898,08183268,,,
,"Boy's own volume of fact, fiction, history, and adventure, The",,Boy's own volume,,"Beeton, Samuel Orchart, 1831-1877",London,S.O. Beeton,[1863-1866],[1863-1866]|||1863/1866,,,,serial,English,text,print,v. : ill. ; 22 cm.,periodical,,,,,,4067981,,,ocm10200081,,,
,"boys' revolt: a story of the street arabs of New York, The",,,"Otis, James, 1848-1912","Hooper, Will Phillip (illustrator)|||University Press (Cambridge, Mass.) (prt)|||John Wilson and Son (prt)",Boston,Estes and Lauriat|||Estes & Lauriat,©1894,©1894||||||1894,,,,monographic,English,text,print|||unmediated|||volume,193 pages : illustrations ; 21 cm,Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Children|||Conduct of life|||Shoe shiners|||Street life|||Labor unions|||Brothers and sisters|||Success|||Diligence|||Irish in America,,"New York|||United States, Massachusetts, Boston|||United States, Massachusetts, Cambridge|||New York (State)",juvenile,8868210,,,ocn222022526,,,
,"boy's town: described for ""Harper's young people,"", A",,,"Howells, William Dean, 1837-1920",,New York,Harper & Brothers,1890,1890,,,,monographic,English,text,print,"vi, 247 p. front., 22 pl. 20 cm.",,,,,,juvenile,744856,,09000017,00303465,,,
,"boy's week-day book, The",,,,,Philadelphia,"Thomas T. Ash|||Ash, Thomas T.",c1833,c1833||||||1833,,,,monographic,English,text,print,"viii, 268 p. : ill. ; 15 cm",Juvenile fiction|||novel,,Christian life|||Boys|||Conduct of life|||Recreation|||World history|||Geography|||Brothers|||Uncles|||Storytelling|||Nature stories|||Education|||Amusements,,"United States, Pennsylvania, Philadelphia",juvenile,7711709,,,ocn173361907|||173361907,,,
,"boy's week-day book, The",,,,,Philadelphia,H. F. Anners,[c1833],[c1833]||||||1833,,,,monographic,English,text,print,"viii, 268 p. : ill. ; 15 cm.",,,Boys|||Conduct of life,,,,1040281,,,00664285,,,
