id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn,url
4365651,Ernest Richmond and his little mother,,,,,New York,Carlton & Porter,1863,,,,monographic,,English,text,print,296 p. ; 16 cm.,Specimens,,Swedes|||Books and reading,,United States,juvenile,,,,,,
324186,Eros & Psyche: a poem in twelve measures,,,,,London,George Bell and Sons,1885,,,,monographic,,Latin|||English,text,print,"[8], 158, [2] p. ; 20 cm.",,,,,,,,,,16024372,,
4362566,"errand boy; or, Your time is your employer's, The",,,,,Philadelphia,Perkinpine & Higgins,[186-?],1860,1869,,monographic,,English,text,print,288 p. illus. 18 cm.,,,,,,,,,,,,
7893221,"Eskdale herd-boy: a Scottish tale for the instruction and amusement of young persons, The",,,,"Harris, John, 1756-1846 (publisher)|||S. and R. Bentley (printer)",London,"John Harris, corner of St. Paul's Church-Yard|||Harris, John, 1756-1846",[1824],,,Third edition.,monographic,,English,text,print,"xii, 201, [3] p., [1] leaf of plates : 1 ill. (engraving) ; 15 cm.",Juvenile fiction,,Country life|||Orphans,,"Dumfriesshire|||Scotland|||Esk, Glen",juvenile,,,,,,
4242196,Essays in little,,,,,New York,Charles Scribner's Sons,1891,,,,monographic,,English,text,print,"[10], 205, [1], [8], [4] p., [1] leaf of plates : port. ; 19 cm.",,,Literature|||History and criticism,,,,,,,,,
1010160,Essays on practical education,,,,,London,"Printed for R. Hunter, successor to J. Johnson...",1815,,,A new ed. ...,monographic,,English,text,print,2 v. plates (part fold.) 22 cm.,,,Education,,,,,,,,,
1499061,Ester Ried,,,,,Boston,D. Lothrop and Co.,c1870,,,,monographic,,English,text,print,346 p. : ill. ; 19 cm.,,,,,,,,,,,,
8869460,Ester Ried,,,,"Pansy, 1841-1930 (author)|||Lothrop Publishing Company (publisher)",Boston :,"Lothrop Publishing Company,|||Lothrop Publishing Company",[between 1895 and 1900],1895,1900,,monographic,,English,text,print|||unmediated|||volume,"346 pages, 1 unnumbered leaf of plates : 1 illustration ; 20 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Young women|||Religious life|||Conduct of life|||Christian life|||Families,,,juvenile,,,,,,
7743433,"Esther Parsons, or, Try again, and other stories",,,,,New York,Robert Carter & Bros.,1864,,,,monographic,,English,text,print,"173 p., [6] leaves of plates : 6 ill. ; 16 cm.",Juvenile literature,,Children's stories|||Children|||Conduct of life,,,juvenile,,,,,,
8088928,Ethel's adventures in the doll country,,,,,New York,E.P. Dutton & Co.,1882,,,,monographic,,English,text,print|||unmediated|||volume,184 pages ; [6] leaves of plates : illustrations (color plates) ; 22 cm,"Juvenile fiction|||Parodies, imitations, etc|||text",,"Dolls|||Fantasy fiction|||Carroll, Lewis 1832-1898|||Alice's adventures in Wonderland",,,,,,,,,
