,id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
2721,1086767,"visit from St. Nicholas, A",,Saint Nicholas,"Moore, Clement Clarke, 1779-1863",,New York,Spalding & Shepard,1849,,,,,monographic,,eng,text,print,16⁾ p. : ill. ; 16 cm.,,,,,,,,,6565639,
2722,1030354,Visit of St. Nicholas,,A visit from St. Nicholas,"Moore, Clement Clarke, 1779-1863","Nast, Thomas, 1840-1902 (illus.)|||McLoughlin Bros (publisher.)",New York,McLoughlin Bros.,1869⁾,1869,,,,monographic,,eng,text,print,"8⁾ p. (including covers), 6⁾ leaves of plates : ill. (some col.) ; 27 cm.",,,Christmas poetry,,,juvenile,,,10131556,
2723,7812581,"visit to a farm-house, or, An introduction to various subjects connected with rural economy, A",,Introduction to various subjects connected with rural economy|||Visits to a farm-house,"S. W., active 1801-1820?|||Wilkinson, Sarah Scudgell, 1779-1831","Gillet, Jacob, 1780-1866 (prt)|||Dayes, Edward, 1763-1804 (egr)",London,"Richard Phillips|||Phillips, R., active 1818-1819",1811,,,,5th ed.,monographic,,eng,text,print,"iv, 176 p., [10] leaves of plates : ill. ; 14 cm",Juvenile fiction|||novel,,Children|||Conduct of life|||Country life|||Farm life|||Animals|||Brothers|||Intergenerational relations|||Natural history,,,juvenile,,,ocn317434372|||317434372,
2724,8247164,"visit to Aunt Agnes: for very little children, A",,,,"Giberne, Agnes, 1845-1939 (author.)",New York :,"Published by Carlton & Porter,",1865,1865,,,,monographic,,eng,text,print|||unmediated|||volume,114 pages : 9 illustrations ; 19 cm,Fiction|||Juvenile fiction|||Juvenile works|||text,,Christian education|||Aunts|||Brothers and sisters|||Country life,,,juvenile,,,ocn185036755,
2725,1078363,"visit to London: containing a description of the principal curiosities in the British metropolis, A",,,"S. W., active 1801-1820?",William Darton and Son (publisher.),London,"William Darton and Son, Holborn-Hill",[ca. 1815-1820],1815/1820,,,"A new ed., with improvements.",monographic,,eng,text,print,"viii, 232 p. ; [7] leaves of plates : ill. ; 15 cm.",,,Travel|||Description and travel,,,juvenile,,,ocm09513013,
2726,1001253,"visit to Uncle William in town, or, A description of the most remarkable buildings and curiosities in the British metropolis, A",,Visit to Uncle William in town|||Description of the most remarkable buildings and curiosities in the British metropolis,,"Harris, John, 1756-1846 (publisher.)",London,Printed for J. Harris,1818,,,,,monographic,,eng,text,print,"viii, 119, [5] p., [22] leaves of plates : ill. ; 17 cm.",Juvenile literature|||Juvenile literature-1818,,Description and travel,,,juvenile,,2007577727,ocm10334037,
2727,7111315,"Visits to the menagerie and the botanical garden at Paris: being an introduction to natural history and botany, for the instruction of young persons",Voyage au Jardin des plantes. English,,"Jauffret, L. F. (Louis François), 1770-1840",,London,Printed for R. Phillips ... and sold by B. Tabart ...,1804,,,,,monographic,,eng|||fre,text,print,"x, [11]-247, [4] leaves of plates (some folded) ; 14 cm.",Juvenile literature,,Botanical gardens|||Zoo animals,,,juvenile,,,ocm13686459,
2728,7703341,"vizier of the two-horned Alexander, The",,,"Stockton, Frank R., 1834-1902","Birch, Reginald B., 1856-1943 ()",New York,Century Co.,1899,,,,,monographic,,eng,text,print,"6, 235 p. : ill. ; 20 cm",Adventure fiction|||Fantasy fiction|||Fiction,,Immortalism|||Adventure fiction|||Fantasy fiction|||ImmortalismFiction,,,,,99004700,ocm01337119|||1337119,
2729,9153523,Vocal gems from the jolly Musketeer: comic opera in two acts,Jolly musketeer. Selections. Vocal score,Jolly Musketeer,"Edwards, Julian, 1855-1910","Stange, Stanislaus, 1862-1917 ()",New York,M. Witmark & Sons,©1898,1898,,,,monographic,,eng,notated music,print|||unmediated|||volume,1 vocal score (41 pages) ; 28 cm,Excerpts|||Vocal scores with piano|||notated music,,Musicals,,,,,,ocm23084305|||23084305,
2730,7894302,"voyages and travels of Sindbad the sailor, The",Sindbad the sailor,,,,Devonport,Samuel and John Keys,[between 1840 and 1845],1840/1845,,,,monographic,,eng,text,print,12 p. : ill. ; 18 x 11 cm,Specimens,,Chapbooks,,,,,,ocm61610688,
2731,9002056,Wallace: A Franconia story,,,"Abbott, Jacob, 1803-1879","Roberts, William, approximately 1829- (illustrator.)|||Wade, William, active 1844-1852 (illustrator.)|||Harper & Brothers (publisher.)",New York,Harper & Brothers publishers'. Franklin Square.,[not before 1853],1853,,,,monographic,,eng,text,print|||unmediated|||volume,"vi, [5], 12-203, [1] p. : ill., music ; 18 cm.",Fiction|||Juvenile fiction|||Juvenile literature-1853|||Juvenile works|||Publishers' advertisements-New York (State)-New York|||Publishers' cloth bindings (Binding)-1853|||Relief prints|||text,A young girl and her brother spend the summer holidays in upstate New York with their aunt and cousins.,Children's stories|||College students|||Boats and boating|||Storytelling|||Play,,United States New York New York,juvenile,,,ocn191234425,
2732,5954725,Walter Crane's absurd A.B.C,,Absurd A.B.C,"Crane, Walter, 1845-1915",,London],George Routledge & Sons,[1874?],1874,,,,monographic,,eng,text,print,(8) p. : col. ill. ; 28 cm.,Illustrations,,Nursery rhymes|||Alphabet rhymes,,,,,,ocm04476631,
2733,7893393,"wanderer: from the German of the Rev. C. G. Barth, The",,,,"Jackson, Samuel Macauley, 1851-1912 (author,, adaptor.)|||Barth, Christian Gottlob, 1799-1862 ()",London :,"Darton and Clark,",[18--],1800,,,,monographic,,eng,text,print|||unmediated|||volume,92 pages : illustrations ; 14 cm,Juvenile fiction|||novel|||text,,Christian life|||Children|||Conduct of life|||Children's stories,,,juvenile,,,ocn881694566,
