id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
1092904,"adventures of a donkey, The",,,"Argus, Arabella",,London,"printed by and for William Darton, Jun., 58, Holborn ill",1815,,,,1st ed.⁾,monographic,English,text,print,"231, 17⁾ p. : ill. front. ; 14 cm.",,,,,,juvenile,,,07985644,
7118244,"adventures of a parrot, named Poll Pry: an account of her officious ways; including her birth, education, adversity, prosperity, and death, The",,,"Oalton, Ann Elizabeth.","Davidson, G. H. (George Henry), 1800?-1875 (prt)",London,"W. Cole|||Cole, William, publisher",1826,,,,,monographic,English,text,print,104 p. : ill. ; 15 cm.,Juvenile fiction|||novel,,Youth|||Conduct of life|||Parrots|||Voyages and travels|||Prisoners,,,juvenile,,,ocm32605773,
7896468,"adventures of Captain Gulliver, The",Gulliver's travels,,"Swift, Jonathan, 1667-1745",,Dublin :,"Printed by John Martin, 59, South Great Georges Street,",[between 1806 and 1810?],1806/1810,,,,monographic,English,text,print|||unmediated|||volume,38 pages : illustrations ; 13 cm,Fiction|||Juvenile fiction|||Juvenile works|||Specimens|||text,,"Voyages, Imaginary|||Chapbooks|||Chapbooks, Irish|||Gulliver, Lemuel (Fictitious character)|||(Fictitious character) Gulliver, Lemuel",,,juvenile,,,ocn953828489,
8235804,"adventures of Captain Horn, The",,,"Stockton, Frank R., 1834-1902","Armstrong, Margaret, 1867-1944 (binding designer)|||Oliver Wendell Holmes Collection (Library of Congress)|||Margaret Armstrong Binding Collection (Library of Congress)",New York,Charles Scribner's Sons,1895,,,,,monographic,English,text,print|||unmediated|||volume,"vii, 404 pages ; 20 cm",Adventure fiction|||Fiction|||Juvenile fiction|||Juvenile works|||Publishers' advertisements-1895|||Publishers' cloth bindings (Binding)-New York (State)-New York-1895|||text,,Adventure stories|||Voyages and travels|||Shipwrecks|||Ship captains|||Sailors|||Brothers and sisters|||Treasure troves|||Outdoor life|||Brigands and robbers|||Youth|||Conduct of life,,Peru,juvenile,,75319787,ocm01583097,
763070,Adventures of Huckleberry Finn (Tom Sawyer's comrade): Scene: the Mississippi Valley. Time: forty to fifty years ago,Adventures of Huckleberry Finn,Huckleberry Finn,"Twain, Mark, 1835-1910","Kemble, E. W. (Edward Windsor), 1861-1933 (illustrator)|||J.J. Little & Co (printer)","New York: :|||[New York, New York] :","Charles L. Webster and Company.,|||Press of J.J. Little & Co. nos. 10 to 20 Astor Place, New York.|||Charles L. Webster and Company",1885.,1885,,1884,,monographic,English,text,print|||unmediated|||volume,"366, [2] pages, 1 unnumbered leaf of plates : illustrations, portrait ; 22 cm",Action and adventure fiction|||Adventure stories|||Bildungsromans|||Fiction|||Humorous fiction|||Humorous stories|||Juvenile literature|||Rare books|||novel|||still image|||text,"Recounts the adventures of a young boy and an escaped slave as they travel down the Mississippi River on a raft, and tells of the people they encounter, including a pair of swindlers and two families in a feud.","Runaway children|||Male friendship|||Fugitive slaves|||Race relations|||Boys|||(Fictitious character) Finn, Huckleberry",,"Mississippi River|||United States, New York, New York|||Missouri",,,31035230,ocm06010580|||6010580,
1076897,"Adventures of Kamoula, the lovely Arabian, or, A vindication of the ways of providence: exemplified in the triumph of virtue and innocence over corruption, perjury, and malice, The",,A vindication of the ways of providence,,,London,"Printed by J.S. Hollis, Romsey, for Lackington, Allen and Co. ...",1801,,,,,monographic,English,text,print,"4⁾, 156, 2⁾ p., 1⁾ leaf of plates : ill. ; 15 cm.",,,Tales|||Conduct of life|||Juvenile fiction,,,juvenile,,,14909554,
6827343,"adventures of Mother Hubbard and her dog, The",Old Mother Hubbard,Dunigan's edition,"Martin, Sarah Catherine, 1768-1826",,New York,"Edward Dunigan & Brother, 151 Fulton-st.",[not before 1852?],1852,,,,monographic,English,text,print,15 (i.e. 8) p. : ill. ; 20 cm.,Juvenile poetry,,Dogs,,,juvenile,,,ocm34264146,
1082424,"Adventures of Robert, Earl of Huntingdon: commonly called Robin Hood, the famous English archer, The",Robin Hood,,,,Baltimore,Printed and sold by William Warner,1812,,,,,monographic,English,text,print,"110, 2⁾ p. ; 14 cm.",,,,,,juvenile,,,20680591,
7896466,"adventures of Robinson Crusoe, The",,,,"Defoe, Daniel, 1661?-1731",Leeds :,"J. Roberts,",[approximately 1820],1820,,,,monographic,English,text,print|||unmediated|||volume,12 pages : illustrations ; 11 cm,Juvenile fiction|||Specimens|||text,,"Crusoe, Robinson (Fictitious character)|||Shipwreck survival|||Chapbooks, English|||Chapbooks|||Castaways|||Islands",,Atlantic Ocean,juvenile,,,ocn926104455,
6827600,"adventures of Teasing Tom and Naughty Ned with a spool of Clark's O.N.T. cotton, The",,,,"Clark Thread Company|||Clark, George A.",New York,"F.B. Patterson|||Patterson, F. B.",c1879,1879,,,,monographic,English,text,print,[8] p. : ill. ; 12 cm.,Juvenile poetry,,Children|||Conduct of life|||Thread|||Malicious mischief|||Birds,,"United States, New York, New York",juvenile,,,ocm10646692,
6343154,"Adventures of the beautiful little maid Cinderilla, or, The history of a glass slipper: to which is added, An historical description of the cat",Cinderella. English,"History of a glass slipper|||Historical description of the cat|||Surprising adventures of Cinderilla, or, The history of a glass slipper|||Cinderilla, or, The little glass slipper",,,York,"Printed and sold by J. Kendrew, Colliergate",[1820?],1820,,,,monographic,English,text,print,31 p. : ill. ; 11 cm.,Chapbooks|||Fairy tales|||Juvenile literature,,Conduct of life,,,juvenile,,26022742,ocm04710574,
7912032,"adventures of three Englishmen and three Russians in Southern Africa, The",Aventures de trois Russes et de trois Anglais. English,,"Verne, Jules, 1828-1905","Frith, Henry, 1840-",London|||Glasgow|||New York,George Routledge and Sons,[1887],1887,,,,monographic,English,text,print,176 p. ; 18 cm.,Fiction,"Three Englishmen and three Russians and their guide, a bushman named Mokoum, set out to measure the arc of the meridian in the Kalahari Desert. During the expedition war is declared between England and Russia.",Scientific expeditions|||Indigenous peoples|||Hunting stories|||Hunting,,"Africa, Southern|||Africa|||Kalahari Desert",juvenile,,,ocn317553148,
8161152,"adventures of Tom Sawyer, The",,Tom Sawyer,"Twain, Mark, 1835-1910",,"Hartford, Conn|||Chicago, Ill",American Pub. Co.,1884,,,,,monographic,English,text,print|||unmediated|||volume,"6 preliminary leaves, [17]-274, [1] pages including frontispiece, illustrations 22 cm",Fiction|||text,,,,Mississippi River|||Missouri,,,,ocm04727192,
9635632,"adventures of William Waters, and his ass Bob: ornamented with neat wood cuts, The",,William Waters and his ass Bob|||William Waters|||History of William Waters and his ass Bob,,,Otley,"Printed by and for W. Walker, at the Wharfdale, Stanhope Press",[approximately 1815?],1815,,,,monographic,English,text,print|||unmediated|||volume,"16, [1] pages : illustrations ; 11 cm",Juvenile literature|||Juvenile works|||Specimens|||text,,"Conduct of life|||Chapbooks, English",19th century,,juvenile,,,ocm31043873|||31043873,
8546945,"Advice to the teens, or, Practical helps towards the formation of one's own character",,"Advice to the teens|||Practical helps towards the formation of one's own character|||Advice to the teens, &c. & c","Taylor, Isaac, 1759-1829","Curtis, S.",London (Paternoster Row),"Printed for Rest Fenner|||Fenner, Rest",1818,,,,,monographic,English,text,print|||unmediated|||volume,"[4], vi, 194 pages, [1] leaf of plates (frontispiece) : 1 illustration (engraving) ; 17 cm",Life skills guides|||text,,Self-culture|||Teenage boys|||Conduct of life|||Youth,,Great Britain,,,,ocn317618207,
1023263,"AEsop in rhyme, or, Old friends in a new dress",Aesop's fables. Selections,,,"Park, Marmaduke.",Philadelphia|||New York,Henderson|||Appleton,"1855,c 1852",1855,,,,monographic,English,text,print,288 p. : ill. ; 18 cm.,,,Fables,,,,,,02353183,
7896472,Aesop's Fables,Aesop's fables. Selections. English,,,,New York|||Baltimore,"Published by Samuel Wood & Sons, no. 261 Pearl Street|||Samuel S. Wood & Co., no. 212 Market St.",1822,,,,,monographic,English,text,print,44 p. : ill. ; 13 cm.,Juvenile literature|||Specimens,,Animals|||Chapbooks,,,juvenile,,,ocm12242445,
1022224,"Aesop's fables: a new version, chiefly from original sources",Aesop's fables,,,"James, Thomas, 1809-1863|||Tenniel, John, 1820-1914",London,J. Murray,1863,,,,,monographic,English,text,print,"xx, 148 p. : ill. ; 18 cm.",,,Fables,,,,,,06137345,
7111993,"Aesop's fables, complete",Aesop's fables. English,,,"James, Thomas, 1809-1863",Philadelphia,J.B. Lippincott,1864,,,,,monographic,English,text,print,"xx, 21-208 p. : ill. ; 16 cm.",,,Fables,,,,,,ocm37774208,
8928535,Æsop's fables: from the version,,,Aesop.,"James, Thomas, Rev., Vicar of Sibbertoft|||Aikin, Lucy, 1781-1864","South Norwalk, Ct",C.W. Knudsen,1879,,,,,monographic,English,text,print|||unmediated|||volume,"30 pages, iv, 1 leaf sq. 16mo",text,,English language|||Spelling (Phonetic),,,,,,ocm37813316,
8868398,Aesop's fables: in words of one syllable,Aesop's fables. English,,"Aikin, Lucy, 1781-1864",,New York|||London,Cassell & Co.,©1888,1888,,,,monographic,English,text,print|||unmediated|||volume,87 pages : illustrations ; 22 cm.,text,,Fables,,,juvenile,,,ocm18447956,
8472666,"affecting history of the children in the wood, The",Children in the wood (Ballad),History of the children in the wood|||Children in the wood|||Babes in the wood,,,London :,"W. Fortey, Printer, Monmouth Court,|||Fortey, W. S. (William Samuel)",[between 1860 and 1885],1860/1885,,,,monographic,English,text,print|||unmediated|||volume,8 unnumbered pages : illustrations (woodcuts) ; 13 cm,Specimens|||text,,"Chapbooks, English|||Chapbooks",,,juvenile,,,ocn953875315,
6537201,Afternoon tea: rhymes for children,,,,"Sowerby, J. G. (John G.) (ill)|||Emmerson, H. H. (ill)",London|||Newcastle-on-Tyne,"Frederick Warne and Co.|||Mawson, Swan, and Morgan|||Frederick Warne and Co",[1880],1880,,,,monographic,English,text,print,64 p. : col. ill. ; 26 cm.,,,Children's poetry,,,juvenile,,,ocm25819296,
8365002,Agnes: A Franconia story,,,"Abbott, Jacob, 1803-1879","Wells, Jacob (illustrator)|||Minton, Christopher (engraver)|||Minton, John (engraver)|||Roberts, William, approximately 1829- (engraver)|||Orr, Nathaniel (engraver)",New York,Harper & Brothers publishers. Franklin Square.|||Harper & Brothers,[1853],1853,,,,monographic,English,text,print|||unmediated|||volume,"vi, [5], 12-224 p. : ill. ; 18 cm.",Fiction|||Juvenile fiction|||Juvenile literature-1853|||Juvenile works|||Publishers' cloth bindings (Binding)-1853|||Relief prints|||text,,Children's stories|||Conduct of life|||Country life|||Sick children|||Blind children|||Play|||Children's accidents|||Fishing stories|||Shipbuilding,,"United States, New York, New York",juvenile,,,ocn191234305,
6909589,"agricultural and economical almanack, for the year of our Lord: calculated for the meridian of New-Haven, An",,"Agricultural and economical almanac, for the year of our Lord",,"Middlebrook, Elijah, 1785-1859|||Society for Promoting Agriculture in the State of Connecticut",New Haven [Conn.]|||Hartford [Conn.],"Sold by Maltby, Goldsmith & Co.|||Cooke & Hale|||Printed by J. Barber",1816-1821,1816/1821,,,,serial,English,text,print,6 v. ; 21 cm.,,,"Almanacs, American",,Connecticut,,,98650510,ocm06401895,
7251009,"Ainslee stories, The",,,"Campbell, Helen, 1839-1918","Champney, W. L. (ill)|||Smith, S. L. (ill)|||H.O. Houghton & Company (prt, str)",New York|||Cambridge,"Hurd and Houghton|||Riverside Press|||Hurd & Houghton|||Riverside Press (Cambridge, Mass.)","c1868, 1876",1868,,,,monographic,English,text,print,"411 p., [8] leaves of plates : ill. ; 18 cm.",novel,,Children's stories,,"United States, New York, New York|||United States, Massachusetts, Cambridge",juvenile,,,ocm49568191|||49568191,
8116849,Airy fairy Lilian,,,"Duchess, 1855?-1897",,New York,A.L. Burt,[between 1879 and 1900],1879/1900,,,,monographic,English,text,print|||unmediated|||volume,348 pages : 1 front plate ; 20 cm,text,,,,,,,,ocm28591063,
8363113,"alcove: containing some further account of Timboo, Mark and Fanny, The",,,"Abbott, Jacob, 1803-1879",,New York,Harper & Brothers,©1856,1856,,,,monographic,English,text,print|||unmediated|||volume,"160 pages including frontispiece, illustrations 18 cm.",text,,Children's stories,,,juvenile,,44027168,ocm01995645,
1035183,Alcuin and the rise of the Christian schools,,,"West, Andrew Fleming, 1853-1943",,London,W. Heinemann,1893,,,,,monographic,English,text,print,"vii, 205 p. : ill., map ; 18 cm.",,,"Education, Medieval|||Alcuin 735-804",,,,,,03423720,
6135377,"Alhambra, The",,,"Irving, Washington, 1783-1859","Pennell, Joseph, 1857-1926|||Pennell, Elizabeth Robins, 1855-1936",London|||New York,Macmillan,1896,,,,,monographic,English,text,print,"xx, 436 p. : ill. ; 28 cm.",,,"Alhambra (Granada, Spain)",,,,,38036424,ocm03299250,
7896475,"Ali Baba, or, The forty thieves",Ali Baba (Folk tale)|||Arabian nights,Forty thieves,,,London,"Printed by W.S. Fortey, (late A. Ryle), Monmouth Court, Bloomsbury, W.C.",[1859],1859,,,,monographic,English,text,print,8 p. : col. ill. (wood-engravings) ; 18 cm.,Juvenile literature|||Juvenile works|||Specimens,,"Thieves|||Folk literature, Arabic|||Chapbooks",,,juvenile,,,ocm49614344,
7724022,Alice Learmont: a fairy tale,,,"Craik, Dinah Maria Mulock, 1826-1887","Godwin, James, -1876",London,Chapman and Hall,1852,,,,,monographic,English,text,print,"146 p., [2] leaves of plates : ill. ; 17 cm.",,,,,,,,,ocm22432484,
7695248,"Alice's adventures in Wonderland: and, Through the looking glass",,"Alice in wonderland ; and, Through the looking glass|||Through the looking-glass","Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914 (illustrator)|||Carroll, Lewis, 1832-1898",Boston :,"Lothrop Publishing Company,|||Lothrop Publishing Company",[1898].,1898,,1898,New edition in 1 volume.,monographic,English,text,print|||unmediated|||volume,"208 pages, 3 unnumbered leaves of plates : illustrations (some color) ; 24 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,(Fictitious character from Carroll) Alice,,"United States, Massachusetts, Boston",juvenile,,,ocm12618210,
8217467,"Alice's adventures in wonderland, and Through the looking-glass",,Through the looking-glass,"Carroll, Lewis, 1832-1898",,New York,Macmillan,1881,,,,New ed. in 1 v.,monographic,English,text,print|||unmediated|||volume,"2 volumes in 1(192, 224 pages) : illustrations ; 21 cm.",Fiction|||Juvenile fiction|||text,,Fantasy fiction|||(Fictitious character from Carroll) Alice,,,,,,ocm43893794,
7695717,Alice's adventures in Wonderland,,,"Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914 (illustrator)",New York :,"Macmillan & Co.,",1893.,1893,,,New edition.,monographic,English,text,print|||unmediated|||volume,"192 pages, 1 unnumbered leaf of plates : illustrations ; 19 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,(Fictitious character from Carroll) Alice,,,juvenile,,,ocm23458370,
7747158,Alice's adventures in Wonderland: Through the looking-glass,,Through the looking-glass and what Alice found there|||Through the looking-glass,"Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914",New York,Macmillan,1897,,,,new ed.,monographic,English,text,print,192 p. : ill. ; 19 cm,,,Fantasy,,,juvenile,,,ocn463397105,
8737247,"All about poor little Topsy: from ""Uncle Tom's cabin""",Uncle Tom's cabin. 1853,,"Stowe, Harriet Beecher, 1811-1896",,London :,"Partridge and Oakey,",1853.,1853,,,,monographic,English,text,print|||unmediated|||volume,1 volume (unpaged) ; 15 cm,Juvenile fiction|||text,,Topsy (Fictitious character : Adamson),,,juvenile,,,ocn316460970,
8482977,"All for the best, or, The old peppermint man / by T. S. Arthur. The story without an end : from the German of Carove / by Sarah Austin ; with a preface and key to the emblems by A. Bronson Alcott",,The story without an end,"Arthur, T. S. (Timothy Shay), 1809-1885","Carové, Friedrich Wilhelm, 1789-1852|||Austin, Sarah, 1793-1867 (translator)|||Alcott, Amos Bronson, 1799-1888 (writer of preface)",New York :,"James Miller (647 Broadway),",[1877?],1877,,,,monographic,German|||English,text,print|||unmediated|||volume,"130, 93 pages : illustrations, plates ; 16 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Conduct of life,,,juvenile,,,ocn954335690,
7941121,All round the clock,,,"Mack, Robert Ellice.","Bennett, H. M. (Harriet M.) (ill)|||Nister, Ernest. (ltg, prt)",New York,E.P. Dutton & Co.|||E.P. Dutton (Firm),[188-?],188u,,,,monographic,English,text,print|||unmediated|||volume,"64 pages : frontispiece, illustrations (some color) ; 24 cm",Juvenile poetry|||text,,Picture books for children|||Children|||Conduct of life|||Children's poetry,19th century,"United States, New York, New York|||Gemany, Nuremberg",juvenile,,,ocm09365389,
4415973,"""All that glitters is not gold.""",,,"Salter, Mary J.",,Boston,Wright & Potter Printing Company,"[1886, c1880]",1886,,,,monographic,English,text,print,102 p. 18 cm.,,,,,,,,,ocm01081865,
8213499,"Allan Quatermain: being an account of his further adventures and discoveries in company with Sir Henry Curtis, bart., Commander John Good, R.N., and one Umslopogaas",,,"Haggard, H. Rider (Henry Rider), 1856-1925",,London,"Longmans, Green, and Co.",1887,,,,,monographic,English,text,print|||unmediated|||volume,"4 preliminary leaves, 278, [2] pages : frontispiece (portrait) illustrations, plates ; 20 cm.",Fiction|||text,,"Quatermain, Allan (Fictitious character)|||Hunting guides|||Adventure stories, English",,Africa,,,44044935,ocm03596493,
4221237,"almanac of twelve sports, An",,,"Nicholson, William, 1872-1949","Kipling, Rudyard, 1865-1936|||Chandler Kipling Collection (Library of Congress)|||Elizabeth Robins Pennell Collection (Library of Congress)",London,William Heinemann,"1898, c1897",1898,,1897,,monographic,English,text,print,[32] p. : col. ill. ; 32 cm.,,,"Sports in art|||Nicholson, William 1872-1949",,,,,84167493,ocm11842076,
9048685,Almanack for 1883,,,"Greenaway, Kate, 1846-1901","Evans, Edmund, 1826-1905 (prt, egr)","London (Broadway, Ludgate Hill)|||New York (9, Lafayette Place)",George Routledge and Sons|||George Routledge and Sons,[1883],1883,,,,monographic,English,text,print|||unmediated|||volume,[24] pages : color illustrations ; 11 cm,Juvenile literature|||Juvenile works|||text,,"Almanacs, English|||Natural history|||Months|||Seasons",,"England, London|||United States, New York, New York",juvenile,,,ocm09123071,
7091424,Alone in London,,,"Stretton, Hesba, 1832-1911",Religious Tract Society (Great Britain),London,Religious Tract Society,[1869?],1869,,,,monographic,English,text,print,144 p. : ill. ; 16 cm.,Juvenile fiction,,Children|||Death|||Christian life|||Homeless children|||Orphans|||Grandfathers|||Poor|||Poverty|||Reconciliation|||Hospitals,,,juvenile,,,ocm04444988,
8958203,"Alonzo and Melissa, or, The unfeeling father: an American tale",,Alonzo and Melissa|||Unfeeling father,"Mitchell, I. (Isaac), approximately 1759-1812","Jackson, Daniel, 1790-1848",Philadelphia :,"Claxton, Remsen and Haffelfinger,",1879.,1879,,,,monographic,English,text,print|||unmediated|||volume,252 pages ; 16 cm,Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Youth|||Conduct of life|||Courtship|||Friendship|||Fathers and daughters|||Brothers and sisters|||Wealth|||Social classes|||Marriage,,,juvenile,,,ocm14768052,
4365358,"alphabet, An",,,"Nicholson, William, 1872-1949",,New York,R.H. Russell,1898,,,,,monographic,English,text,print,"1 p.l., 26 col. pl. 44 cm.",,,English language|||Alphabet,,,,,18023207,ocm00543529,
4643998,"alphabet of flowers, The",,,,,London,"Dean and Son, lithographers, printers, and book and print publishers, 31, Ludgate Hill|||Dean & Son",[1855?],1855,,,,monographic,English,text,print,"8 leaves, 4 p. of publisher's advertisements : col. ill. (wood engravings) ; 25 cm.",Juvenile poetry|||Pictorial works,,Flowers|||English language|||Alphabet,,,,,,ocm82308721,
7896479,"Alphabet of lessons for children, An",,,,"Roberts, Robert, approximately 1821- (engraver)|||American Tract Society",United States],Published by the American Tract Society.,[not after 1848?],1848,,,,monographic,English,text,print,"15, [1] p. : ill. ; 11 cm.",Specimens,,Sunday school literature|||Chapbooks,,United States,juvenile,,,ocm81092186,
7713099,"Amaranth, or, Ttoken of remembrance: a Christmas and New Year's gift for 1854, The",,Amaranth|||Token of remembrance,"Percival, Emily",,Boston :,"Phillips, Sampson, and Company,|||Phillips, Sampson & Company",1854.,1854,,1853,,monographic,English,text,print|||unmediated|||volume,"288 pages, 7 unnumbered leaves of plates : illustrations ; 19 cm",Specimens|||text,,Gift books,,,,,,ocm54677386,
8116821,"amateur fireman, An",,,"Otis, James, 1848-1912","Cary, William de la Montagne, 1840-1922 (ill)",New York,E.P. Dutton & Co.|||E.P. Dutton (Firm),©1898,1898,,,,monographic,English,text,print|||unmediated|||volume,"v, 324 pages, [9] leaves of plates : illustrations ; 21 cm",Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Boys|||Conduct of life|||Homeless boys|||Shoe shiners|||Newspaper vendors|||Fire fighters|||Courage|||Arson|||Detective and mystery stories|||Rescues|||Heroes,,"United States, New York, New York",juvenile,,,ocm18811414,
1025573,"American boy's book of sports and games: a repository of in-and-out-door amusements for boys and youth, The",,,,"Orr, Nathaniel.",New York,Dick & Fitzgerald,c1864⁾,1864,,,,monographic,English,text,print,600 p. : ill. ; 20 cm.,,,Sports|||Juvenile literature|||Games,,United States,juvenile,,a 18001842,00616221,
7110655,"American girl's book, or, Occupation for play hours, The",,,"Leslie, Eliza, 1787-1858",,New York,J. Miller,1866,,,,16th ed.,monographic,English,text,print,383 p. : ill. ; 16 cm.,,,Amusements|||Handicraft,,United States,juvenile,,,ocm11855672|||11855672,
7109704,"American juvenile keepsake, for 1835, The",,,,"Hofland, (Barbara), Mrs, 1770-1844 (ed)",New York,T. Illman,c1834,1834,,,,monographic,English,text,print,"x, 250 p., [10] leaves of plates : ill. ; 16 cm.",,,Gift books,,,,,,ocm05276975,
603734,"American printer: a manual of topography, containing complete instructions for beginners, The",,,"Mackellar, Thomas, 1812-1899",,Philadelphia,Mackellar,1874,,,,9th ed.,monographic,English,text,print,336 p. front. illus. 20 cm.,,,Printing,,,,,,08686235,
1013892,American wonderland,,,"Bache, Richard Meade.",T.K. & P.G. Collins (Firm) (prt)|||Van Ingen & Snyder (egr),Philadelphia,"Claxton, Remsen, and Haffelfinger|||Claxton, Remsen & Haffelfinger",1871,,,,,monographic,English,text,print|||unmediated|||volume,"258 pages, [1] leaf of plates : illustrations ; 20 cm",Children's stories-1871|||Juvenile fiction|||novel|||text,,Indians of North America|||Children's stories,,"United States, Pennsylvania, Philadelphia",juvenile,,,ocm00819855,
7091682,"Amos Armfield, or, The leather-covered Bible",,Leather-covered Bible,"Old Humphrey, 1787-1854",,New York,American Tract Society|||American Tract Society,[between 1848 and 1894?],1848/1894,,,,monographic,English,text,print,141 p. : ill. ; 12 cm.,Juvenile fiction|||Juvenile literature|||novel,,Christian life|||Children|||Conduct of life|||Bible stories|||Storytelling|||Wealth|||Brothers and sisters|||Religious education|||Bible,,,juvenile,,,ocm26879788,
1086909,"amulet; or, Christian and literary remembrancer, The",,Christian and literary remembrancer,,,London|||Philadelphia,W. Baynes|||T. Wardle,1828,,,,,monographic,English,text,print,426 p. : ill. ; 15 cm.,,,Gift-books,,,,,,01379537,
6852210,"amusing history of Tom Thumb, The",Tom Thumb. English,History of Tom Thumb,,,London],"Dean & Son, Threadneedle St.|||Dean & Son",[18--],1800/1899,,,,monographic,English,text,print,11 p. : col. ill. ; 14 cm.,,,Children's stories,,,juvenile,,,ocn763181168|||763181168,
8215762,"anchor: with sketches of the lives of Jeremiah Evarts, James Montgomery, and Gregory T. Bell, The",,,,"American Sunday-School Union, Committee of Publication.",Philadelphia,"American Sunday-School Union, no. 146 Chestnut Street|||American Sunday-School Union",[1836?],1836,,,,monographic,English,text,print,72 p. : ill. ; 15 cm.,Juvenile literature,,"Death|||Religious aspects|||Christianity|||Anchors, Sea|||Evarts, Jeremiah 1781-1831|||Montgomery, James 1787-1834|||Bedell, Gregory T. (Gregory Townsend) 1793-1834",,,juvenile,,2010479047,ocn712590528,
