,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
20,8827312,Everywoman,"Everywoman (Los Angeles, Calif.)",Every woman|||Everywoman newspaper|||Every woman newspaper,,,"Los Angeles, Calif. :",Everywoman,,1970,19uu,,serial,"Monthly, <Mar. 1972>-|||Every three weeks, <Dec. 11, 1970-May 28, 1971>|||Monthly",eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||Sources|||periodical|||text,,Feminism|||Underground press publications,,United States California Los Angeles Los Angeles,,,,2381-8042|||0014-3790,,
21,9248400,Everywoman,"Everywoman (Los Angeles, Calif.)",,,,"Los Angeles, Calif. :",Everywoman,,1970,19uu,,serial,"Monthly, <Mar. 1972>-|||Every three weeks, <Dec. 11, 1970-May 28, 1971>|||Monthly",eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||Sources|||periodical|||text,,Feminism|||Underground press publications,,United States California Los Angeles County Los Angeles,,,,,,
22,543374,Focus,,Focus 2,,,"Garden Grove, Calif",Orange County Gay Community Center.,,197u,9999,,serial,,eng,text,microfilm,v. ill.,newspaper,,Underground newspapers,,,,,,,,
23,9247157,Her-self,,Herself|||Community women's newspaper,,,"Ann Arbor, Michigan :","Her-self,",1972-[1977],1972,1977,,serial,Irregular|||Completely irregular,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||newspaper|||text,,Women|||Feminism,,,,,,,,
24,8827729,Her-self,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
25,535136,It ain't me babe,,,,,"Berkeley, Calif","W.L.P.B. Collective, etc.]",,1970,9999,,serial,Unknown,eng,text,microfilm,v. ill.,,,Women's rights|||Periodicals|||Feminism,,,,,,,,
26,9247173,It ain't me babe,,It is not my baby Apr. 1971|||IAMB,,"Berkeley Women's Liberation (Calif.) (issuing body)|||Women's Liberation Basement Press Collective (Berkeley, Calif.) (issuing body)","Berkeley, California :","Berkeley Women's Liberation,",[1970]-,1970,uuuu,,serial,Irregular|||Completely irregular,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women's rights,,,,,,,,
27,8828038,It AINT Me BABE,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
28,535331,Know news,,,,,"Pittsburgh, Pa","Know, Inc.",,1970,9999,,serial,Irregular|||Completely irregular,eng,text,print,v. ; 28 cm.,,,,,,,,,,sc 83006224,
29,548294,Maenad,,,,,"Gloucester, Ma",P. Estey,c1980-,1980,9999,,serial,Quarterly,eng,text,print,v. : ill. ; 21 cm.,bibliography|||periodical,,Feminism|||Periodicals|||American literature|||Women authors|||Women artists,,,,,,0275-5629,82645018|||sn 81000560,
