id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
1642233,ISMIR chronicle,,Chronicle,,,"Pittsburgh, PA",International Sexual Minorities Information Resource,c1995-,1995,9999,,serial,Semianual|||Semiannual,English,text,print,v.,periodical,,,,,,,,1084-7359,sn 95002317,,
1651776,International sexual minorities events calendar,,ISMIR events calendar|||ISMIR calendar,,,"Pittsburgh, PA",International Sexual Minorities Information Resource,c1994-,1994,9999,,serial,Monthly,English,text,print,v. ; 22 cm.,periodical,,Calendars|||Gays|||Lesbians|||International Sexual Minorities Information Resource (Organization),,,,,,1075-9131,sn 94000293,,
9264314,"ladder, The",,,,Daughters of Bilitis (issuing body),"San Francisco, California :","Daughters of Bilitis,",1956-1972.,1956,1972,,serial,"Bimonthly, Oct./Nov. 1968-Aug./Sept. 1972|||Monthly, Oct. 1956-Sept. 1968|||Bimonthly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Lesbianism|||Lesbians|||Daughters of Bilitis,,Nevada|||California,,,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/9GDG/AHSI?sid=gale_marc&u=upitt_main|||http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/3LKX/AHSI?sid=gale_marc&u=upitt_main
1481948,Lambda Rising news,,,,,"Washington, DC",Lambda Rising,,1984,9999,,serial,Four times a year|||Quarterly,English,text,print,v. : ill. ; 38 cm.,periodical,,"Periodicals|||Gays|||Books and reading|||Lambda Rising, Inc.",,United States,,,,1053-363X|||1053-353X,sn 90004901,,
9247652,Lambda Rising news,,,,"Lambda Rising, Inc (publisher)","Washington, DC :","Lambda Rising, Inc.,|||Lambda Rising, Inc",1984-199-?.,1984,199u,,serial,"Quarterly, <Fall 1990->|||Quarterly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Booksellers' catalogs|||Catalogs|||Periodicals|||periodical|||text,,"Gays|||Books and reading|||Lesbians|||Gays in literature|||Homosexuality in literature|||Gays' writings|||Lesbians' writings|||Gay authors|||Lesbian authors|||Lambda Rising, Inc.",,Washington (D.C.)|||United States,,,,1053-363X|||1053-353X,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/2UHL/AHSI?sid=gale_marc&u=upitt_main
9275942,"Leather journal, The",,TLJ,,,"West Hollywood, CA",Cedar Pub. Corp.,,19uu,9999,,serial,Monthly,English,text,print,v.,Periodicals|||periodical,,Leather lifestyle|||Sadomasochism|||Gay men|||Gay sadomasochism,,,,,,1062-8185,sn 92004064,,
9376415,Menergy: the newsletter of the Pittsburgh Men's Collective,,Menergy of the Pittsburgh Men's Collective|||Newsletter of the Pittsburgh Men's Collective,,,"Pittsburgh, Penn",Pittsburgh Men's Collective,1992-,1992,9999,,serial,Bimonthly,English,text,print|||unmediated|||volume,volumes : illustrations ; 28 cm.,Newsletters|||Periodicals|||periodical|||text,,Men,,Pennsylvania|||Pittsburgh,,"Newsletter of the Pittsburgh Men's Collective Pittsburgh, Penn. : Pittsburgh Men's Collective, 1989-1992. (OCoLC)25921014",,,,,
9376405,Newsletter of the Pittsburgh Men's Collective,,,,,"Pittsburgh, Penn",Pittsburgh Men's Collective,1989-1992,1989,1992,,serial,Bimonthly,English,text,print|||unmediated|||volume,volumes : illustrations ; 28 cm.,Newsletters|||Periodicals|||periodical|||text,,Men,,Pennsylvania|||Pittsburgh,,"Pittsburgh Men's Collective newsletter Pittsburgh, Penn. : Pittsburgh Men's Collective, 1979-<1988?> (OCoLC)25920926","Menergy. Pittsburgh, Penn. : Pittsburgh Men's Collective, 1992- (OCoLC)26776477",,,,
442097,New York native,,,,,"New York, NY","That New Magazine, Inc.",,19uu,9999,,serial,Biweekly,English,text,print,v. : ill. ; 38 cm.,periodical,,,,,,,,0744-060X,83006344,,
9247609,PFLAG newsletter,,"Parents and Friends of Lesbians and Gays newsletter (Boston, Massachusetts)|||Parents' newsletter (Philadelphia, Pennsylvania)|||Newsletter, Parents & Friends of Lesbians and Gays (Los Angeles, California)|||Newsletter, Parents & Friends of Gays & Lesbians (Chicago, Illinois)|||United Parents and Friends Support Group, Inc. (Phoenix, Arizona)|||Newsletter, Parents and Friends of Gays (Chico, California)|||Newsletter, Parents & Friends of Lesbians and Gays (San Francisco, California)|||Parents flag, Parents & Friends of Lesbians & Gays (Santa Ana, California)|||Newsletter",,Boston Parents and Friends of Lesbians and Gays (issuing body),"Boston, Massachusetts :","Parents & Friends of Lesbians and Gays,",1982-,1982,uuuu,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes).,Periodicals|||periodical|||text,,Gays|||Lesbians|||Parents of gays|||Parents & Friends of Lesbians and Gays,,Massachusetts|||Boston,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=9EVM&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
