id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn,url
593157,Black women oral history project,,,,,,,1977-1980,1977,1980,,monographic,,English,text,print,2.7 ft. (2 boxes) : ill. ; 28 x 33 x 41 cm. + 1 guide (152 p. ; 28 cm.),Sources|||biography,,African American women|||History,,,,,,,,,
1644454,Broomstick,,,,,"San Francisco, CA",San Francisco Women's Centers,,1978,9999,,serial,"Bimonthly, 1982-|||Monthly, 1978-1981|||Bimonthly",English,text,print,v. : ill. ; 28 cm.,Periodicals|||periodical,,Middle aged women|||Older women|||Feminism|||Periodicals,,United States,,,,0883-9611,86643602|||sn 84012335,,
429822,Cassandra: radical feminist nurses newsletter,"Cassandra (Williamsville, N.Y.)",,,,"Williamsville, N.Y",Cassandra,[1982-,1982,9999,,serial,Unknown,English,text,print,v. : ill. ; 28 cm.,periodical,,Nursing|||Social aspects|||Periodicals|||Feminism,,,,,,,87036322,,
541314,Chrysalis,,,,,Los Angeles,Chrysalis,c1977-,1977,1980,,serial,Quarterly,English,text,print,no. ill. 28 cm.,periodical,,Women|||Periodicals|||Feminism|||Women's writing,,,,,,0197-1867|||0197-1859,79643087,,
8826336,Chrysalis,,,,,Los Angeles :,"Chrysalis,",[1977-1980],1977,1980,,serial,Quarterly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Periodicals|||periodical|||text,,Women|||Feminism|||Literature|||Women authors,,,,,,2381-4349|||0197-1867,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=DBCIDBB
9263904,Chrysalis: the journal of transgressive gender identities,,,,,"Decatur, Georgia :","American Educational Gender Information Service, Inc. (AEGIS),",[date of publication not identified],uuuu,uuuu,,serial,Quarterly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Sexual orientation|||Gender identity|||Gender nonconformity|||Sex change|||Sex role,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/04JM/AHSI?sid=gale_marc&u=upitt_main
846640,"Clarion, The","Clarion (Syracuse, N.Y.)",,,,"Syracuse, N.Y","CPM, inc.",,198u,9999,,serial,Quarterly,English,text,print,v. : ill. ; 44 cm.,periodical,,Cesarean section|||Prevention|||Periodicals|||Complications|||Delivery (Obstetrics),,,,,,,88036262,,
538847,Do it NOW: monthly action newsletter of the National Organization for Women,"Do it NOW (Chicago, Ill.)",,,,"Chicago, Ill",National Organization for Women,-c1977,1968,1977,,serial,Irregular|||Completely irregular,English,text,print,v. : ill. ; 28-43 cm.,Periodicals|||periodical,,Feminism|||Women's rights|||National Organization for Women,,United States,,,National NOW times 0149-474X (DLC)sn 78004689 (OCoLC)3494944,,sn 86023269,,
9247914,Do it NOW: monthly action newsletter of the National Organization for Women,"Do it NOW (Chicago, Ill.)",Do it now,,National Organization for Women (issuing body),"Chicago, Illinois :","National Organization for Women,",-1977.,1968,1977,,serial,Irregular|||Completely irregular,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women's rights|||National Organization for Women,,United States,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=3UZV&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
8827312,Everywoman,"Everywoman (Los Angeles, Calif.)",Every woman|||Everywoman newspaper|||Every woman newspaper,,,"Los Angeles, Calif. :",Everywoman,,1970,19uu,,serial,"Monthly, <Mar. 1972>-|||Every three weeks, <Dec. 11, 1970-May 28, 1971>|||Monthly",English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||Sources|||periodical|||text,,Feminism|||Underground press publications,,"Los Angeles County (Calif.)|||California|||United States, California, Los Angeles, Los Angeles|||United States|||Los Angeles|||Los Angeles (Calif.)|||Los Angeles County",,,,2381-8042|||0014-3790,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFGIFEB
9248400,Everywoman,"Everywoman (Los Angeles, Calif.)",,,,"Los Angeles, Calif. :",Everywoman,,1970,19uu,,serial,"Monthly, <Mar. 1972>-|||Every three weeks, <Dec. 11, 1970-May 28, 1971>|||Monthly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||Sources|||periodical|||text,,Feminism|||Underground press publications,,"Los Angeles County (Calif.)|||California|||United States|||United States, California, Los Angeles County, Los Angeles|||Los Angeles|||Los Angeles (Calif.)",,,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/9GGR/AHSI?sid=gale_marc&u=upitt_main
543374,Focus,,Focus 2,,,"Garden Grove, Calif",Orange County Gay Community Center.,,197u,9999,,serial,,English,text,microfilm,v. ill.,newspaper,,Underground newspapers,,Garden Grove|||California,,,,,,,
9247157,Her-self,,Herself|||Community women's newspaper,,,"Ann Arbor, Michigan :","Her-self,",1972-[1977],1972,1977,,serial,Irregular|||Completely irregular,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||newspaper|||text,,Women|||Feminism,,Michigan|||Ann Arbor (Mich.)|||Washtenaw County (Mich.),,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QJZ&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
8827729,Her-self,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=CBGJBDI
535136,It ain't me babe,,,,,"Berkeley, Calif","W.L.P.B. Collective, etc.]",,1970,9999,,serial,Unknown,English,text,microfilm,v. ill.,,,Women's rights|||Periodicals|||Feminism,,,,,,,,,
