id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
540208,Carolina plain dealer,,,,,"Durham, N.C",Carolina Media Collective.,,1970,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Durham|||United States, North Carolina, Durham|||North Carolina",,,,,,,
542848,Caveat emptor,,,,,"Coatesville, Pa",Nexus Enterprises.,,1972,9999,,serial,Biennial,English,text,microfilm,ill.,newspaper,,Underground newspapers,,"Pennsylvania|||Coatesville|||United States, Pennsylvania, Coatesville",,,,,,,
542047,Challenge,,,,,"East Hanover, New Jersey",,,1976,9999,,serial,Monthly,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, New Jersey, East Hanover|||East Hanover|||New Jersey",,,,,,,
540354,Chicago express,,,,,Chicago,Shoestring Pub. Corp.,,1972,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"Illinois|||United States, Illinois, Chicago|||Chicago",,,,,,,
540227,Chinook,,,,,Denver,Skyrocket Publications.,,1969,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"Colorado|||Denver|||United States, Colorado, Denver",,,,,,,
540228,Columbus free press,,,,,"Columbus, Ohio",,,1971,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"United States, Ohio, Columbus|||Columbus|||Ohio",,,,,,,
542041,Common sense,,,,,San Francisco,,,1973,9999,,serial,Monthly,English,text,microfilm,,periodical,,Underground press publications,,"San Francisco|||United States, California, San Francisco|||California",,,,,,,
540229,Community press service,,,,,"Cambridge, Mass",Urban Planning Aid.,,1971,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"Cambridge|||United States, Massachusetts, Cambridge|||Massachusetts",,,,,,,
540369,Contracultura,,,,,Buenos Aires,,,1970,9999,,serial,Unknown,Spanish,text,microfilm,,newspaper,,Underground press publications,,"Argentina|||Argentina, Buenos Aires|||Buenos Aires",,,,,,,
540238,Corpus; the main body,,,,,New York,,,1969,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"United States, New York, New York|||New York|||New York (State)",,,,,,,
540371,Cosmic paper,,,,,Amsterdam,,,1972,9999,,serial,Monthly,English,text,microfilm,,newspaper,,Underground newspapers,,"Netherlands|||Netherlands, Amsterdam|||Amsterdam",,Lemuria 0024-077x,,,,,
542042,Creative loafing,,,,,"Atlanta, Ga",,,1972,9999,,serial,Weekly,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Georgia, Atlanta|||Atlanta|||Georgia",,,,,,,
540362,"Daily Rag, The",,,,,"Washington, D.C",,,1973,9999,,serial,Biweekly,English,text,microfilm,ill.,newspaper,,Underground newspapers,,"United States, District of Columbia, Washington|||Washington (D.C.)",,,,,,,
540226,Detroit gay liberator,,,,,"Detroit, Mich",,,1970,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Michigan|||Detroit|||United States, Michigan, Detroit",,Detroit liberator (OCoLC)2260328,,,,,
543503,Doing it!: Humanizing city life,,,,,"Worthington, Ohio",Urban Alternatives Group.,,1976,1977,,serial,Six no. a year.|||Annual,English,text,microfilm,28 cm.,newspaper,,Underground newspapers,,"Worthington|||United States, Ohio, Worthington|||Ohio",,,Humanizing city life,,,,
540230,Door to liberation,,,,,"San Diego, Calif",,,1968,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"California|||United States, California, San Diego|||San Diego",,San Diego free door to liberation,San Diego free door,,,,
542102,Eden,,,,,"Fountain Valley, California",,,1976,9999,,serial,Completely irregular,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Calif, Fountain Valley|||California|||Fountain Valley",,,,,,,
542102,Eden,,,,,"Fountain Valley, California",,,1976,9999,,serial,Completely irregular,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Calif, Fountain Valley|||California|||Fountain Valley",,,,,,,
543241,Family voice,,,,,"Elmhusrt, N.Y",Snort Publications.,,,9999,,serial,Biennial,English,text,microfilm,v. ill.,newspaper,,Underground newspapers,,"Elmhurst|||United States, New York, Elmhurst|||New York (State)",,,,,,,
540361,"First issue, The",,,,,"Brattleboro, Vt",,,,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground press publications,,"United States, Vermont, Brattleboro|||Brattleboro",,,,,,,
542044,"Five penny gazette, The",,,,,Ontario,,,1976,9999,,serial,Monthly,English,text,microfilm,,newspaper,,Underground newspapers,,"Canada, Ontario|||Ontario",,,,,,,
542840,Folly,,,,,"Bethlehem, Pa",BAW Publications.,,1974,9999,,serial,Unknown,English,text,microfilm,ill.,newspaper,,Underground newspapers,,"United States, Pennsylvania, Bethlehem|||Pennsylvania|||Bethlehem",,,,,,,
540231,"Four year bummer, A",,,,,"Champaign, Illinois",,,1969,9999,,serial,Monthly,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"Illinois|||Champaign|||United States, Illinois, Champaign",,,,0015-9131,,,
540352,"Free aquarian, The",,,,,"Hackensack, New Jersey",,,,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"Hackensack|||United States, New Jersey, Hackensack|||New Jersey",,,,,,,
540500,"Free press, The",,Guerilla,,,Toronto,,,1uuu,9999,,serial,Weekly,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"Toronto|||Ontario|||Canada, Ontario, Toronto",,,,,,,
543358,"Free press of Springfield, The",,,,,"Springfield, Mass",,,1968,9999,,serial,Unknown,English,text,microfilm,v. ill.,periodical,,Underground press publications,,"Massachusetts, Springfield|||Springfield|||Massachusetts",,,,,,,
540671,Front libertaire,,,,,Paris,,,1971,9999,,serial,monthly?|||Monthly,French,text,microfilm,,newspaper,,Underground newspapers,,"France, Paris|||France|||Paris",,,,,,,
543235,Fun city,,,,,"Bloomington, Ind",,,1975,9999,,serial,Unknown,English,text,microfilm,v. ill.,newspaper,,Underground press publications,,"Indiana|||Bloomington|||United States, Indiana, Bloomington",,,,,,,
540572,"Gar, The",,,,,"Austin, Tex",,,1971,9999,,serial,Monthly,English,text,microfilm,,newspaper,,Underground press publications,,"Texas|||United States, Texas, Austin|||Austin",,,,0046-5410,,,
540669,Gateavisa,,,,,"Oslo, Norway",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Norway, Oslo|||Oslo|||Norway",,,,,,,
542054,"Gazette guide, The",,,,,"Washington, D.C",,,,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Washington (D.C.)|||United States, Washington, D.C",,,,,,,
540658,"Ghent free press, The",,,,,"Norfolk, Va",,,1973,9999,,serial,Unknown,English,text,microfilm,,Virginia|||newspaper,,Underground newspapers,,"United States, Virginia, Norfolk|||Norfolk",,,,,,,
540652,Glyptodon news,,,,,"Austin, Tex",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground press publications,,"Texas|||United States, Texas, Austin|||Austin",,,,,,,
540906,Good morning teaspoon,,,,,"San Diego, Calif",,,1968,19uu,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"California|||United States, California, San Diego|||San Diego",,,San Diego door|||Teaspoon and the door,,,,
542091,"Goodfellow review of crafts, The",,,,,"Berkeley, Calif",,,1972,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground press publications,,"United States, Calif, Berkeley|||California|||Berkeley",,,,,,,
540743,Grito,,,,,"Buenos Aires, Argentina",,,1974,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground press publications,,"Argentina|||Argentina, Buenos Aires|||Buenos Aires",,,,,,,
542046,Growing seasons,,,,,"Lincoln, Nebr",,,1976,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Lincoln|||Nebraska|||United States, Nebraska, Lincoln",,,,,,,
