,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
63,31735037972449,"winthrop allen (brother),",,,,university of pittsburgh,,9,text,archival document
64,us-ppiu-sc195201,"hervey allen papers, 1831-1965; papers of hervey allen, 1831-1965",,,1965; 1831,university of pittsburgh,,,mixed material,financial records.; family papers.; diaries; personal papers.; manuscripts for publication.; correspondence.
65,31735037969866,"civil war prose on slavery,",,,,university of pittsburgh,156,5,text,archival document
66,31735037970088,"diary containing accounts of daily life in pittsburgh and on the steamboat new hampshire,",,1846,,university of pittsburgh,180,2,text,archival document
67,31735037970112,"""notices of books,"" notebook containing summaries and personal reviews of books and journal entries accounting daily life and travels,",,1840/1841,,university of pittsburgh,182,2,text,archival document
68,31735037969858,"chinook jargon:carbon copy and photocopy,",,1852/1855,,university of pittsburgh,156,4,text,archival document
69,31735037973017,"winthrop allen (brother),",,,,university of pittsburgh,,10,text,archival document
70,31735037969882,"scrapbook of newspaper clippings of poems and handwritten poems,",,1848/1849,,university of pittsburgh,159,3,text,archival document
71,31735037972498,"winthrop allen (brother),",,,,university of pittsburgh,,7,text,archival document
72,31735037969825,"letters from the oregon trail: carbon copy, part i (2 copies),",,,,university of pittsburgh,156,1,text,archival document
73,31735037969965,"photographs of the 155th regiment of pennsylvania volunteers of the civil war,",,1908,,university of pittsburgh,158,4,text,archival document
74,31735037969981,"journal accounting daily life in pittsburgh,",,1851,,university of pittsburgh,158,6,text,archival document
75,31735037972688,"elizabeth allen (sister),",,,,university of pittsburgh,,15,text,archival document
76,31735037972977,"winthrop allen (brother),",,,,university of pittsburgh,,10,text,archival document
77,31735037970187,"book of recorded quotations and poems,",,1847,,university of pittsburgh,183,4,text,archival document
78,31735037972944,"winthrop allen (brother),",,,,university of pittsburgh,,3,text,archival document
79,31735037970054,"letter of recommendation for rank of colonel,",,1863,,university of pittsburgh,157,4,text,archival document
80,31735037972407,"winthrop allen (brother),",,1947,,university of pittsburgh,172,7,text,archival document
81,31735037969957,"fall in! comrades, written for the 155th regiment of pennsylvania volunteers,",,1894,,university of pittsburgh,157,15,text,archival document
82,31735037970245,william h. allen (great uncle),,,,university of pittsburgh,177,5,text,archival document
83,31735037972399,"winthrop allen (brother),",,,,university of pittsburgh,,4,text,archival document
84,31735037972530,"winthrop allen (brother),",,,,university of pittsburgh,,8,text,archival document
85,31735037972597,"winthrop allen (brother),",,,,university of pittsburgh,,6,text,archival document
86,31735062230572,"edgehill home,",,1899/1900,,university of pittsburgh,178,2,text,archival document
87,31735037972787,"winthrop allen (brother),",,,,university of pittsburgh,,1,text,archival document
88,31735037970120,"personal diary accounting daily life on the steamboat new hampshire,",,1842,,university of pittsburgh,182,3,text,archival document
89,31735037969908,"scrapbook album including photos and miscellaneous allen family items,",,1855,,university of pittsburgh,159,5,text,archival document
90,31735037970252,hervey upon return from washington territory [framed portrait],,1855,,university of pittsburgh,158,1,still image,archival document
91,31735037969940,"memorial day address given at homewood cemetary,",,1901,,university of pittsburgh,157,14,text,archival document
92,31735062230564,genealogy,,,,university of pittsburgh,173,4,text,archival document
93,31735062230580,"portrait of allen family with john w. alexander at edgehill,",,1876,,university of pittsburgh,193,,text,archival document
94,31735037970211,"diary accounting work on the steamboat norma and daily life in pittsburgh,",,1851,,university of pittsburgh,184,3,text,archival document
