id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,depositor,url,collection_id
,Nickelodeon Theater,,,,,,,,,,,monographic,,,still image,,,,,,,,,,,,,,9942778283406236,,,,,,
,"century of movie posters: from silent to art house, A",,,,,"Hauppauge, NY]",Barron's,,,,1st ed.,monographic,,English,text,print,224 p. : ill. (chiefly col.) ; 29 cm.,Pictorial works|||bibliography,"Film buffs, graphic designers, and art students will relish this beautifully produced and strikingly illustrated volume. Arranged in roughly chronological order, it brings together movie posters from around the world, starting with Charlie Chaplin film ads and the Russian Revolutionary movie posters of the 1910s, then spanning the century to show posters publicizing hits of the 1990s, including The Silence of the Lambs, Spike Lee films, and many more. The books sections focus on renowned individual designers, directors, movies, and genres. Important poster designers such as Saul Bass, Jan Lenica, and Juan Gatti receive particular attention, as do great directors who had strong opinions about how their films should be represented. Among the latter are Alfred Hitchcock, Jean-Luc Godard, and Otto Preminger. All major film genres are represented musicals, Kung Fu movies, films noir, westerns (including so-called spaghetti westerns filmed in Italy), science fiction classics, and others. Readers are treated to examples of movie posters not only from the United States, Britain, and France, but also to previously unpublished examples from countries as diverse as Poland, China, and Cuba. For instance, fans of Orson Welles might be surprised to see the previously unpublished Italian poster advertising Citizen Kane under its Italian title, Quarto Potere (The Fourth Estate). This handsome volume will be valued by graphic designers, poster collectors, and anyone sharing the popular passion for cinema.",Film posters,,,,,,,,,9942946553406236,,2003102236,,,,
,"New Leona Theatre in Homestead, The",,,,,,,,,,,monographic,,,still image,photograph,,,,,,,,,,,,,9943023483406236,,,,,,
,Old Drury Theatre,,,,,,,,,,,monographic,,,still image,photograph,,,,,,,,,,,,,9943023493406236,,,,,,
,Syria Mosque,,,,,,,,,,,monographic,,,still image,photograph,,,,,,,,,,,,,9943023503406236,,,,,,
,Fantastic: a new collection of scenes from all-time favorite films featuring Boris Karloff,,,,,S.l.],Screen Facts Press,,,,,monographic,,English,text,print,[49] p. : all ill. ; 26 cm.,,,"Karloff, Boris 1887-1969",,,,,,,,,9943919373406236,,,,,,
,On stage,,,,,N.Y,Universe,,,,,monographic,,English,text,print,1 v. (unpaged) : ill. ; 24 cm.,,,Theater|||Pictorial works|||Museum of the City of New York. Theatre Collection.,,New York (State)|||New York,,,,,,,9943981673406236,,,,,,
,"selection of musicals from the catalog of Tams-Witmark Musical Library, inc, A",,,,,"New York, N.Y",Tams-Witmark Music Library,,,,,monographic,,English,text,print,23 p. : ill. (some col.) ; 28 cm.,Bibliography|||Catalogs,,Musicals,,,,,,,,,9943981933406236,,,,,,
,Musical show,,,,,New York,Tams-Witmark Musical Library.,,19uu,9999,,serial,Unknown,English,text,print,v.,,,,,,,,,,,,9943981963406236,,sf 81004096,,,,
,Theatre set designs in the Victoria and Albert Museum,,Theatre set designs,,,"Haslemere, Surrey?]",Emmett Microform,,,,,monographic,,English,text,microfiche|||microform,25 microfiches : col. & all ill. ; 11 x 15 cm.,Pictorial works,,Theaters|||Stage-setting and scenery|||Theater|||History|||Sources,,,,,,,,,9944126913406236,,,,,,
,"Answering a question with a question: an exploration of the role of Rosencrantz in Tom Stoppard's ""Rosencrantz and Gildenstern are dead""",,"Exploration of the role of Rosencrantz in Tom Stoppard's ""Rosencrantz and Gildenstern are dead""",,,,,,,,,monographic,,English,text,print,174 leaves : ill. ; 28 cm.,bibliography,,"Criticism and interpretation|||Stoppard, Tom",,,,,,,,,9944197233406236,,,,,,
,Seminar '65 report,,Seminaire '65 rapport,,,"Ottawa, Ont",Canadian Conference of the Arts,,,,,monographic,,French|||English,text,print,1 v. (various pagings) ; 28 cm.,Congresses|||conference publication,,"Federal aid to the arts|||Arts, Canadian|||Cultural policy",,Canada,,,,,,,9944197243406236,,,,,,
,Horror poster art,,,,,London,Aurum Press,,,,,monographic,,English,text,print,191 p. : chiefly col. ill. ; 30 cm.,Catalogs,"""This splendid, if scary, collection of movie posters covers over 80 years of horror films and features all the classics of the genre from early silents such as Nosferatu (illustrated here with a hitherto unpublished poster) and The Cabinet of Dr. Caligari to contemporary blockbusters like Silence of the Lambs. The films are grouped by categories, such as Universal Studios' uniquely rich hoard of horror, the products of British horror specialists Hammer Films, Japanese horror movies, horror spoofs such as An American Warewolf in London, or serial killer movies."" ""Also featured is the work of directors who are wholly or partly remembered for their contribution to the genre.""--BOOK JACKET.",Horror films|||Posters,,,adult,,,,,,9944299943406236,,,,,,
,"independent movie poster book: from the collection of the Posteritati Gallery, The",,,,,New York,H.N. Abrams,,,,,monographic,,English,text,print,176 p. : chiefly ill. (chiefly col.) ; 31 cm.,Catalogs|||catalog,,Film posters,,,,,,,,,9945136763406236,,2004020413,,,,
,"must see!: brilliant Broadway artwork, A",,,,,"San Francisco, Calif",Chronicle Books,,,,,monographic,,English,text,print,156 p. : ill. (chiefly col.) ; 31 cm.,Catalogs|||catalog,,"Theatrical posters, American|||Musicals",,New York (State)|||New York|||United States,,,,,,,9945187553406236,,2003017908,,,,
,Membership directory,Puppetry journal,Handbook and directory|||Service guide & membership directory,,,"Macedonia, Ohio]",Puppeteers of America,,1983,uuuu,,serial,Biennial,English,text,print,v. ; 28 cm.,directory,,Directories|||Puppeteers|||Puppeteers of America,,,,International membership directory Puppeteers of America. 0732-2011 (DLC)sc 82007046 (OCoLC)4296974,,,,,9945817503406236,,sc 88010202,,,,
,"Italian ballet, 1637-1977: a catalogue",,,,,"Cambridge, Mass",Houghton Library of the Harvard College Library|||Distributed by Harvard University Press,,,,,monographic,,English,text,print,"xxi, 420 p., [7] folded leaves of plates : col. ill. / 28 cm.",Catalogs|||bibliography,"A catalogue of scores, manuscripts, books, playbills, costume designs, and ephemera relating to ballets performed in Italy from the 17th through the 20th century.",Ballet|||Harvard Theatre Collection|||John Milton and Ruth Neils Ward Collection (Harvard Theatre Collection),,"United States, Massachusetts, Cambridge|||Italy",,,,,,,9945893833406236,,,,,,
,Hirschfeld's British aisles,,British aisles,,,"S.l.]|||Milwaukee, WI",Glenn Young Books|||distributed by] Hal Leonard/Applause Books,,,,1st ed.,monographic,,English,text,print,221 p. : chiefly ill. ; 28 cm.,Caricatures and cartoons|||biography,,Theater,,England|||Great Britain,,,,,,,9945944843406236,,,,,,
,"Surf movie tonite!: surf movie poster art, 1957-2004",,,,,San Francisco,Chronicle Books,,,,,monographic,,English,text,print,143 p. : chiefly ill. (some col.) ; 31 cm.,Catalogs|||catalog,,Beach party films|||Posters,,,,,,,,,9945946853406236,,2004029754,,,,
,"Encore! 3 tenors: José Carreras, Plácido Domingo, Luciano Pavarotti with Zubin Mehta",,Encore three tenors,,,San Francisco,Collins Publishers San Francisco,,,,,monographic,,English,text,print,70 p. : ill. (som col.) ; 28 cm.,,,"Performances|||Concert programs|||Carreras, José|||Domingo, Plácido 1941-|||Pavarotti, Luciano|||Mehta, Zubin",,Los Angeles|||California,,,,,,,9948853083406236,,,,,,
,"genius of the later English theater, The",,,,"Barnet, Sylvan (ed)",New York],New American Library,,,,,monographic,,English,text,print,536 p. 19 cm.,bibliography,,English drama,,,,,,,,,9949383163406236,,62018430,,,,
,"songs of Paul Simon, The",Songs. Selections,,,,New York,A.A. Knopf|||[Distributed by Random House],,,,[1st ed.],monographic,,English,notated music,print,"1 score (xii, 331 p.) : ill. (some col.) ; 28 cm.",,,Popular music,,,,,,,,,9951134473406236,,78038322,,,,
,Film posters: horror,,Horror,,,Köln|||London,Taschen,,,,,monographic,,English,text,print,191 p. : col. ill. ; 30 cm.,Catalogs,,Film posters|||Horror films|||Posters,,,,,,,,,9954301153406236,,,,,,
,Film posters of the 30s: the essential movies of the decade : from the Reel Poster Gallery collection,,,,,Köln|||London,Taschen,,,,,monographic,,English,text,print,127 p. : col. ill. ; 30 cm.,Catalogs|||Ouvrages illustrés|||Pictorial works,,Film posters|||Affiches de cinéma|||Reel Poster Gallery.,,,,,,,,,9954301163406236,,,,,,
,Film posters science fiction,,,,,Köln|||London,Taschen,,,,,monographic,,English,text,print,192 p. : col. ill. ; 30 cm.,Catalogs,,Film posters|||Science fiction films|||Posters|||Science fiction in art,,,,,,,,,9954301183406236,,,,,,
,Restoration plays,,,,,New York,Modern Library,,,,,monographic,,English,text,print,"xx, 674 p. ; 19 cm.",bibliography,,English drama,"Restoration, 1660-1700",,,,,,,,9956128103406236,,53009766,,,,
,Murder in the cathedral,,,,,New York,"Harcourt, Brace",,,,[2d ed.].,monographic,,English,text,print,"[7], 11-86 p. 23 cm.",Drama,,"à Becket, Saint Thomas 1118?-1170",,,,,,,,,9956955563406236,,,,,,
,Computers and the performing arts: a report on the National computer project for the performing arts,,,,,"New York, NY",TCG,,,,,monographic,,English,text,print,113 p. : ill. ; 28 cm.,,,Performing arts|||Data processing|||Arts du spectacle|||Informatique,,,,,,,,,9960981443406236,,80153515,,,,
,Goodspeed Opera House,,,,,"Portland, Conn",Printed by the Waverly Print. Co.,,,,,monographic,,English,text,print,56 p. : ill. (some col.) ; 22 cm.,,,"History|||Theaters|||Historic buildings|||Buildings, structures, etc|||Goodspeed Opera House",,Connecticut|||East Haddam (Conn. : Town)|||East Haddam (Town),,,,,,,9967828593406236,,,,,,
,"Practical guide to arts participation research, A",,,,,"Washington, DC",National Endowment for the Arts,,,,,monographic,,English,text,print,"iii, 91 p. : ill. ; 28 cm.",bibliography|||government publication,,Arts audiences|||Arts surveys|||Culturele participatie|||Publieksonderzoek|||Onderzoeksontwerp,,United States,,,,,,,9967829163406236,,95012004,,,,
,"Pittsburgh Cultural Trust: the first five years : 1984 - 1989, The",,First five years,,,"Pittsburgh, PA",Pittsburgh Cultural Trust,,,,,monographic,,English,text,print,16 p. ; 33 cm.,,,Arts|||Economic aspects|||Art and society|||Pittsburgh Cultural Trust.,,Pennsylvania|||Pittsburgh,,,,,,,9967829803406236,,,,,,
,Directory of consultants,"Directory of consultants (State College, Pa.)",,,,"State College, PA",The Network,,1991,9999,,serial,Annual,English,text,print,v. ; 28 cm.,Directories,,Art consultants|||Arts administrators,,Pennsylvania,,,,,,,9967830203406236,,,,,,
,"Dance, music, theatre, visual arts: what every young American should know and be able to do in the arts : National standards for arts education",National standards for arts education,,,,"Reston, Va",Music Educators National Conference,,,,,monographic,,English,text,print,142 p. ; 28 cm.,,,Arts|||Study and teaching|||Standards|||Music|||Instruction and study,,United States,,,,,,,9967830413406236,,94193083,,,,
,Planning to make the arts basic: a report to the National Endowment for the Arts on the impact and results of the Arts in Schools Basic Education Grants Program,,,,,"Marion, MA",ArtsMarket Consulting,,,,1st ed.,monographic,,English,text,print,292 p. : ill. ; 28 cm.,bibliography,,Arts in Schools Basic Education Grants Program (U.S.),,United States,,,,,,,9967832093406236,,91029813,,,,
,"official BBC guide to the reopening of the Royal Opera House, The",,,,,"London, U.K",BBC Worldwide,,,,,monographic,,English,text,print,106 p. : ill. ; 29 cm.,,,"Royal Opera House (London, England)|||London / Königliches Opernhaus Covent Garden.",,England,,,,,,,9971068473406236,,2004445245,,,,
,Lazarus laughed (1925-26): a play for an imaginative theatre,,,,Boni & Liveright (publisher),New York,Boni & Liveright|||Boni & Liveright,,,,,monographic,,English,text,print,179 p. 22 cm.,Drama,,"of Bethany, Saint Lazarus",,,,,,,,,9971630643406236,,27024516,,,,
,My three lives,,,,,"Palm Beach, Fla",IRC Promotions,,,,,monographic,,English,text,print,343 p. : ill. (chiefly col.) ; 32 cm.,biography,,"Actors|||Singers|||Socialites|||Farris, Celia Lipton|||Farris, Victor W",,Florida|||United States|||Palm Beach|||Great Britain,,,,,,,9972279243406236,,,,,,
,Theatre world,"Theatre world (New York, N.Y. : 1981)",John Willis with Ben Hodges theatre world|||John Willis theatre world,,,New York,Crown Publishers,,1981,2013,,serial,Annual,English,text,print,v. : ill. ; 24 cm.,Periodicals,,Theater,,New York (State)|||New York|||United States,,John Willis' theatre world 1088-4556 (DLC) 96641429 (OCoLC)2957168,,,,,9975982663406236,1088-4564,96641430|||sn 84010391,,,,
,"Kennedy Center honors, The",,[Calendar],,,"Washington, D.C",John F. Kennedy Center for the Performing Arts,,198u,9999,,serial,Annual,English,text,print,"v. (unpaged) : ill., ports. ; 28 cm.",Pictorial works,,Performing arts|||Awards|||Entertainers|||John F. Kennedy Center for the Performing Arts (U.S.),,United States,,,,,,,9979405603406236,,,,,,
,Spurlos: Roman,Taken. German,,,"George, Kathleen, 1943- (author)",Bergisch Gladbach :,"Bastei Lübbe,",,,,Erste Auflage.,monographic,,German|||English,text,print|||unmediated|||volume,461 pages ; 18 cm,Detective and mystery fiction|||Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,,9986002523406236,,,,,,
,Kidnappet,Taken. Danish,,,"George, Kathleen, 1943- (author)",København :,"Bogklubben Egmont,",,,,,monographic,,Danish|||English,text,print|||unmediated|||volume,317 pages ; 22 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,,9986002653406236,,,,,,
,Stjålet,Taken. Norwegian,,,"George, Kathleen, 1943- (author)",Oslo :,"Egmont Hjemmets Bokforlag,",,,,,monographic,,Norwegian|||English,text,print|||unmediated|||volume,341 pages ; 22 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,,9986002713406236,,,,,,
,Roof,Taken. Dutch,,,"George, Kathleen, 1943- (author)",Amsterdam :,"Uitgeverij Luitingh - Sijthoff,",,,,,monographic,,Dutch|||English,text,print|||unmediated|||volume,351 pages ; 23 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,,9986009793406236,,,,,,
