id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,depositor,url,collection_id
,"Performing arts scrapbooks, 1889-1974 (bulk 1905-1967)",,,,"Barth, Harold B. (Harold Bradshaw), 1884-1974 (collector)",,,,1905,1967,,monographic,,English,,,13.75 (41,Performing arts-Records-Ohio-East Liverpool|||Performing arts-Records-Pennsylvania-Pittsburgh|||Theater-Albums|||Theater-Clippings|||Theater-Notebooks|||Theater-Pamphlets|||Theater-Programs|||Theater-Records-Ohio-East Liverpool|||Theater-Records-Pennsylvania-Pittsburgh|||Theater-Scrapbooks,"Scrapbooks are on theater, film, and other performing arts, chiefly in East Liverpool, Ohio, and Pittsburgh, Pa. Scrapbooks organized in volumes according to subject, i.e. drama, music, motion pictures, etc. 21 volumes contain programs accompanied by related clippings (motion picture books are chiefly clippings), all these mounted in loose-leaf albums. Bound ledger books (scrapbooks 22-34) and composition books (scrapbooks 35-39) were used for clippings of interest from magazines and newspapers. The final volume is a loose-leaf notebook presented by Eva Wasbutsky, Mr. Barth's secretary, after his death. Mr. Barth had an interest in all the performing arts. However, his focus was on theater and film, in particular Shakespeare. The final volumes are chiefly on Shakespearean productions, on stage, film, radio, and T.V. Loose souvenir programs and pamphlets were removed and integrated into the Curtis Theatre files and loose clippings not pertinent to the performing arts were discarded as were duplicate periodicals already held by the University Library System.","Stage history|||Theater|||Performing arts|||Shakespeare, William 1564-1616",,Pennsylvania|||East Liverpool|||Ohio|||Pittsburgh,,,,,,,9914718913406236,,,,,,
,"Oliver P. Merriman scrapbook collection, 1825-1942, 1870 - 1942",,,,"Merriman, Oliver P. (collector)",,,,1870,1930,,monographic,,English,mixed material,unmediated|||other,14.00,Finding aids|||Theater programs|||still image|||text,"Oliver P. Merriman was an avid follower of Pittsburgh theatre. He built a large scrapbook collection that documents the history of the performing arts in Pittsburgh from the 1870s through the 1930s. It is organized into several broad categories and contains thousands of theatre programs, clippings, photographs, and other ephemera.","Performing arts|||Theater|||Theater programs|||Merriman, Oliver P",,New York (State)|||New York|||Pennsylvania|||Pittsburgh,,,,,,,9914719003406236,,,,,,
,MGM posters: the golden years,,,,,"Atlanta, Ga|||Kansas City, Mo",Turner Pub.|||Distributed by Andrews and McMeel,,,,1st ed.,monographic,,English,text,print,192 p. : ill. (some col.) ; 32 cm.,,,"Film posters, American",,United States,,,,,,,9914913093406236,,94026286,,,,
,Masks and marionettes,,,,,New York,The Macmillan Company,,,,,monographic,,English,text,print,"ix p., 2 †., 3-129 p. front., plates (1 double) ports. 26 cm.",,,Commedia dell'arte|||Puppets,,,,,,,,,9915002793406236,,35007953,,,,
,Limón: a catalogue of dances,,,,,New York?],Limón Institute,,,,,monographic,,English,text,print,48 p. : ill. (some col.) ; 22 x 28 cm.,Catalogs|||statistics,,"Ballet|||Limón, José",,,,,,,,,9915277993406236,,96169986,,,,
,Register,Register (Lymelite Group),"Directory of designers, artists, and craftspeople",,,"New York, N.Y",Lymelite Group,,1987,9999,,serial,Unknown,English,text,print,v. : ill. ; 28 cm.,directory,,Performing arts|||Production and direction|||Directories|||Periodicals|||Theaters|||Stage-setting and scenery,,,,,,,,,9915314403406236,0884-5921,88655034|||sn 85006577,,,,
,Tom Tichenor's puppets,Puppets,,,,Nashville,Abingdon Press,,,,,monographic,,English,text,print,224 p. illus. (part col.) 25 cm.,bibliography,,Puppets,,,,,,,,,9915505793406236,,76147304 //r82,,,,
,"Dance, theater, opera, music hall: costume & decor designs, books, posters and photographs ... : exhibition ... : public auction Friday, June 12, 1981 at 10:15 a.m",,,,,New York,Sotheby Parke Bernet,,,,,monographic,,English,text,print,[102] p.: chiefly ill. (some col.) ; 24 cm.,catalog,,Costume|||Exhibitions|||Theaters|||Stage-setting and scenery,,,,,,,,,9915775133406236,,,,,,
,"Eduard Fischer, Kostümplastiken für das Theater: Entwicklungsweg, ausgew. Arbeiten, Beschreibung, Dokumentation",,Kostümplastiken für das Theater,,,Berlin,Henschel,,,,,monographic,,German,text,print,172 p. : numerous ill. ; 23 cm. & slides (18 slides : col. ; 2 x 2 in.) inserted.,,,"Fischer, Eduard 1916-",,,,,,,,,9915775273406236,,76475971,,,,
,"théâtres tchécoslovaques de marionnettes 1949/1969 =: Czechoslovak puppet theatres 1949/1969, Les",Československá loutková divadla 1949/1969. French & English,"Czechoslovak puppet theatres, 1949/1969",,,Prague,Divadelní ústav,,,,1. éd.,monographic,,French|||Czech|||English,text,print,189 p. : ill. ; 21 cm.,,,Puppet theater,,Czechoslovakia,,,,,,,9915779083406236,,75501377 //r842,,,,
,PQ 67: Pražské quadriennale jevištního výtvarnictví a divadelní architektury = Quadriennale de Prague de décors et d'architecture théâtraux = Prague quadriennial of theatre design and architecture,,PQ šedesát sedm,,,Praha,Divadelní ústav],,,,,monographic,,French|||Czech|||English,text,print,"336 p., [80] p. of plates : ill. ; 21 cm.",,,Theaters|||Stage-setting and scenery|||Exhibitions|||Set designers|||Biography|||Costume design,,,,,,,,,9915779613406236,,,,,,
,"Edward Gordon Craig, 1872-1966",,,,,London,H.M.S.O.,,,,,monographic,,English,text,print,"[2], 30 p. front., 36 plates (incl. ports., facsims.) 25 cm.",,,"Craig, Edward Gordon 1872-1966",,,,,,,,,9915780563406236,,68030057 //r86,,,,
,Kleine Bauhaus-Fibel: Geschichte u. Wirken d. Bauhauses 1919-1933 : mit Beisp. aus d. Sammlung d. Bauhaus-Archivs,,,,,Berlin,Bauhaus-Archiv,,,,,monographic,,German,text,print,80 p. : ill. ; 20 x 21 cm.,bibliography|||biography,,History|||Bauhaus.|||Bauhaus-Archiv,,,,,,,,,9915830063406236,,75544773 //r94,,,,
,"Simon's directory of theatrical materials, services & information / Bernard Simon, editor",,,,"Simon, Bernard (ed)",New York,Package Publicity Service,,,,4th ed.,monographic,,English,text,print,320 p.,,,Theater|||Directories|||Drama|||Bibliography,,United States,,,,,,,9915835093406236,,,,,,
,"Simon's directory of theatrical materials, services & information / Bernard Simon, editor",,,,"Simon, Bernard (ed)",New York,Package Publicity Service,,,,5th ed.,monographic,,English,text,print,388 p. ; 23 cm.,directory,,Theater|||Directories|||Drama|||Bibliography,,United States,,,,,,,9915835103406236,,,,,,
,"Vystavka khudozhnika A.I︠A︡. Golovina: ėskizy dekorat︠s︡iĭ i kosti︠u︡mov k spektakli︠u︡ ""Maskarad""|||Выставка художника А.Я. Головина: эскизы декораций и костюмов к спектаклю ""Маскарад""",,,,,Moskva|||Praga|||Москва ;,"[s.n.]|||[s.n.],",,,,,monographic,,Russian|||English,text,print,1 v. (unpaged) : col. ill. ; 21 x 23 cm.,bibliography,,"Exhibitions|||Pictorial works|||Golovin, Aleksandr I︠A︡kovlevich 1863-1930|||Lermontov, Mikhail I︠U︡rʹevich 1814-1841|||Головин, Александр Яковлевич 1863-1930|||Лермонтов, Михаил Юрьевич 1814-1841|||Maskarad|||Маскарад",,Russia (Federation),,,,,,,9916220633406236,,,,,,
,Great movie graphics,,,,,"Rockport, Mass|||Cincinnati, Ohio",Rockport Publishers|||distributed by North Light Books,,,,,monographic,,English,text,print,119 p. : col. ill. ; 31 cm.,,,Film posters|||Design|||Commercial art|||Motion pictures|||Marketing,,,,,,,,,9916280103406236,,,,,,
,Selected plays: including The rainmaker,Plays. Selections,,,,New York,Greenhouse and Kirby,,,,1st ed.,monographic,,English,text,print,524 p. ; 26 cm.,,,,,,,,,,,,9916747573406236,,96005293,,,,
,"Boo, to my friends",,,,,London],Hurst & Blackett,,,,,monographic,,English,text,print,180 p. illus. 22 cm.,biography,,Actresses,,England,,,,,,,9917095443406236,,59019627 /L,,,,
,"grand experience: a drama in five acts, containing a description of Wilmington's Grand Opera House & Masonic Temple, a Victorian building in the Second Empire style, and a history of the many parts it has played in the Delaware community for more than a century, The",,,,,"Watkins Glen, N.Y",Published by the American Life Foundation for the Grand Opera House,,,,1st ed.,monographic,,English,text,print,196 p. : ill. ; 28 cm.,,,Wilmington (Del.). Grand Opera House and Masonic Temple.,,Delaware,,,,,,,9917095903406236,,77362428 /MN/r86,,,,
,"mighty music box: the golden age of musical radio, The",,,,,"Los Angeles, Ca",Amber Crest Books,,,,,monographic,,English,text,print,"xii, 335 p., [20] leaves of plates : ill. ; 23 cm.",bibliography,,Radio and music|||Music|||History and criticism,,United States,,,,,,,9917095943406236,,77094433 /MN/r86,,,,
,"Crime scenes: movie poster art of the film noir : the classic period, 1941-1959",,Lawrence Bassoff Collection presents Crime scenes,,,"Beverly Hills, CA",L. Bassoff Collection,,,,,monographic,,English,text,print,159 p. : ill. (chiefly col.) ; 28 x 36 cm.,Catalogs|||bibliography,,Film posters|||Film noir|||History and criticism,,United States,,,,,,,9917400563406236,,97093804,,,,
,"art of the Broadway poster, The",,,,,New York,Ballantine Books,,,,1st ed.,monographic,,English,text,print,95 p. : ill. (some col.) ; 30 cm.,,,"Posters, American|||Theater",,,,,,,,,9918038523406236,,80066553,,,,
,Rudolf Laban: an extraordinary life,,,,,London,Dance Books,,,,,monographic,,English,text,print,"xiv, 306 p. : ill. ; 24 cm.",Biography|||bibliography,,"Criticism and interpretation|||Choreographers|||Modern dance|||History|||Laban, Rudolf von 1879-1958",,Hungary,,,,,,,9918734113406236,,,,,,
,Ninette de Valois: idealist without illusions,,,,,London,Dance Books,,,,,monographic,,English,text,print,"x, 373 p. : ill. ; 24 cm.",bibliography|||biography,,"Dancers|||De Valois, Ninette 1898-2001",,,,,,,,,9918734133406236,,,,,,
,"theater posters of James McMullan, The",,,,,New York,Penguin Studio,,,,,monographic,,English,text,print,"ix, 126 p. : col. ill. ; 35 cm.",,"""From Arcadia and Carousel to Six Degrees of Separation, McMullan's posters offer a unique view of contemporary American theater. Brought together for the first time in print are thirty-six posters, almost all of them commissioned by New York's Lincoln Center Theater, each in a beautiful full-page reproduction and accompanied by numerous studies and related works. Here too are the powerful personalities of the theater world - Wole Soyinka. John Guare, Liv Ullmann, Patti LuPone, and Mike Nichols, among others - in revealing behind-the-scenes accounts by McMullan."" ""McMullan himself gives the story behind each poster featured in the book - why it worked or why he was unsatisfied, who loved it and who wanted it changed. In addition, many sketches, reference photographs, and alternative versions provide a fascinating glimpse into the artist's creative process.""--BOOK JACKET.","Theatrical posters, American|||McMullan, James 1934-",,,,,,,,,9919094863406236,,98029958,,,,
,Follow up: how creative production translatd a point of view about television into an important success story,,,,,New York?,,,,,,monographic,,English,text,print,unpaged. illus. 24 cm.,,,Television broadcasting,,,,,,,,,9919264643406236,,52002473,,,,
,New theatres in Britain,,,,,London,Rank Strand Electric,,,,,monographic,,English,text,print,"136 p. : ill., plans ; 22 cm.",,,Theater architecture,,Great Britain,,,,,,,9919279553406236,,,,,,
,"Gilbert and Sullivan, their lives and times",Gilbert and Sullivan and their world,,,,"Harmondsworth, Eng|||New York",Penguin Books,,,,,monographic,,English,text,print,119 [1] p. : ill. ; 24 cm.,bibliography|||biography,,"Dramatists, English|||Composers|||Gilbert, W. S. (William Schwenck) 1836-1911|||Sullivan, Arthur 1842-1900",19th century,England,,,,,,,9919282893406236,,78016312 /MN/r853,,,,
,Here's a how-de-do: my life in Gilbert & Sullivan,,,,,New York,Norton,,,,[1st ed.],monographic,,English,text,print,283 p. illus. 22 cm.,Biography|||Correspondence,,Musicians|||D'Oyly Carte Opera Company.,,,,,,,,,9919283203406236,,52012462,,,,
,"Ciba collection of medical illustrations, The",,,,,"Summit, N.J",Ciba Pharmaceutical Products,,1953,9999,,monographic,,English,text,print|||unmediated|||volume,volumes : illustrations,Atlas|||Atlases|||Pictorial works|||bibliography|||text,,Human physiology|||Pathology|||Medicine|||Human anatomy|||Anatomy|||Tıp Fakültesi Kütüphanesi.,,,,,,,,,9934623713406236,,53002151,,,,
,"rise and fall of the matinée idol: past deities of stage and screen, their roles, their magic, and their worshippers, The",,,,,New York,St. Martins Press,,,,,monographic,,English,text,print,215 p. illus. 26 cm.,biography,,Theater|||History|||Motion pictures|||Actors|||Biography,,,,,,,,,996820673406236,,73086600 //r88,,,,
,From under my hat,,,,,"Garden City, N.Y",Doubleday,,,,[1st ed.],monographic,,English,text,print,311 p. 22 cm.,,,Motion pictures,,,,,,,,,996824203406236,,52010394 //r882,,,,
,"actor prepares, An",Rabota aktera nad soboī. English,,,"Hapgood, Elizabeth Reynolds (tr)",New York,"Theatre Arts, inc.",,,,,monographic,,Russian|||English,text,print,"3 p. l., 295 p. 23 cm.",,,Acting,,,,,,,,,996824593406236,,36033384 //r42,,,,
,Katharine Hepburn,,,,,New York,Galahad Books,,1974,1973,,monographic,,English,text,print,160 p. : ill. ; 22 cm.,bibliography|||biography,,"Hepburn, Katharine 1907-2003",,,,,,,,,996824693406236,,73090219 //r85,,,,
,"theatre--advancing, The",,,,,Boston,"Little, Brown, and Company",,,,,monographic,,English,text,print,"vii, 298 p. illus. 21 cm.",,,Theater,,,,,,,,,996825103406236,,19015601,,,,
,Act one: an autobiography,,,,,New York,Random House,,,,,monographic,,English,text,print,444 p. 24 cm.,biography,"The author, a successful playwright, recounts his lifelong involvement in the theater.","Dramatists, American|||Hart, Moss 1904-1961",20th century,,,,,,,,996826063406236,,59010813 /L/r76,,,,
,"Life among the playwrights: being mostly the story of the Playwrights Producing Company, inc",,,,,New York,Quadrangle/New York Times Book Co.,,,,,monographic,,English,text,print,"viii, 336 p. : ill. ; 24 cm.",,,Playwrights Producing Company.,,United States,,,,,,,996826133406236,,73089269,,,,
,"world is square, The",,,,,New York,Athene Press,,,,,monographic,,English,text,print,66 p. illus. 20 cm.,Biography,,"Actresses|||Gingold, Hermione 1897-1987",,,,,,,,,996826963406236,,58059545 /L,,,,
,"Bulls, balls, bicycles & actors",,,,,New York,P.S. Eriksson,,,,,monographic,,English,text,print,336 p. 22 cm.,bibliography|||biography,,"Bickford, Charles",,,,,,,,,996827753406236,,65024211,,,,
,Tragedy,,,,,New York,Macmillan,,,,,monographic,,English,text,print,"ix, 254 p. 22 cm.",,,Tragedy,,,,,,,,,996828053406236,,57010476 /L,,,,
,"playwright as thinker: a study of drama in modern times, The",,,,,New York City,Reynal & Hitchcock,,,,,monographic,,English,text,print,"viii p., 1 l., 382 p. 22 cm.",,,Drama|||History and criticism,19th century|||20th century,,,,,,,,996828133406236,,46004867,,,,
,Dear Josephine: the theatrical career of Josephine Hull,,,,,Norman,University of Oklahoma Press,,,,[1st ed.],monographic,,English,text,print,313 p. illus. 23 cm.,bibliography|||biography,,"Hull, Josephine (Sherwood)|||Hull, Shelley V",,,,,,,,,996828363406236,,63009958 /L,,,,
,"Derwent story: my first fifty years in the theatre in England and America, The",,,,,New York,H. Schuman,,,,,monographic,,English,text,print,304 p. illus. 25 cm.,biography,,Actors,,,,,,,,,996829443406236,,53010367,,,,
,"selective index to Theatre magazine, A",Theatre magazine. (Indexes),,,,New York,Scarecrow Press,,,,,monographic,,English,text,print,289 p. 22 cm.,bibliography,,Theater|||Periodicals,,New York (State)|||New York,,,,,,,996829673406236,,64011778,,,,
,"History of the Russian theatre, seventeenth through nineteenth century",,,,,New York,Macmillan,,,,,monographic,,Russian|||English,text,print,"xii, 459 p. 22 cm.",,,Theater|||History,,Russia,,,,,,,996830043406236,,51002057,,,,
,"masterpieces of modern drama: abridged in narrative with dialogue of the great scenes, The",,,,"Pierce, John Alexander (ed)","Garden City, N.Y","Doubleday, Page & company",,,,,monographic,,English,text,print,"2 v. fronts., plates. 22 cm.",,,Drama|||History and criticism|||Collections,19th century,,,,,,,,996831383406236,,16000692,,,,
,Directing the play: a source book of stagecraft,,,,"Cole, Toby, 1916- (ed)|||Chinoy, Helen Krich (joint ed)",Indianapolis,Bobbs-Merrill,,,,[1st ed.],monographic,,English,text,print,341 p. illus. 23 cm.,bibliography,,Theater|||Production and direction,,,,,,,,,996832293406236,,53005851 /L,,,,
,"restoration theatre, The",,,,,New York,The Macmillan Company,,,,,monographic,,English,text,print,"xxi, 352 p. XXIV pl. (incl. front., ports., plan, facsims.) 24 cm.",,,Theater|||History|||English drama|||History and criticism,"Restoration, 1660-1700",England,,,,,,,996833133406236,,35002333,,,,
,Understanding drama,,,,"Brooks, Cleanth, 1906-1994 (ed)|||Heilman, Robert Bechtold, 1906-2004 (joint ed)",New York,H. Holt and Company,,,,,monographic,,English,text,print,"xi, 515 p. 22 cm.",,,Drama|||History and criticism|||Collections,,,,,,,,,996833243406236,,45006030,,,,
,Stage to screen: theatrical method from Garrick to Griffith,,,,,Cambridge,Harvard University Press,,,,,monographic,,English,text,print,"xxvi, 283 p. illus. 24 cm.",bibliography,,Motion pictures|||History|||Theater,,,,,,,,,996833453406236,,49011539 //r88,,,,
,"way of the drama: a study of dramatic forms and moods, The",,,,,New York,"Prentice-Hall, inc.",,,,,monographic,,English,text,print,"xiii p., 1 l., 263 p. 19 cm.",bibliography,,Drama|||History and criticism|||Theater,,,,,,,,,996834173406236,,29020832,,,,
,First nights and footlights,,,,,London,Hutchinson,,,,,monographic,,English,text,print,256 p.,,,Theater|||Drama|||History and criticism,,England|||London,,,,,,,996834963406236,,,,,,
,Professional & literary memoirs,,,,,London,Society for Theatre Research,,,,,monographic,,English,text,print,"x, 175 p. port., map, facsims., geneal. table. 22 cm.",biography,,Theater|||History,,England|||London,,,,,,,996835383406236,,56058313,,,,
,How's your second act?: Notes on the art of production,,,,,"New York, Los Angeles","S. French; London, S. French, ltd.",,,,,monographic,,English,text,print,"ix, 43 p. 21 cm.",,,Drama|||Technique,,,,,,,,,996835613406236,,31028232,,,,
,Exits and entrances,,,,,London,"Chapman & Hall, ltd.",,,,,monographic,,English,text,print,"vii, [1], 259 p. front., ports. 23 cm.",Biography,,"Actors|||Esmond, H. V. (Henry V.) 1869-1922",,,,,,,,,996835943406236,,24001007,,,,
,"growth and nature of drama, The",,,,,Cambridge,University Press,,,,,monographic,,English,text,print,"70, [1] p. illus. 25 cm.",,,Drama|||History and criticism,,,,,,,,,996836613406236,,64021533,,,,
,"London theatre 1811-1866: selections from the diary of Henry Crabb Robinson, The",,,,"Brown, Eluned (ed)",London,Society for Theatre Research,,,,,monographic,,English,text,print,227 p. 22 cm.,biography,,Theater,,England|||London,,,,,,,996836923406236,,66068261,,,,
,"Richard Teschner (1879-1948): Puppenspieler, sezessionistischer Künstler",,,,"Mayerhöfer, Josef (ed)",Wien,Österr. Nationalbibliothek,,,,,monographic,,German,text,print,48 p. 21 cm.,bibliography,,"Teschner, Richard 1879-1948",,,,,,,,,996838223406236,,73543554,,,,
,"theatres of London, The",,,,"Mitchenson, Joe. (joint author)",London,Hart-Davis,,,,"[2d ed., rev.]",monographic,,English,text,print,292 p. illus. 22 cm.,,,Theaters,,England|||London,,,,,,,996849883406236,,64006934 //r853,,,,
,Curtains; selections from the drama criticism and related writings,,,,,New York,Atheneum,,,,[1st ed.],monographic,,English,text,print,495 p. 25 cm.,,,Theater,,New York (State)|||England|||New York|||Europe,,,,,,,996850703406236,,61006377 /L,,,,
,"theory of the theatre and other principles of dramatic criticism: consolidated edition, including The theory of the theatre, Studies in stagecraft, Problems of the playwright, Seen on the stage, The",,,,,New York,H. Holt and company,,,,,monographic,,English,text,print,"xviii, 481 p. 25 cm.",,,Theater|||Drama|||History and criticism|||Dramatic criticism,,,,,,,,,996850813406236,,39006957,,,,
,"How to break into motion pictures, television, commercials, and modeling",,,,,"Garden City, N.Y",Doubleday,,,,1st ed.,monographic,,English,text,print,"240 p., [8] leaves of plates : ill. ; 22 cm.",bibliography,,Motion pictures|||Vocational guidance|||Television|||Models (Persons),,,,,,,,,996852023406236,,77014890 //r84,,,,
,"Diaghilev and Russian stage designers: a loan exhibition of stage and costume designs from the collection of Mr. and Mrs. N. Lobanov-Rostovsky, circulated by the International Exhibitions Foundation, Washington, D.C., 1972-1974",,,,,Washington,The Foundation,,,,,monographic,,English,text,print,64 p. : ill. ; 29 cm.,bibliography|||biography,,"Theaters|||Stage-setting and scenery|||Exhibitions|||Costume|||Set designers|||Biography|||Lobanov-Rostovsky, Nikita D|||Diaghilev, Serge 1872-1929",,Soviet Union|||Russia. Russian Empire. Soviet Union. Former Soviet Republics,,,,,,,996853803406236,,71185339 //r862,,,,
,"American theatre: a sum of its parts, The",,,,,New York|||Hollywood,"Samuel French, Inc.",,,,,monographic,,English,text,print,"x, 431 p. : ill. ; 22 cm.",,,Theater,,United States,,,,,,,996855893406236,,,,,,
,Storia del teatro drammatico,,,,,Milano-Roma,Rizzoli & c.,,1939,9999,,monographic,,Italian,text,print,"v. col. fronts., illus. (incl. ports., facsims.) col. plates, diagrs. 26 cm.",bibliography,,Theater|||History|||Drama|||History and criticism,,,,,,,,,996856763406236,,40029806,,,,
,Acting: a book for amateurs,,,,,"London, [etc.]","Cassell and company, limited",,,,,monographic,,English,text,print,"xvi, 263 [1] p. 20 cm.",,,Acting|||Amateur theater,,,,,,,,,996857593406236,,32001199,,,,
,"art of dramatic writing: its basis in the creative interpretation of human motives, The",,,,,New York,Simon and Schuster,,,,,monographic,,English,text,print,"xxii, 308 p. 21 cm.",,,Drama|||Technique,,,,,,,,,996858553406236,,,,,,
,"idea of a theater: a study of ten plays, the art of drama in changing perspective, The",,,,,"Garden City, N. Y",Doubleday,,1953,1949,,monographic,,English,text,print,255 p. 19 cm.,,,Drama|||History and criticism,,,,,,,,,996864053406236,,,,,,
,Orientamenti della scenografia,"Prospettive (Milan, Italy)",,,,Milano,Görlich,,,,2a ed.,monographic,,Italian,text,print,ca. 250 p. : ill. ; 33 cm.,,,Theaters|||Stage-setting and scenery,,,,,,,,,996865573406236,,86181387,,,,
,Modern plays,,,,"McDermott, John Francis, 1902-1981 (ed)",New York,"Harcourt, Brace and company",,,,,monographic,,English,text,print,"xiii, 427 p. 21 cm.",,,Drama|||Collections,,,,,,,,,996874553406236,,32003390,,,,
,One-act plays by modern authors,,,,"Cohen, Helen Louise, 1882- (ed)",New York,"Harcourt, Brace & World",,,,Enl.,monographic,,English,text,print,539 p.,,,English drama|||American drama,,,,,,,,,996875823406236,,34008319,,,,
,Designing for films,,,,,London|||New York,Studio Publications,,,,New ed.,monographic,,English,text,print,"viii, 128 p. illus. 26 cm.",bibliography,,Motion pictures|||Setting and scenery,,,,,,,,,996876443406236,,50008216,,,,
,Continental plays,,,,"Dickinson, Thomas H., 1877-1961 (ed)",Boston|||New York [etc.],Houghton Mifflin Company,,1935,9999,,monographic,,Undetermined|||English,text,print,v. 20 cm.,bibliography,,Drama|||Collections,,,,,,,,,996879633406236,,35007820,,,,
,Representative modern dramas,,,,"Whitman, Charles Huntington, 1873-1937 (ed)",New York,The Macmillan Company,,,,,monographic,,Undetermined|||English,text,print,"xviii, 1121 p. 23 cm.",Collections|||bibliography|||biography,,Drama,,,,,,,,,996880063406236,,36019582,,,,
,"Contemporary drama: nine plays, American, English, European",,,,"Watson, Ernest Bradlee, 1879- (comp)|||Pressey, William Benfield (joint comp)",New York|||Chicago [etc],C. Scribner's Sons,,,,,monographic,,French|||English,text,print,"vi p., 1 l., 362 p. 24 cm.",bibliography,,Drama,20th century,,,,,,,,996882933406236,,41016331,,,,
,Eva Le Gallienne's Civic repertory plays,,Civic repertory plays,,"Le Gallienne, Eva, 1899-1991 (ed)",New York,"W. W. Norton & company, inc.",,,,,monographic,,English,text,print,"xiv p., 3 l., 5-327 p. front. (port.) illus., plates. 21 cm.",Collections,,Drama,,,,,,,,,996883403406236,,29000029,,,,
,"treasury of the theatre: from Henrik Ibsen to Arthur Miller, A",,,,"Gassner, John, 1903- (ed)|||Mantle, Robert Burns, 1873-1948 (ed)|||Mantle, Robert Burns,, 1873-1948 (ed)",New York,Simon and Schuster; distributed by the Dryden Press,,,,Rev. ed. for colleges.,monographic,,English,text,print,"xvi, 1120 p. illus. 26 cm.",Collections|||bibliography,,Drama,,,,,,,,,996886053406236,,50008153 rev,,,,
,"book of dramas: an anthology of nineteen plays, A",,,,"Carpenter, Bruce (comp)",New York,"Prentice-Hall, inc.",,,,,monographic,,Undetermined|||English,text,print,"x, 1111 p. 20 cm.",bibliography|||biography,,Drama|||Collections,,,,,,,,,996887113406236,,29022701,,,,
,Four modern plays,,,,,New York,Rinehart,,,,,monographic,,English,text,print,v. ; 19 cm.,,,Drama|||Collections,,,,,,,,,996889933406236,,57007742,,,,
,"Bennett Cerf's bumper crop of anecdotes and stories: mostly humorous, about the famous and near famous",,Bumper crop of anecdotes and stories,,,"Garden City, N. Y",Garden City Books,,,,,monographic,,English,text,print,2 v. : ill. ; 22 cm.,,,American wit and humor|||Anecdotes,,United States,,,,,,,996890433406236,,,,,,
,"drama reader: full-length plays for the secondary school, The",,Dulcy|||Seven keys to Baldpate|||R.U.R|||Antigone|||Richard III|||The drama reader : full-length plays for the secondary school,,"Congdon, S. Perry (ed)",New York,Odyssey Press,,,,[1st ed.],monographic,,English,text,print,"ix, 418 p. ; 21 cm.",bibliography,,Drama|||Collections,,,,,,,,,996891533406236,,62013409,,,,
,"survey of the status of theatre in United States high schools: final report, A",,,,,"Washington, D. C.]","U. S. Dept. of Health, Education and Welfare",,,,,monographic,,English,text,print,94 p. charts. 27 cm.,,,College and school drama|||Drama in education|||Theater,,United States,,,,,,,996922483406236,,,,,,
,Seven plays,Selections. English. 1960,,,,New York,Hill and Wang,,1960,1964,,monographic,,English,text,print,2 v. 19 cm.,,,,,,,,,,,,996962763406236,,60014169 /L/r832,,,,
,Scandal & parade: the theater of Jean Cocteau,,,,,New Brunswick,Rutgers University Press,,,,,monographic,,English,text,print,"284 p. front., port. 21 cm.",bibliography,,"Cocteau, Jean 1889-1963",,,,,,,,,996972373406236,,57008638,,,,
,"balcony (Le balcon): a play in nine scenes, The",Balcon. English,,,,New York,Grove Press,,,,,monographic,,Undetermined|||English,text,print,118 p. 21 cm.,,,,,,,,,,,,996972383406236,,58009490 /L/r873,,,,
,"balcony (Le balcon): a play in nine scenes, The",,,,,New York,Grove Press,,,,[Rev.],monographic,,English,text,print,115 p. illus. 21 cm.,,,,,,,,,,,,996981393406236,,61000535,,,,
,"classic theatre, The",,,,"Bentley, Eric, 1916-2020 (ed)","Garden City, N.Y",Doubleday,,1958,1961,[1st ed.],monographic,,English,text,print,4 v. 19 cm.,,,,,,,,,,,,997062783406236,,58012033 //r832,,,,
,"genius of the Italian theater, The",,,,"Bentley, Eric, 1916-2020 (ed)",New York],New American Library,,,,,monographic,,Italian|||English,text,print,584 p. 18 cm.,bibliography,,Italian drama|||Translations into English,,,,,,,,,997063083406236,,64025082,,,,
,"drama of Luigi Pirandello, The",,,,,New York,Dover Publications,,,,,monographic,,English,text,print,"xiii, 391 p. 21 cm.",,,"Pirandello, Luigi 1867-1936",,,,,,,,,997094013406236,,57013243 /L,,,,
,Pirandello's one-act plays,,,,,"Garden City, N.Y",Anchor Books,,,,,monographic,,Undetermined|||English,text,print,"xvii, 336 p. 19 cm.",bibliography,,,,,,,,,,,997094303406236,,64016246,,,,
,Four plays,,,,"Underhill, John Garrett, 1876-1946 (tr)",New York,C. Scribner's Sons,,,,,monographic,,Spanish|||English,text,print,"xxiii, 385 p. front. (port.) 19.5 cm.",,,Theater|||History,,Spain,,,,,,,997094893406236,,36027149,,,,
,"best short plays of the social theatre, The",,"Social theatre, The best short plays of the",,"Kozlenko, William, 1908- (ed)",New York,Random house,,,,,monographic,,English,text,print,"xi, 456 p. 22 cm.",,,Social problems|||Drama|||American drama|||English drama,20th century,,,,,,,,997309453406236,,39027034,,,,
