id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
,"century of movie posters: from silent to art house, A","King, Emily.",,,,,English,text,print,224 p. : ill. (chiefly col.) ; 29 cm.,Pictorial works|||bibliography,"Film buffs, graphic designers, and art students will relish this beautifully produced and strikingly illustrated volume. Arranged in roughly chronological order, it brings together movie posters from around the world, starting with Charlie Chaplin film ads and the Russian Revolutionary movie posters of the 1910s, then spanning the century to show posters publicizing hits of the 1990s, including The Silence of the Lambs, Spike Lee films, and many more. The books sections focus on renowned individual designers, directors, movies, and genres. Important poster designers such as Saul Bass, Jan Lenica, and Juan Gatti receive particular attention, as do great directors who had strong opinions about how their films should be represented. Among the latter are Alfred Hitchcock, Jean-Luc Godard, and Otto Preminger. All major film genres are represented musicals, Kung Fu movies, films noir, westerns (including so-called spaghetti westerns filmed in Italy), science fiction classics, and others. Readers are treated to examples of movie posters not only from the United States, Britain, and France, but also to previously unpublished examples from countries as diverse as Poland, China, and Cuba. For instance, fans of Orson Welles might be surprised to see the previously unpublished Italian poster advertising Citizen Kane under its Italian title, Quarto Potere (The Fourth Estate). This handsome volume will be valued by graphic designers, poster collectors, and anyone sharing the popular passion for cinema.",Film posters,,,,,,,,
,"New Leona Theatre in Homestead, The",,,,,,,still image,photograph,,,,,,,,,,,,
,Old Drury Theatre,,,,,,,still image,photograph,,,,,,,,,,,,
,Syria Mosque,,,,,,,still image,photograph,,,,,,,,,,,,
,Fantastic: a new collection of scenes from all-time favorite films featuring Boris Karloff,"Barbour, Alan G.",,,,,English,text,print,[49] p. : all ill. ; 26 cm.,,,"Karloff, Boris 1887-1969",,,,,,,,
,On stage,,,,,,English,text,print,1 v. (unpaged) : ill. ; 24 cm.,,,Theater|||Pictorial works|||Museum of the City of New York. Theatre Collection.,,New York (State)|||New York,,,,,,
,"selection of musicals from the catalog of Tams-Witmark Musical Library, inc, A",,Tams-Witmark Musical Library,,,,English,text,print,23 p. : ill. (some col.) ; 28 cm.,Bibliography|||Catalogs,,Musicals,,,,,,,,
,Musical show,,Tams-Witmark Musical Library,,,,English,text,print,v.,,,,,,,,,,,
,Theatre set designs in the Victoria and Albert Museum,,Victoria and Albert Museum|||Emmett Microform Ltd,,,,English,text,microfiche|||microform,25 microfiches : col. & all ill. ; 11 x 15 cm.,Pictorial works,,Theaters|||Stage-setting and scenery|||Theater|||History|||Sources,,,,,,,,
,"Answering a question with a question: an exploration of the role of Rosencrantz in Tom Stoppard's ""Rosencrantz and Gildenstern are dead""","Novinski, David.",,1999,,,English,text,print,174 leaves : ill. ; 28 cm.,bibliography,,"Criticism and interpretation|||Stoppard, Tom",,,,,,,,
,Seminar '65 report,,Canadian Conference of the Arts,,,,French|||English,text,print,1 v. (various pagings) ; 28 cm.,Congresses|||conference publication,,"Federal aid to the arts|||Arts, Canadian|||Cultural policy",,Canada,,,,,,
,Horror poster art,,"Nourmand, Tony.|||Marsh, Graham.",,,,English,text,print,191 p. : chiefly col. ill. ; 30 cm.,Catalogs,"""This splendid, if scary, collection of movie posters covers over 80 years of horror films and features all the classics of the genre from early silents such as Nosferatu (illustrated here with a hitherto unpublished poster) and The Cabinet of Dr. Caligari to contemporary blockbusters like Silence of the Lambs. The films are grouped by categories, such as Universal Studios' uniquely rich hoard of horror, the products of British horror specialists Hammer Films, Japanese horror movies, horror spoofs such as An American Warewolf in London, or serial killer movies."" ""Also featured is the work of directors who are wholly or partly remembered for their contribution to the genre.""--BOOK JACKET.",Horror films|||Posters,,,,,,,,
,"independent movie poster book: from the collection of the Posteritati Gallery, The","Drate, Spencer.","Salavetz, Judith.|||Kehr, David.|||Posteritati (Firm)",,,,English,text,print,176 p. : chiefly ill. (chiefly col.) ; 31 cm.,Catalogs|||catalog,,Film posters,,,,,,,,
,"must see!: brilliant Broadway artwork, A","Suskin, Steven.",,,,,English,text,print,156 p. : ill. (chiefly col.) ; 31 cm.,Catalogs|||catalog,,"Theatrical posters, American|||Musicals",,New York (State)|||United States|||New York,,,,,,
,Membership directory,,Puppeteers of America,,,,English,text,print,v. ; 28 cm.,directory,,Directories|||Puppeteers|||Puppeteers of America,,,Puppetry journal,,,,,
,"Italian ballet, 1637-1977: a catalogue","Levy, Morris S.","Ward, John M. (John Milton), 1917-2011|||Macnutt, Richard.|||John Milton and Ruth Neils Ward Collection (Harvard Theatre Collection)|||Harvard Theatre Collection|||Houghton Library",,,,English,text,print,"xxi, 420 p., [7] folded leaves of plates : col. ill. / 28 cm.",Catalogs|||bibliography,"A catalogue of scores, manuscripts, books, playbills, costume designs, and ephemera relating to ballets performed in Italy from the 17th through the 20th century.",Ballet|||Harvard Theatre Collection|||John Milton and Ruth Neils Ward Collection (Harvard Theatre Collection),,"Italy|||United States, Massachusetts, Cambridge",,,,,,
,Hirschfeld's British aisles,"Hirschfeld, Al.","Andrews, Julie.",,,,English,text,print,221 p. : chiefly ill. ; 28 cm.,Caricatures and cartoons|||biography,,Theater,,England|||Great Britain,,,,,,
,"Surf movie tonite!: surf movie poster art, 1957-2004","Warshaw, Matt, 1960-",,,,,English,text,print,143 p. : chiefly ill. (some col.) ; 31 cm.,Catalogs|||catalog,,Beach party films|||Posters,,,,,,,,
,"Encore! 3 tenors: José Carreras, Plácido Domingo, Luciano Pavarotti with Zubin Mehta",,"Rudas, Tibor.|||Public Broadcasting Service (U.S.)",,,,English,text,print,70 p. : ill. (som col.) ; 28 cm.,,,"Performances|||Concert programs|||Carreras, José|||Domingo, Plácido 1941-|||Pavarotti, Luciano|||Mehta, Zubin",,Los Angeles|||California,,,,,,
,"genius of the later English theater, The",,"Barnet, Sylvan (ed)",,,,English,text,print,536 p. 19 cm.,bibliography,,English drama,,,,,,,,
,"songs of Paul Simon, The","Simon, Paul, 1941-",,,,,English,notated music,print,"1 score (xii, 331 p.) : ill. (some col.) ; 28 cm.",,,Popular music,,,,,,,,
,Film posters: horror,,"Nourmand, Tony.|||Marsh, Graham.",,,,English,text,print,191 p. : col. ill. ; 30 cm.,Catalogs,,Film posters|||Horror films|||Posters,,,,,,,,
,Film posters of the 30s: the essential movies of the decade : from the Reel Poster Gallery collection,,"Nourmand, Tony.|||Marsh, Graham.|||Reel Poster Gallery",,,,English,text,print,127 p. : col. ill. ; 30 cm.,Catalogs|||Ouvrages illustrés|||Pictorial works,,Film posters|||Affiches de cinéma|||Reel Poster Gallery.,,,,,,,,
,Film posters science fiction,,"Nourmand, Tony.|||Marsh, Graham.",,,,English,text,print,192 p. : col. ill. ; 30 cm.,Catalogs,,Film posters|||Science fiction films|||Posters|||Science fiction in art,,,,,,,,
,Restoration plays,"Harris, Brice, 1900-1984","Congreve, William, 1670-1729|||Dryden, John, 1631-1700|||Etherege, George, 1636-1691 or 1692|||Farquhar, George, 1677?-1707|||Otway, Thomas, 1652-1685|||Vanbrugh, John, 1664-1726|||Buckingham, George Villiers, Duke of, 1628-1687|||Wycherley, William, 1640-1716",,,,English,text,print,"xx, 674 p. ; 19 cm.",bibliography,,English drama,"Restoration, 1660-1700",,,,,,,
,Murder in the cathedral,"Eliot, T. S. (Thomas Stearns), 1888-1965",,,,,English,text,print,"[7], 11-86 p. 23 cm.",Drama,,"à Becket, Saint Thomas 1118?-1170",,,,,,,,
,Computers and the performing arts: a report on the National computer project for the performing arts,,"Moore, Lou.|||Kassak, Nancy.|||Theatre Communications Group",,,,English,text,print,113 p. : ill. ; 28 cm.,,,Performing arts|||Data processing|||Arts du spectacle|||Informatique,,,,,,,,
,Goodspeed Opera House,"Brennan, Noel-Anne.",,,,,English,text,print,56 p. : ill. (some col.) ; 22 cm.,,,"History|||Theaters|||Historic buildings|||Buildings, structures, etc|||Goodspeed Opera House",,East Haddam (Conn. : Town)|||East Haddam (Town)|||Connecticut,,,,,,
,"Practical guide to arts participation research, A",,AMS Planning & Research Corp,,,,English,text,print,"iii, 91 p. : ill. ; 28 cm.",bibliography|||government publication,,Arts audiences|||Arts surveys|||Culturele participatie|||Publieksonderzoek|||Onderzoeksontwerp,,United States,,,,,,
,"Pittsburgh Cultural Trust: the first five years : 1984 - 1989, The",,Pittsburgh Cultural Trust,,,,English,text,print,16 p. ; 33 cm.,,,Arts|||Economic aspects|||Art and society|||Pittsburgh Cultural Trust.,,Pittsburgh|||Pennsylvania,,,,,,
,Directory of consultants,,Pennsylvania Local Arts Network,,,,English,text,print,v. ; 28 cm.,Directories,,Art consultants|||Arts administrators,,Pennsylvania,,,,,,
,"Dance, music, theatre, visual arts: what every young American should know and be able to do in the arts : National standards for arts education",,Consortium of National Arts Education Associations,,,,English,text,print,142 p. ; 28 cm.,,,Arts|||Study and teaching|||Standards|||Music|||Instruction and study,,United States,,,,,,
,Planning to make the arts basic: a report to the National Endowment for the Arts on the impact and results of the Arts in Schools Basic Education Grants Program,"Stevens, Louise K., 1953-",National Endowment for the Arts,,,,English,text,print,292 p. : ill. ; 28 cm.,bibliography,,Arts in Schools Basic Education Grants Program (U.S.),,United States,,,,,,
,"official BBC guide to the reopening of the Royal Opera House, The",,"Lay, Paul.",,,,English,text,print,106 p. : ill. ; 29 cm.,,,"Royal Opera House (London, England)|||London / Königliches Opernhaus Covent Garden.",,England,,,,,,
,Lazarus laughed (1925-26): a play for an imaginative theatre,"O'Neill, Eugene, 1888-1953",,,,,English,text,print,179 p. 22 cm.,Drama,,"of Bethany, Saint Lazarus",,,,,,,,
,My three lives,"Farris, Celia Lipton.",,,,,English,text,print,343 p. : ill. (chiefly col.) ; 32 cm.,biography,,"Actors|||Singers|||Socialites|||Farris, Celia Lipton|||Farris, Victor W",,United States|||Great Britain|||Palm Beach|||Florida,,,,,,
,Theatre world,,"Willis, John (John A.)",,,,English,text,print,v. : ill. ; 24 cm.,Periodicals,,Theater,,New York (State)|||United States|||New York,,,,,,
,"Kennedy Center honors, The",,John F. Kennedy Center for the Performing Arts (U.S.),,,,English,text,print,"v. (unpaged) : ill., ports. ; 28 cm.",Pictorial works,,Performing arts|||Awards|||Entertainers|||John F. Kennedy Center for the Performing Arts (U.S.),,United States,,,,,,
,Spurlos: Roman,"George, Kathleen, 1943-",,,,,German|||English,text,print|||unmediated|||volume,461 pages ; 18 cm,Detective and mystery fiction|||Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,
,Kidnappet,"George, Kathleen, 1943-",,,,,English|||Danish,text,print|||unmediated|||volume,317 pages ; 22 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,
,Stjålet,"George, Kathleen, 1943-",,,,,Norwegian|||English,text,print|||unmediated|||volume,341 pages ; 22 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,
,Roof,"George, Kathleen, 1943-",,,,,Dutch|||English,text,print|||unmediated|||volume,351 pages ; 23 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,
,Voleurs d'enfants,"George, Kathleen, 1943-",,,,,French|||English,text,print|||unmediated|||volume,386 pages ; 24 cm,Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,
,Voleurs d'enfants,"George, Kathleen, 1943-",,,,,French,text,print|||unmediated|||volume,436 pages ; 20 cm.,Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,
,Yūkai kōjō|||誘拐工場,"George, Kathleen, 1943-","Takahashi, Kumiko, 1960-|||高橋恭美子, 1960-",,,,Japanese|||English,text,print|||unmediated|||volume,606 pages ; 16 cm.,Fiction|||text,,Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,,,,,
,"Between the Covers: collection of 9 photograph and memorabilia albums of American Circus Life and Performance, 3,000 photographs",,,,,,English,text,print,,,,,,,,,,,,
,"complete angler, or, The contemplative man's recreation: being a discourse of rivers fish-ponds fish and fishing, The","Walton, Izaak, 1593-1683|||Cotton, Charles, 1630-1687|||Nicolas, Nicholas Harris, Sir, 1799-1848","Whittingham, Charles, 1795-1876 (printer)|||Stothard, Thomas, 1755-1834 (illustrator)|||Inskipp, James, 1790-1868 (illustrator)|||Horne, Bernard S., 1905-1970 (former owner)",,,,English,text,print|||unmediated|||volume,"2 volumes, [14] leaves of plates : illustrations, portraits ; 28 cm",Engravings-England-17th century|||Engravings-England-18th century|||Engravings-England-19th century|||Extra-illustrated copies (Provenance)-England-19th century|||text,,Fishing,,"England, London",,,,,,
,"operas of Richard Strauss in Britain, 1910-1963, The","Jefferson, Alan.",,,,,English,text,print,"xv, 186 p. 26 cm.",bibliography|||biography,,"Opera|||Strauss, Richard 1864-1949|||Operas",,Great Britain,,,,,,
,"King's Theatre, 1704-1867: London's first Italian opera house, The","Nalbach, Daniel.",,,,,English,text,print,"xii, 164 p. illus. 22 cm.",bibliography,,Opera|||London. King's Theatre.,,England|||London|||Italy,,,,,,
,Victor Herbert: the biography of America's greatest composer of romantic music,"Kaye, Joseph.",,,,,English,text,print,271 p. illus. 22 cm.,,,"Herbert, Victor 1859-1924",,,,,,,,
,Gilbert and Sullivan,"Jacobs, Arthur, 1922-1996",,,,,English,text,print,64 p. illus. 23 cm.,,,"Gilbert, W. S. (William Schwenck) 1836-1911|||Sullivan, Arthur 1842-1900",,,,,,,,
,"Italian opera and contemporary ballet in London, 1789-1820: a record of performances and players, with reports from the journals of the time, The","Smith, William C. (William Charles), 1881-1972",,,,,English,text,print,"xviii, 191 p. facsims. 22 cm.",bibliography,,Opera|||Ballet|||History|||Operas|||Bibliography|||Ballets|||London. King's Theatre.,18th century|||19th century,England|||London|||Italy,,,,,,
,"world of Gilbert and Sullivan, The","Darlington, W. A. (William Aubrey), 1890-1979",,,,,English,text,print,"167 p., [11] leaves of plates : ill. ; 22 cm.",biography,,"Gilbert, W. S. (William Schwenck) 1836-1911|||Sullivan, Arthur 1842-1900",,,,,,,,
,Robert Stolz: Melodie eines Lebens : ein Komponist erobert die Welt,"Brümmel, Wolf-Dietrich.","Booth, Friedrich van.",,,,German,text,print,"199 p., 128 pages of plates : ill., facsims. ; 24 cm.",bibliography|||biography,,"Iconography|||Stolz, Robert 1880-1975",,,,,,,,
,My time is your time: the story of Rudy Vallee,"Vallée, Rudy, 1901-1986","McKean, Gil.|||Rouben Mamoulian Collection (Library of Congress)",,,,English,text,print|||unmediated|||volume,244 pages illustrations 25 cm,Biographies|||Biography|||biografi|||text,,"Musicians|||Musiker|||Självbiografier|||Vallée, Rudy 1901-1986",,United States|||Förenta staterna,,,,,,
,"British broadside ballad and its music, The","Simpson, Claude M. (Claude Mitchell), 1910-1976",,,,,English,text,print,"xxxiii, 922 p. 26 cm.",bibliography,,"Ballads, English|||History and criticism|||Folk songs, English",,,,,,,,
,Decorative theatre lighting: a pictorial survey,"Ducibella, Joseph R.","Corsini, B. Andrew.|||Theatre Historical Society (U.S.)",,,,English,text,print,40 p. : ill. ; 22 x 28 cm.,,,"Theaters|||Lighting|||Electric lighting|||Lighting, Architectural and decorative",,United States,,,,,,
,"world of Hirschfeld, The","Hirschfeld, Al.",,,,,English,text,print,233 p. illus. (part col.) 28 x 30 cm.,,,,,,,,,,,
,"American theatre as seen by Hirschfeld, The","Hirschfeld, Al.",,,,,English,text,print,1 v. (unpaged) (chiefly illus.) 25 x 30 cm.,,,Theater|||Caricatures and cartoons,,United States,,,,,,
,Gilbert & Sullivan opera: a new assessment,"Williamson, Audrey, 1913-1986",,,,,English,text,print,292 p. illus. 23 cm.,"Stories, plots, etc",,"Operas|||Gilbert, W. S. (William Schwenck) 1836-1911|||Sullivan, Arthur 1842-1900",,,,,,,,
,"Season in, season out, 1965-1966","Gaver, Jack.",,,,,English,text,print,"xiii, 221 p. ; 24 cm.",,,Theater,,New York (State)|||New York,,,,,,
,Mister Abbott,"Abbott, George, 1887-1995",,,,,English,text,print,279 p. 22 cm.,biography,,Actors|||Biography,,,,,,,,
,Bright particular star: the life & times of Charlotte Cushman,"Leach, Joseph.",,,,,English,text,print,"xvi, 453 p. illus., facsim., ports. 24 cm.",bibliography|||biography,,"Cushman, Charlotte 1816-1876",,,,,,,,
,"Groucho letters: letters from and to Groucho Marx, The","Marx, Groucho, 1890-1977",,,,,English,text,print,238 p. 18 cm.,biography,,,,,,,,,,
,Chips off the old Benchley,"Benchley, Robert, 1889-1945","Williams, Gluyas, 1888- (illus)",,,,English,text,print,"xii, 273 p. : ill. ; 21 cm.",,,,,,,,,,,
,"worlds of Robert E. Sherwood: mirror to his times, 1896- 1939, The","Brown, John Mason, 1900-1969",,,,,English,text,print,"xviii, 409 p. : ill., ports. ; 22 cm.",bibliography|||biography,,"Biography|||Dramatists, American|||Sherwood, Robert E. (Robert Emmet) 1896-1955",20th century,,,,,,,
,Private Shaw and public Shaw: a dual portrait of Lawrence of Arabia and G. B. S,"Weintraub, Stanley, 1929-2019",,,,,English,text,print,302 p. : ill. ; 22 cm.,bibliography|||biography,,"Lawrence, T. E. (Thomas Edward) 1888-1935|||Shaw, Bernard 1856-1950",,,,,,,,
,Famous American plays of the 1930s,,"Clurman, Harold, 1901-1980 (ed)",,,,English,text,print,480 p. ; 17 cm.,,,American drama,20th century,,,,,,,
,Memo from David O. Selznick,"Selznick, David O., 1902-1965",,,,,English,text,print,"xxiv, 549 p. illus. 22 cm.",biography,,,,,,,,,,
,"world of musical comedy: the story of the American musical stage as told through the careers of its foremost composers and lyricists, The","Green, Stanley.",,,,,English,text,print,"xvi, 391 p. : ill. ; 26 cm.",biography,,Musicals|||History and criticism|||Composers,,United States,,,,,,
,If memory serves: memoirs of Sacha Guitry,"Guitry, Sacha, 1885-1957","Galantière, Lewis, 1893-|||Guitry, Sacha, 1885-1957",,,,French|||English,text,print,"viii p., 2 l., 312 p. : ill., ports. ; 24 cm.",Correspondence|||biography,,Actors,,,,,,,,
,"modern theatre: five plays, The",,"Bentley, Eric, 1916-2020 (ed)",,,,Undetermined|||English,text,print,v. ; 18 cm.,Collections,,Drama|||English drama,,,,,,,,
,After the fall: a play,"Miller, Arthur, 1915-2005",,,,,English,text,print,114 p. ports. 22 cm.,,,,,,,,,,,
