id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,Hirschfeld: on line,,On line,"Hirschfeld, Al.",,New York,Applause,c1999,c1999||||||1999,,,,monographic,English,text,print,343 p. : ill. (some col.) ; 31 cm.,,"""Hirschfeld On Line is just that - it's Al Hirschfeld ""on"" Hirschfeld, as the master turns his quick quill pen to prose in order to comment, critique, explicate, and occasionally even lampoon his own artwork, from the very first theatre drawings he did in the mid-Twenties up to (nearly) last week."" ""Here is Hirschfeld on the dramatic and droll stories behind his scenes, as well as those of the Broadway stages he's covered graphically since the American theatre came of age with O'Neill and Show Boat. Here are his most famous and enduring imageslike that one of Liza Minnelli in Cabaret, or that long-striding one of Robert Preston in The Music Man, or that one of, well, the list - the distinguished line - goes on and on. He tells us at long last not only why he draws but what and how he has drawn it."" ""For those who've missed the past seventy-five years of opening nights on Broadway and would like to catch up, this is the book for them. For those who would like a pictorial summation of our time - from the early, ""hopeful"" years of Soviet Russia to the final, cynical episode of Seinfeld, this book is for them. And for those who would just like to know how and why Al Hirschfeld started putting all those NINAs into each and every one of his drawings - and why no power on earth can now grant him leave to cease and desist - this book is essential.""--BOOK JACKET.","American wit and humor, Pictorial|||Cartoonists|||Hirschfeld, Al",,United States,,9935756693406236,1557833567 :,98088469,40511790,,,
,[Autograph album],,Autographs,,"Simon, S. Sylvan (Samuel Sylvan), 1910-1951",,,,,[1942]|||1942,,,monographic,English,text,print,[31] leaves ; 15 x 16 cm.,Autographs,,Actors|||Actresses,,,,9936113313406236,,,ocm43525331,,,
,Hitchcock poster art: from the Mark H. Wolff collection,,,,"Wolff, Mark H.|||Nourmand, Tony.","Woodstock, NY",Overlook Press,1999,1999,,,,monographic,English,text,print,127 p. : ill. (some col.) ; 31 cm.,Catalogs|||catalog,,"Film posters|||Hitchcock, Alfred 1899-1980",,,,9936354593406236,087951714X (hardcover),99033578,ocm41612347,,,
,Blueprint for summer theatre,,,"Beckhard, Richard, 1918-1999|||Effrat, John, 1908-",,N[ew] Y[ork],John Richard Press,1948,1948,,,,monographic,English,text,print,"x, 100 p. 22 cm.",,,Summer theater,,,,9936972063406236,,48007346 //r52,ocm03306628,,,
,"complete plays of Gilbert and Sullivan, The",Operas. Librettos. Selections,,"Sullivan, Arthur, 1842-1900","Gilbert, W. S. (William Schwenck), 1836-1911",New York,The Modern Library,[1936],[1936]||||||1936,,,,monographic,English,text,print,"ix, 711 p. illus. 21 cm.",Librettos,,"Operas|||Sullivan, Arthur 1842-1900",,,,9937024713406236,,36010883,ocm00964298,,,
,Loot,,,"Orton, Joe.",,,Samuel French Inc,2000?,2000?||||||2000,,,,monographic,English,text,print,unbound playscript format,,,,,,,9938002903406236,,,,,,
,Blueprint for summer theatre,,,"Beckhard, Richard, 1918-1999|||Effrat, John, 1908-",,N[ew] Y[ork],John Richard Press.,,1949/uuuu,,,,serial,English,text,print,v. illus. 22-24 cm.,,,Summer theater,,,,9938728493406236,,48007346,ocm04674530,,,
,"New York State Council on the Arts, 1961",,,,New York State Council on the Arts,S.l,The Council,1962],1962]||||||1962,,,,monographic,English,text,print,40 p. illus. 21 cm.,,,Art and state|||Art,,New York (State),,9939395423406236,,62062582,ocm13522728,,,
,Mielziner: master of modern stage design,,,"Henderson, Mary C., 1928-2012",New York Public Library,New York,Back Stage Books : published in association with the New York Public Library,2001,2001,,,,monographic,English,text,print,320 p. : ill. (some col.) ; 22 x 29 cm.,bibliography|||biography,"""Jo Mielziner (1901-76) was the most highly acclaimed scenic and lighting designer of the American theatre of the twentieth century. Spanning some five decades, his unusually long career coincided with the flowering of modern theatre in the United States, with the result that he designed many of its most famous productions. So protean were Mielziner's talents that in some years during Broadway's peak, in a single season more than a half-dozen hit shows bore his scenery on the boards."" ""Mielziner: Master of Modern Stage Design, authorized by the Mielziner estate and published in association with The New York Public Library for the Performing Arts, is illustrated with sketches and fully rendered designs never previously published, and graced with a foreword by former New York Times theatre critic Frank Rich, this book provides a long-overdue, definitive account of Mielziner's life and work as the preeminent theatre artist of his time.""--BOOK JACKET.","Set designers|||Theaters|||Stage-setting and scenery|||Architects|||Mielziner, Jo 1901-1976",,United States,,9939822253406236,0823088235,00101808,ocm46668657,,,
,Trash: the graphic genius of Xploitation movie posters,,,"Boyreau, Jacques.",,San Francisco,Chronicle Books,c2002,c2002||||||2002,,,,monographic,English,text,print,144 p. : ill. (chiefly col.) ; 31 cm.,,"""Trash rolls in the mud with graphic art of such questionable aesthetic quality and social worth that it practically redefines the poster as advertising medium. Chapters each define a key trash topic (Sex Trash, Action Trash, Horror Trash, Race Trash, Groovy Trash, and Docu Trash), collecting the funniest, most disturbing and desperate posters from each genre; and short introductions set the tone, offer eye-opening context, and then just get out of the way to let the posters themselves run riot on the page. Thrill to unfortunate star turns, towering tidal waves, armies of killer spiders, sex-starved zombies, and explosion after glorious explosion. Truly visionary in both content and approach, Trash is a feast for the eye and other visceral zones. Free your mind, and the trash will follow.""--BOOK JACKET.","Film posters, American|||Exploitation films",,United States,,9940315893406236,0811834174,2001047317,ocm47767244,,,
,"trail of tears, The",,Trail of tears historic drama,,Theatre at Tsa=La=Gi,"Tahlequah, Okla",The Theatre at Tsa=La=Gi,1969-],1969-]|||1969/9999,,,,serial,English,text,print,v. ; 21 x 28 cm.,Drama,,"Trail of Tears, 1838-1939|||Cherokee Indians|||Theater programs|||Hunter, Kermit|||Trail of tears",,North Carolina|||Oklahoma,,9940645493406236,,,ocm39884905,,,
,Film posters of the 40s: the essential movies of the decade : from the reel poster gallery collection,,Film posters of the forties,,"Nourmand, Tony.|||Marsh, Graham.|||Reel Poster Gallery","Woodstock, N.Y",Overlook Press,c2002,c2002||||||2002,,,,monographic,English,text,print,128 p. : chiefly col. ill. ; 31 cm.,Catalogs|||catalog,"""From the iconic Casablanca to Orson Welles's seminal Citizen Kane, from the optimistic It's a Wonderful Life to the exotic Thief of Baghdad, the films of the 1940s are now recognized as some of the greatest of all time. Just as the forties was the decade hailed nostalgically ever since as Hollywood's golden age, it also saw the emergence of a dark new undercurrent in pop culture - the sinister world of gumshoes, gangsters, double-crossing dames, and blind alleys that comprised film noir."" ""Long before the era of the television trailer and satellite media junket, studios lured audiences to theaters with graphically bold poster art, gorgeously illustrated by classically trained artists adept at capturing the nuances of Veronica Lake's seductive glance, Humphrey Bogart's world-weary eyes, Bette Davis's icy stare, and hundreds of other stars at their best and most glamorous. All of the era's legendary stars are included in this volume: Lauren Bacall, Robert Mitchum, Barbara Stanwyck, Rita Haworth, Cary Grant, Henry Fonda, Marlene Dietrich, and more. Film Posters of the 40s brings to life in lavish full-color an era in film history that will never be forgotten.""--BOOK JACKET.",Film posters,,,,9940950993406236,1585673676,,ocm51515031,,,
,Nickelodeon Theater,,,,,,,,,,,,monographic,,still image,,,,,,,,,9942778283406236,,,,,,
,"century of movie posters: from silent to art house, A",,,"King, Emily.",,"Hauppauge, NY]",Barron's,2003,2003,,,1st ed.,monographic,English,text,print,224 p. : ill. (chiefly col.) ; 29 cm.,Pictorial works|||bibliography,"Film buffs, graphic designers, and art students will relish this beautifully produced and strikingly illustrated volume. Arranged in roughly chronological order, it brings together movie posters from around the world, starting with Charlie Chaplin film ads and the Russian Revolutionary movie posters of the 1910s, then spanning the century to show posters publicizing hits of the 1990s, including The Silence of the Lambs, Spike Lee films, and many more. The books sections focus on renowned individual designers, directors, movies, and genres. Important poster designers such as Saul Bass, Jan Lenica, and Juan Gatti receive particular attention, as do great directors who had strong opinions about how their films should be represented. Among the latter are Alfred Hitchcock, Jean-Luc Godard, and Otto Preminger. All major film genres are represented musicals, Kung Fu movies, films noir, westerns (including so-called spaghetti westerns filmed in Italy), science fiction classics, and others. Readers are treated to examples of movie posters not only from the United States, Britain, and France, but also to previously unpublished examples from countries as diverse as Poland, China, and Cuba. For instance, fans of Orson Welles might be surprised to see the previously unpublished Italian poster advertising Citizen Kane under its Italian title, Quarto Potere (The Fourth Estate). This handsome volume will be valued by graphic designers, poster collectors, and anyone sharing the popular passion for cinema.",Film posters,,,,9942946553406236,0764155997 :,2003102236,ocm53177743,,,
,"New Leona Theatre in Homestead, The",,,,,,,,,,,,monographic,,still image,photograph,,,,,,,,9943023483406236,,,,,,
,Old Drury Theatre,,,,,,,,,,,,monographic,,still image,photograph,,,,,,,,9943023493406236,,,,,,
,Syria Mosque,,,,,,,,,,,,monographic,,still image,photograph,,,,,,,,9943023503406236,,,,,,
,Fantastic: a new collection of scenes from all-time favorite films featuring Boris Karloff,,,"Barbour, Alan G.",,S.l.],Screen Facts Press,1971,1971,,,,monographic,English,text,print,[49] p. : all ill. ; 26 cm.,,,"Karloff, Boris 1887-1969",,,,9943919373406236,,,ocm11832462,,,
,On stage,,,,,N.Y,Universe,1979,1979,,,,monographic,English,text,print,1 v. (unpaged) : ill. ; 24 cm.,,,Theater|||Pictorial works|||Museum of the City of New York. Theatre Collection.,,New York|||New York (State),,9943981673406236,,,,,,
,"selection of musicals from the catalog of Tams-Witmark Musical Library, inc, A",,,,Tams-Witmark Musical Library,"New York, N.Y",Tams-Witmark Music Library,[1983],[1983]||||||1983,,,,monographic,English,text,print,23 p. : ill. (some col.) ; 28 cm.,Bibliography|||Catalogs,,Musicals,,,,9943981933406236,,,ocm56518213,,,
,Musical show,,,,Tams-Witmark Musical Library,New York,Tams-Witmark Musical Library.,,19uu/9999,,,,serial,English,text,print,v.,,,,,,,9943981963406236,,sf 81004096,ocm07950406,,,
,Theatre set designs in the Victoria and Albert Museum,,Theatre set designs,,Victoria and Albert Museum|||Emmett Microform Ltd,"Haslemere, Surrey?]",Emmett Microform,1985,1985,,,,monographic,English,text,microfiche|||microform,25 microfiches : col. & all ill. ; 11 x 15 cm.,Pictorial works,,Theaters|||Stage-setting and scenery|||Theater|||History|||Sources,,,,9944126913406236,0907696198,,ocm14512084,,,
,"Answering a question with a question: an exploration of the role of Rosencrantz in Tom Stoppard's ""Rosencrantz and Gildenstern are dead""",,"Exploration of the role of Rosencrantz in Tom Stoppard's ""Rosencrantz and Gildenstern are dead""","Novinski, David.",,,,,,1999,,,monographic,English,text,print,174 leaves : ill. ; 28 cm.,bibliography,,"Criticism and interpretation|||Stoppard, Tom",,,,9944197233406236,,,ocm55976002,,,
,Seminar '65 report,,Seminaire '65 rapport,,Canadian Conference of the Arts,"Ottawa, Ont",Canadian Conference of the Arts,1965?],1965?]||||||1965,,,,monographic,English|||French,text,print,1 v. (various pagings) ; 28 cm.,Congresses|||conference publication,,"Federal aid to the arts|||Arts, Canadian|||Cultural policy",,Canada,,9944197243406236,,,ocm55979579,,,
,Horror poster art,,,,"Nourmand, Tony.|||Marsh, Graham.",London,Aurum Press,2004,2004,,,,monographic,English,text,print,191 p. : chiefly col. ill. ; 30 cm.,Catalogs,"""This splendid, if scary, collection of movie posters covers over 80 years of horror films and features all the classics of the genre from early silents such as Nosferatu (illustrated here with a hitherto unpublished poster) and The Cabinet of Dr. Caligari to contemporary blockbusters like Silence of the Lambs. The films are grouped by categories, such as Universal Studios' uniquely rich hoard of horror, the products of British horror specialists Hammer Films, Japanese horror movies, horror spoofs such as An American Warewolf in London, or serial killer movies."" ""Also featured is the work of directors who are wholly or partly remembered for their contribution to the genre.""--BOOK JACKET.",Horror films|||Posters,,,adult,9944299943406236,1845130103 (pbk.),,ocm56639651,,,
,"independent movie poster book: from the collection of the Posteritati Gallery, The",,,"Drate, Spencer.","Salavetz, Judith.|||Kehr, David.|||Posteritati (Firm)",New York,H.N. Abrams,2004,2004,,,,monographic,English,text,print,176 p. : chiefly ill. (chiefly col.) ; 31 cm.,Catalogs|||catalog,,Film posters,,,,9945136763406236,081099190X (pbk. : alk. paper),2004020413,ocm56405079,,,
,"must see!: brilliant Broadway artwork, A",,,"Suskin, Steven.",,"San Francisco, Calif",Chronicle Books,c2004,c2004||||||2004,,,,monographic,English,text,print,156 p. : ill. (chiefly col.) ; 31 cm.,Catalogs|||catalog,,"Theatrical posters, American|||Musicals",,United States|||New York|||New York (State),,9945187553406236,0811842177,2003017908,ocm52860058,,,
,Membership directory,Puppetry journal,Handbook and directory|||Service guide & membership directory,,Puppeteers of America,"Macedonia, Ohio]",Puppeteers of America,[c1983-,[c1983-|||1983/uuuu,,,,serial,English,text,print,v. ; 28 cm.,directory,,Directories|||Puppeteers|||Puppeteers of America,,,,9945817503406236,,sc 88010202,ocm02871962,,,
,"Italian ballet, 1637-1977: a catalogue",,,"Levy, Morris S.","Ward, John M. (John Milton), 1917-2011|||Macnutt, Richard.|||John Milton and Ruth Neils Ward Collection (Harvard Theatre Collection)|||Harvard Theatre Collection|||Houghton Library","Cambridge, Mass",Houghton Library of the Harvard College Library|||Distributed by Harvard University Press,2005,2005,,,,monographic,English,text,print,"xxi, 420 p., [7] folded leaves of plates : col. ill. / 28 cm.",Catalogs|||bibliography,"A catalogue of scores, manuscripts, books, playbills, costume designs, and ephemera relating to ballets performed in Italy from the 17th through the 20th century.",Ballet|||Harvard Theatre Collection|||John Milton and Ruth Neils Ward Collection (Harvard Theatre Collection),,"Italy|||United States, Massachusetts, Cambridge",,9945893833406236,0974396311,,ocm62035054,,,
,Hirschfeld's British aisles,,British aisles,"Hirschfeld, Al.","Andrews, Julie.","S.l.]|||Milwaukee, WI",Glenn Young Books|||distributed by] Hal Leonard/Applause Books,c2006,c2006||||||2006,,,1st ed.,monographic,English,text,print,221 p. : chiefly ill. ; 28 cm.,Caricatures and cartoons|||biography,,Theater,,England|||Great Britain,,9945944843406236,1557836744,,ocm62587265,,,
,"Surf movie tonite!: surf movie poster art, 1957-2004",,,"Warshaw, Matt, 1960-",,San Francisco,Chronicle Books,c2005,c2005||||||2005,,,,monographic,English,text,print,143 p. : chiefly ill. (some col.) ; 31 cm.,Catalogs|||catalog,,Beach party films|||Posters,,,,9945946853406236,0811848736,2004029754,ocm57432044,,,
,"Encore! 3 tenors: José Carreras, Plácido Domingo, Luciano Pavarotti with Zubin Mehta",,Encore three tenors,,"Rudas, Tibor.|||Public Broadcasting Service (U.S.)",San Francisco,Collins Publishers San Francisco,1994],1994]||||||1994,,,,monographic,English,text,print,70 p. : ill. (som col.) ; 28 cm.,,,"Performances|||Concert programs|||Carreras, José|||Domingo, Plácido 1941-|||Pavarotti, Luciano|||Mehta, Zubin",,Los Angeles|||California,,9948853083406236,0006382827 (pbk.) :|||9780006382829 (pbk.),,ocm31209949|||31209949,,,
,"genius of the later English theater, The",,,,"Barnet, Sylvan (ed)",New York],New American Library,[1962],[1962]||||||1962,,,,monographic,English,text,print,536 p. 19 cm.,bibliography,,English drama,,,,9949383163406236,,62018430,ocm00256496|||256496,,,
,"songs of Paul Simon, The",Songs. Selections,,"Simon, Paul, 1941-",,New York,A.A. Knopf|||[Distributed by Random House],1972,1972,,,[1st ed.],monographic,English,notated music,print,"1 score (xii, 331 p.) : ill. (some col.) ; 28 cm.",,,Popular music,,,,9951134473406236,0394480007|||9780394480008|||0394707834 (pbk.)|||9780394707839 (pbk.),78038322,ocm00389897,,,
,Film posters: horror,,Horror,,"Nourmand, Tony.|||Marsh, Graham.",Köln|||London,Taschen,2006,2006,,,,monographic,English,text,print,191 p. : col. ill. ; 30 cm.,Catalogs,,Film posters|||Horror films|||Posters,,,,9954301153406236,3822856266 (pbk.)|||9783822856260 (pbk.),,ocm68263453,,,
,Film posters of the 30s: the essential movies of the decade : from the Reel Poster Gallery collection,,,,"Nourmand, Tony.|||Marsh, Graham.|||Reel Poster Gallery",Köln|||London,Taschen,2006,2006,,,,monographic,English,text,print,127 p. : col. ill. ; 30 cm.,Catalogs|||Ouvrages illustrés|||Pictorial works,,Film posters|||Affiches de cinéma|||Reel Poster Gallery.,,,,9954301163406236,3822845116 (pbk.)|||9783822845110 (pbk.),,ocm64098249,,,
,Film posters science fiction,,,,"Nourmand, Tony.|||Marsh, Graham.",Köln|||London,Taschen,2006,2006,,,,monographic,English,text,print,192 p. : col. ill. ; 30 cm.,Catalogs,,Film posters|||Science fiction films|||Posters|||Science fiction in art,,,,9954301183406236,3822856274 (pbk.)|||9783822856277 (pbk.),,ocm68263454,,,
,Restoration plays,,,"Harris, Brice, 1900-1984","Congreve, William, 1670-1729|||Dryden, John, 1631-1700|||Etherege, George, 1636-1691 or 1692|||Farquhar, George, 1677?-1707|||Otway, Thomas, 1652-1685|||Vanbrugh, John, 1664-1726|||Buckingham, George Villiers, Duke of, 1628-1687|||Wycherley, William, 1640-1716",New York,Modern Library,1953,1953,,,,monographic,English,text,print,"xx, 674 p. ; 19 cm.",bibliography,,English drama,"Restoration, 1660-1700",,,9956128103406236,,53009766,00682815,,,
,Murder in the cathedral,,,"Eliot, T. S. (Thomas Stearns), 1888-1965",,New York,"Harcourt, Brace","[1936, c1935]","[1936, c1935]||||||1936",,,[2d ed.].,monographic,English,text,print,"[7], 11-86 p. 23 cm.",Drama,,"à Becket, Saint Thomas 1118?-1170",,,,9956955563406236,,,ocm00831302,,,
,Computers and the performing arts: a report on the National computer project for the performing arts,,,,"Moore, Lou.|||Kassak, Nancy.|||Theatre Communications Group","New York, NY",TCG,c1980,c1980||||||1980,,,,monographic,English,text,print,113 p. : ill. ; 28 cm.,,,Performing arts|||Data processing|||Arts du spectacle|||Informatique,,,,9960981443406236,0930452151 (pbk.) :|||9780930452155 (pbk.),80153515,ocm07737570,,,
,Goodspeed Opera House,,,"Brennan, Noel-Anne.",,"Portland, Conn",Printed by the Waverly Print. Co.,c1974,c1974||||||1974,,,,monographic,English,text,print,56 p. : ill. (some col.) ; 22 cm.,,,"History|||Theaters|||Historic buildings|||Buildings, structures, etc|||Goodspeed Opera House",,Connecticut|||East Haddam (Town)|||East Haddam (Conn. : Town),,9967828593406236,,,ocm45145877,,,
,"Practical guide to arts participation research, A",,,,AMS Planning & Research Corp,"Washington, DC",National Endowment for the Arts,[1995],[1995]||||||1995,,,,monographic,English,text,print,"iii, 91 p. : ill. ; 28 cm.",bibliography|||government publication,,Arts audiences|||Arts surveys|||Culturele participatie|||Publieksonderzoek|||Onderzoeksontwerp,,United States,,9967829163406236,,95012004,ocm32235860,,,
,"Pittsburgh Cultural Trust: the first five years : 1984 - 1989, The",,First five years,,Pittsburgh Cultural Trust,"Pittsburgh, PA",Pittsburgh Cultural Trust,[1989?],[1989?]||||||1989,,,,monographic,English,text,print,16 p. ; 33 cm.,,,Arts|||Economic aspects|||Art and society|||Pittsburgh Cultural Trust.,,Pittsburgh|||Pennsylvania,,9967829803406236,,,ocn759402079|||759402079,,,
,Directory of consultants,"Directory of consultants (State College, Pa.)",,,Pennsylvania Local Arts Network,"State College, PA",The Network,[1991]-,[1991]-|||1991/9999,,,,serial,English,text,print,v. ; 28 cm.,Directories,,Art consultants|||Arts administrators,,Pennsylvania,,9967830203406236,,,ocm31110185,,,
,"Dance, music, theatre, visual arts: what every young American should know and be able to do in the arts : National standards for arts education",National standards for arts education,,,Consortium of National Arts Education Associations,"Reston, Va",Music Educators National Conference,c1994,c1994||||||1994,,,,monographic,English,text,print,142 p. ; 28 cm.,,,Arts|||Study and teaching|||Standards|||Music|||Instruction and study,,United States,,9967830413406236,1565450361|||9781565450363,94193083,ocm30413886,,,
,Planning to make the arts basic: a report to the National Endowment for the Arts on the impact and results of the Arts in Schools Basic Education Grants Program,,,"Stevens, Louise K., 1953-",National Endowment for the Arts,"Marion, MA",ArtsMarket Consulting,1991,1991,,,1st ed.,monographic,English,text,print,292 p. : ill. ; 28 cm.,bibliography,,Arts in Schools Basic Education Grants Program (U.S.),,United States,,9967832093406236,0963054007|||9780963054005,91029813,ocm24215553,,,
,"official BBC guide to the reopening of the Royal Opera House, The",,,,"Lay, Paul.","London, U.K",BBC Worldwide,c1999,c1999||||||1999,,,,monographic,English,text,print,106 p. : ill. ; 29 cm.,,,"Royal Opera House (London, England)|||London / Königliches Opernhaus Covent Garden.",,England,,9971068473406236,,2004445245,ocm60373714,,,
,Lazarus laughed (1925-26): a play for an imaginative theatre,,,"O'Neill, Eugene, 1888-1953",,New York,Boni & Liveright|||Boni & Liveright,1927,1927,,,,monographic,English,text,print,179 p. 22 cm.,Drama,,"of Bethany, Saint Lazarus",,,,9971630643406236,,27024516,ocm00289979|||289979,,,
,My three lives,,,"Farris, Celia Lipton.",,"Palm Beach, Fla",IRC Promotions,c2008,c2008||||||2008,,,,monographic,English,text,print,343 p. : ill. (chiefly col.) ; 32 cm.,biography,,"Actors|||Singers|||Socialites|||Farris, Celia Lipton|||Farris, Victor W",,Palm Beach|||United States|||Florida|||Great Britain,,9972279243406236,9780615165967|||0615165966,,ocn274110668|||274110668,,,
,Theatre world,"Theatre world (New York, N.Y. : 1981)",John Willis with Ben Hodges theatre world|||John Willis theatre world,,"Willis, John (John A.)",New York,Crown Publishers,c1982-,c1982-|||1981/2013,,,,serial,English,text,print,v. : ill. ; 24 cm.,Periodicals,,Theater,,United States|||New York|||New York (State),,9975982663406236,,96641430|||sn 84010391,10416424|||ocm10416424,,,
,"Kennedy Center honors, The",,[Calendar],,John F. Kennedy Center for the Performing Arts (U.S.),"Washington, D.C",John F. Kennedy Center for the Performing Arts,,198u/9999,,,,serial,English,text,print,"v. (unpaged) : ill., ports. ; 28 cm.",Pictorial works,,Performing arts|||Awards|||Entertainers|||John F. Kennedy Center for the Performing Arts (U.S.),,United States,,9979405603406236,,,ocn890719941|||890719941,,,
,Spurlos: Roman,Taken. German,,"George, Kathleen, 1943-",,Bergisch Gladbach :,"Bastei Lübbe,",2003.,2003||||||2003.,,,Erste Auflage.,monographic,English|||German,text,print|||unmediated|||volume,461 pages ; 18 cm,Detective and mystery fiction|||Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,9986002523406236,3404148673|||9783404148677,,ocn960953888,,,
,Kidnappet,Taken. Danish,,"George, Kathleen, 1943-",,København :,"Bogklubben Egmont,",2001.,2001||||||2001.,,,,monographic,Danish|||English,text,print|||unmediated|||volume,317 pages ; 22 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,9986002653406236,8760813253|||9788760813252,,ocn960978315,,,
,Stjålet,Taken. Norwegian,,"George, Kathleen, 1943-",,Oslo :,"Egmont Hjemmets Bokforlag,",2001.,2001||||||2001.,,,,monographic,Norwegian|||English,text,print|||unmediated|||volume,341 pages ; 22 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,9986002713406236,8259025426|||9788259025425,,ocn961105855,,,
,Roof,Taken. Dutch,,"George, Kathleen, 1943-",,Amsterdam :,"Uitgeverij Luitingh - Sijthoff,",2003.,2003||||||2003.,,,,monographic,Dutch|||English,text,print|||unmediated|||volume,351 pages ; 23 cm,Detective and mystery fiction|||Fiction|||novel|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,9986009793406236,9024542650|||9789024542659,,ocn961106444,,,
,Voleurs d'enfants,Taken. French,,"George, Kathleen, 1943-",,Paris :,"Belfond,",2002.,2002||||||2002.,,,,monographic,English|||French,text,print|||unmediated|||volume,386 pages ; 24 cm,Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,9986013443406236,2714438210|||9782714438218,,ocn960944932,,,
,Voleurs d'enfants,Taken. French,,"George, Kathleen, 1943-",,Paris,France Loisirs,2001,2001,,,,monographic,French,text,print|||unmediated|||volume,436 pages ; 20 cm.,Fiction|||text,"The child was taken in broad daylight, on a warm June morning, in a crowded shopping area in downtown Pittsburgh. Marina Benedict first saw the baby with his mother. Then, just minutes later, she saw him again, in the arms of a man she was certain was not the child's father. In a single life-altering act, Marina followed them. What happens next will plunge her into a mystery that is both heartbreaking and chilling. Within hours of the abduction, the city is galvanized by the story: a child, the son of a pitcher for the Pirates, is missing. And soon a community begins to unravel. Detective Richard Christie struggles with his own demons as he tries to solve a baffling mystery. And Marina Benedict, pulled from the safety of her ordinary life by a brutal crime, is at the center of the story. Because once, Marina tried to save a life and it changed her forever. Now she will risk her life again--for a child who is still out there somewhere, still in need of saving.",Infants|||Crimes against|||Women detectives|||Kidnapping,,Pittsburgh (Pa.),,9986017593406236,2744147699|||9782744147692,,ocn670297777,,,
