id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,"London theatre 1811-1866: selections from the diary of Henry Crabb Robinson, The",,,"Robinson, Henry Crabb, 1775-1867","Brown, Eluned (ed)|||Society for Theatre Research",London,Society for Theatre Research,1966,1966,,,,monographic,English,text,print,227 p. 22 cm.,biography,,Theater,,England|||London,,996836923406236,,66068261,01938854,,,
,"Richard Teschner (1879-1948): Puppenspieler, sezessionistischer Künstler",,,,"Mayerhöfer, Josef (ed)|||Österreichische Nationalbibliothek, Theatersammlung.",Wien,Österr. Nationalbibliothek,1970,1970,,,,monographic,German,text,print,48 p. 21 cm.,bibliography,,"Teschner, Richard 1879-1948",,,,996838223406236,,73543554,02014855,,,
,"theatres of London, The",,,"Mander, Raymond.|||Mitchenson, Joe.",,London,Hart-Davis,1963,1963,,,"[2d ed., rev.]",monographic,English,text,print,292 p. illus. 22 cm.,,,Theaters,,England|||London,,996849883406236,,64006934 //r853,03518508,,,
,Curtains; selections from the drama criticism and related writings,,,"Tynan, Kenneth, 1927-1980",,New York,Atheneum,1961,1961,,,[1st ed.],monographic,English,text,print,495 p. 25 cm.,,,Theater,,England|||New York|||Europe|||New York (State),,996850703406236,,61006377 /L,03651961,,,
,"theory of the theatre and other principles of dramatic criticism: consolidated edition, including The theory of the theatre, Studies in stagecraft, Problems of the playwright, Seen on the stage, The",,,"Hamilton, Clayton Meeker, 1881-1946",,New York,H. Holt and company,1939,1939,,,,monographic,English,text,print,"xviii, 481 p. 25 cm.",,,Theater|||Drama|||History and criticism|||Dramatic criticism,,,,996850813406236,,39006957,03671877,,,
,"How to break into motion pictures, television, commercials, and modeling",,,"Blanchard, Nina.",,"Garden City, N.Y",Doubleday,1978,1978,,,1st ed.,monographic,English,text,print,"240 p., [8] leaves of plates : ill. ; 22 cm.",bibliography,,Motion pictures|||Vocational guidance|||Television|||Models (Persons),,,,996852023406236,0385141092 :,77014890 //r84,03913835,,,
,"Diaghilev and Russian stage designers: a loan exhibition of stage and costume designs from the collection of Mr. and Mrs. N. Lobanov-Rostovsky, circulated by the International Exhibitions Foundation, Washington, D.C., 1972-1974",,,,International Exhibitions Foundation,Washington,The Foundation,c1972,c1972||||||1972,,,,monographic,English,text,print,64 p. : ill. ; 29 cm.,bibliography|||biography,,"Theaters|||Stage-setting and scenery|||Exhibitions|||Costume|||Set designers|||Biography|||Lobanov-Rostovsky, Nikita D|||Diaghilev, Serge 1872-1929",,Russia. Russian Empire. Soviet Union. Former Soviet Republics|||Soviet Union,,996853803406236,,71185339 //r862,04506066,,,
,"American theatre: a sum of its parts, The",,,,"American College Theatre Festival (1st : 1969 : Washington,D.C)|||Symposium: The American Theatre--A cultural Process.",New York|||Hollywood,"Samuel French, Inc.",[1971],[1971]||||||1971,,,,monographic,English,text,print,"x, 431 p. : ill. ; 22 cm.",,,Theater,,United States,,996855893406236,,,05167042,,,
,Storia del teatro drammatico,,,"Amico, Silvio d', 1887-",,Milano-Roma,Rizzoli & c.,[1939] -,[1939] -|||1939/9999,,,,monographic,Italian,text,print,"v. col. fronts., illus. (incl. ports., facsims.) col. plates, diagrs. 26 cm.",bibliography,,Theater|||History|||Drama|||History and criticism,,,,996856763406236,,40029806,05455693,,,
,Acting: a book for amateurs,,,"Hicks, Seymour, 1871-1949",,"London, [etc.]","Cassell and company, limited",[1931],[1931]||||||1931,,,,monographic,English,text,print,"xvi, 263 [1] p. 20 cm.",,,Acting|||Amateur theater,,,,996857593406236,,32001199,05903211,,,
,"art of dramatic writing: its basis in the creative interpretation of human motives, The",,,"Egri, Lajos.",,New York,Simon and Schuster,1946,1946,,,,monographic,English,text,print,"xxii, 308 p. 21 cm.",,,Drama|||Technique,,,,996858553406236,,,06408167,,,
,"idea of a theater: a study of ten plays, the art of drama in changing perspective, The",,,"Fergusson, Francis.",,"Garden City, N. Y",Doubleday,"[1953, c1949]","[1953, c1949]|||1953/1949",,,,monographic,English,text,print,255 p. 19 cm.,,,Drama|||History and criticism,,,,996864053406236,,,13597326,,,
,Orientamenti della scenografia,"Prospettive (Milan, Italy)",,,,Milano,Görlich,c1961,c1961||||||1961,,,2a ed.,monographic,Italian,text,print,ca. 250 p. : ill. ; 33 cm.,,,Theaters|||Stage-setting and scenery,,,,996865573406236,,86181387,17208674,,,
,Modern plays,,,,"McDermott, John Francis, 1902-1981 (ed)",New York,"Harcourt, Brace and company",[c1932],[c1932]||||||1932,,,,monographic,English,text,print,"xiii, 427 p. 21 cm.",,,Drama|||Collections,,,,996874553406236,,32003390,00372580,,,
,One-act plays by modern authors,,,,"Cohen, Helen Louise, 1882- (ed)",New York,"Harcourt, Brace & World",[c1934],[c1934]||||||1934,,,Enl.,monographic,English,text,print,539 p.,,,English drama|||American drama,,,,996875823406236,,34008319,00545794,,,
,Designing for films,,,"Carrick, Edward, 1905-1998",,London|||New York,Studio Publications,[1949],[1949]||||||1949,,,New ed.,monographic,English,text,print,"viii, 128 p. illus. 26 cm.",bibliography,,Motion pictures|||Setting and scenery,,,,996876443406236,,50008216,00621479,,,
,Continental plays,,,,"Dickinson, Thomas H., 1877-1961 (ed)",Boston|||New York [etc.],Houghton Mifflin Company,[c1935-,[c1935-|||1935/9999,,,,monographic,Undetermined|||English,text,print,v. 20 cm.,bibliography,,Drama|||Collections,,,,996879633406236,,35007820,01090363,,,
,Representative modern dramas,,,,"Whitman, Charles Huntington, 1873-1937 (ed)",New York,The Macmillan Company,1936,1936,,,,monographic,Undetermined|||English,text,print,"xviii, 1121 p. 23 cm.",Collections|||bibliography|||biography,,Drama,,,,996880063406236,,36019582,01150952,,,
