id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
9935756693406236,Hirschfeld: on line,,On line,,,New York,Applause,c1999,,,,monographic,,English,text,print,343 p. : ill. (some col.) ; 31 cm.,,"""Hirschfeld On Line is just that - it's Al Hirschfeld ""on"" Hirschfeld, as the master turns his quick quill pen to prose in order to comment, critique, explicate, and occasionally even lampoon his own artwork, from the very first theatre drawings he did in the mid-Twenties up to (nearly) last week."" ""Here is Hirschfeld on the dramatic and droll stories behind his scenes, as well as those of the Broadway stages he's covered graphically since the American theatre came of age with O'Neill and Show Boat. Here are his most famous and enduring imageslike that one of Liza Minnelli in Cabaret, or that long-striding one of Robert Preston in The Music Man, or that one of, well, the list - the distinguished line - goes on and on. He tells us at long last not only why he draws but what and how he has drawn it."" ""For those who've missed the past seventy-five years of opening nights on Broadway and would like to catch up, this is the book for them. For those who would like a pictorial summation of our time - from the early, ""hopeful"" years of Soviet Russia to the final, cynical episode of Seinfeld, this book is for them. And for those who would just like to know how and why Al Hirschfeld started putting all those NINAs into each and every one of his drawings - and why no power on earth can now grant him leave to cease and desist - this book is essential.""--BOOK JACKET.","American wit and humor, Pictorial|||Cartoonists|||Hirschfeld, Al",,United States,,,,,98088469,,
9936113313406236,[Autograph album],,Autographs,,,,,,,,,monographic,,English,text,print,[31] leaves ; 15 x 16 cm.,Autographs,,Actors|||Actresses,,,,,,,,,
9936354593406236,Hitchcock poster art: from the Mark H. Wolff collection,,,,,"Woodstock, NY",Overlook Press,1999,,,,monographic,,English,text,print,127 p. : ill. (some col.) ; 31 cm.,Catalogs|||catalog,,"Film posters|||Hitchcock, Alfred 1899-1980",,,,,,,99033578,,
9936972063406236,Blueprint for summer theatre,,,,"Effrat, John, 1908- (joint author)",N[ew] Y[ork],John Richard Press,1948,,,,monographic,,English,text,print,"x, 100 p. 22 cm.",,,Summer theater,,,,,,,48007346 //r52,,
9937024713406236,"complete plays of Gilbert and Sullivan, The",Operas. Librettos. Selections,,,,New York,The Modern Library,[1936],,,,monographic,,English,text,print,"ix, 711 p. illus. 21 cm.",Librettos,,"Operas|||Sullivan, Arthur 1842-1900",,,,,,,36010883,,
9938002903406236,Loot,,,,,,Samuel French Inc,2000?,,,,monographic,,English,text,print,unbound playscript format,,,,,,,,,,,,
9938728493406236,Blueprint for summer theatre,,,,"Effrat, John, 1908- (joint author)",N[ew] Y[ork],John Richard Press.,,1949,uuuu,,serial,Unknown,English,text,print,v. illus. 22-24 cm.,,,Summer theater,,,,,,,48007346,,
9939395423406236,"New York State Council on the Arts, 1961",,,,,S.l,The Council,1962],,,,monographic,,English,text,print,40 p. illus. 21 cm.,,,Art and state|||Art,,New York (State),,,,,62062582,,
9939822253406236,Mielziner: master of modern stage design,,,,,New York,Back Stage Books : published in association with the New York Public Library,2001,,,,monographic,,English,text,print,320 p. : ill. (some col.) ; 22 x 29 cm.,bibliography|||biography,"""Jo Mielziner (1901-76) was the most highly acclaimed scenic and lighting designer of the American theatre of the twentieth century. Spanning some five decades, his unusually long career coincided with the flowering of modern theatre in the United States, with the result that he designed many of its most famous productions. So protean were Mielziner's talents that in some years during Broadway's peak, in a single season more than a half-dozen hit shows bore his scenery on the boards."" ""Mielziner: Master of Modern Stage Design, authorized by the Mielziner estate and published in association with The New York Public Library for the Performing Arts, is illustrated with sketches and fully rendered designs never previously published, and graced with a foreword by former New York Times theatre critic Frank Rich, this book provides a long-overdue, definitive account of Mielziner's life and work as the preeminent theatre artist of his time.""--BOOK JACKET.","Set designers|||Theaters|||Stage-setting and scenery|||Architects|||Mielziner, Jo 1901-1976",,United States,,,,,00101808,,
9940315893406236,Trash: the graphic genius of Xploitation movie posters,,,,,San Francisco,Chronicle Books,c2002,,,,monographic,,English,text,print,144 p. : ill. (chiefly col.) ; 31 cm.,,"""Trash rolls in the mud with graphic art of such questionable aesthetic quality and social worth that it practically redefines the poster as advertising medium. Chapters each define a key trash topic (Sex Trash, Action Trash, Horror Trash, Race Trash, Groovy Trash, and Docu Trash), collecting the funniest, most disturbing and desperate posters from each genre; and short introductions set the tone, offer eye-opening context, and then just get out of the way to let the posters themselves run riot on the page. Thrill to unfortunate star turns, towering tidal waves, armies of killer spiders, sex-starved zombies, and explosion after glorious explosion. Truly visionary in both content and approach, Trash is a feast for the eye and other visceral zones. Free your mind, and the trash will follow.""--BOOK JACKET.","Film posters, American|||Exploitation films",,United States,,,,,2001047317,,
