id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
00acc3629m,"American first class book, or, Exercises in reading and recitation: selected principally from modern authors of Great Britain and America, and designed for the use of the highest class in public and private schools, The",,,"Pierpont, John, 1785-1866",,Boston,Charles Bowen,,1836/1835,"1836|||1835|||1836, c1835|||ca. 1836-1835|||1836-01-01T00:00:00",,25th ed.,monographic,English,text,print,480 p. ; 19 cm.,,,Readers,,,,396464,,,,,University of Pittsburgh,collection.120
00acc4992m,"Uncle Austin and his nephews, or, The scripture guide: being a familiar introduction to the study of the Bible",,The scripture guide,"Alexander, James W. (James Waddel), 1804-1859",American Sunday-School Union,Philadelphia,American Sunday-School Union,,1838,c1838|||1838|||1838-01-01T00:00:00,,,monographic,English,text,print,"263 p., [1] leaf of plates : ill., maps ; 16 cm.",,,Juvenile literature|||Study and teaching|||Introductions|||Bible,,,juvenile,397754,,24017616,,,University of Pittsburgh,collection.120
00acc5224m,"art of writing, reduced to a plain and easy system: on a plan entirely new, in seven books, The",,Plain easy and familiar introduction to the art of writing,"Jenkins, John, 1755?-1823",,Cambridge,Printed for the author,,1813,c1813|||1813|||1813-01-01T00:00:00,,,monographic,English,text,print,"xlviii, 68, [4] p., [12] leaves of plates : ill., port. ; 24 cm.",,,Penmanship,,,,397949,,,,,University of Pittsburgh,collection.120
00acc6476m,"manual of American literature: a text-book for schools and colleges, A",,,"Hart, John S. (John Seely), 1810-1877",,Philadelphia,Eldredge & Brother,,1872,c1872|||1872|||1872-01-01T00:00:00,,,monographic,English,text,print,641 p. ; 20 cm.,bibliography,,"American literature|||History and criticism|||Authors, American|||Biography",,,,398738,,,,,University of Pittsburgh,collection.120
00acc6636m,"primer of American literature, A",,,"Richardson, Charles F. (Charles Francis), 1851-1913",,Boston,"Houghton, Mifflin and Company",,1891/1883,"1891|||1883|||1891, c1883|||ca. 1891-1883|||1891-01-01T00:00:00",,"New and rev. ed.,",monographic,English,text,print,"117 p., [12] leaves of plates : ports. ; 15 cm.",,,American literature|||History and criticism,,,,398864,,,,,University of Pittsburgh,collection.120
00acc6716m,Slate and black board exercises,,,"Alcott, William A. (William Andrus), 1798-1859",,Reading,H.A. Lantz,,1857,1857|||1857-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,"[14], 292 p. : ill. ; 18 cm.",,,"Blackboards|||Problems, exercises, etc|||Teaching|||Aids and devices",,,,398915,,,,,University of Pittsburgh,collection.120
00acd2860m,"religious instruction of the Negroes in the United States, The",,,"Jones, Charles Colcock, 1804-1863",,Savannah,Thomas Purse,,1842,1842|||1842-01-01T00:00:00,,,monographic,English,text,print,"xiii, 277 p. ; 20 cm.",,,African Americans|||Religion|||Education|||Christian education,,United States,,404805,,07042228,,,University of Pittsburgh,collection.120
00acd3486m,"instructor, or, Young man's best companion: containing, spelling, reading, writing and arithmetic, in an easier way than any yet published ... how to write letters on business or friendship, forms of indentures, bonds, bills of sale [etc.], merchants accompts ... the method of measuring carpenters, joiners, sawyers [etc.] work, how to undertake each work, and at what price ... the practical gauger made easy, the art of dialing ... with instructions for dying, colouring, and making colours, and some general observations for gardening every month in the year : to which are added, the family's best companion, and a compendium of geography and astronomy : also, some useful interest tables, The",,Young man's best companion,"Fisher, George, accomptant",,London,Printed for the booksellers,,1792,1792|||1792-01-01T00:00:00,,New ed. carefully corr.,monographic,English,text,print,"xii, 404 p. : ill. ; 18 cm.",,,"Handbooks, vade-mecums, etc",,,,405358,,,,,University of Pittsburgh,collection.120
00acd3792m,"art of reading, or, Rules for the attainment of a just and correct enunciation of written language: mostly selected from Walker's Elements of elocution, and adapted to the use of schools, The",,Rules for the attainment of a just and correct enunciation of written language,,,Boston,"Cummings, Hilliard, and Company",,1826,1826|||1826-01-01T00:00:00,,,monographic,English,text,print,68 p. ; 19 cm.,,,Reading|||Elocution,,,,405499,,,,,University of Pittsburgh,collection.120
00ace1765m,"Class book of nature: comprising lessons on the universe, the three kingdoms of nature, and the form and structure of the human body : with questions and numerous engravings, The",,,,"Frost, John, 1800-1859",Hartford,Wm. Hamersley,,1850/1836,"1850|||1836|||1850, c1836|||ca. 1850-1836|||1850-01-01T00:00:00",,13th ed.,monographic,English,text,print,283p. : ill. ; 18 cm.,,,Science|||Juvenile literature,,,juvenile,412725,,,,,University of Pittsburgh,collection.120
00ace7344m,Hygiene for young people: adapted to intermediate classes and common schools,,,"Woman's Christian Temperance Union, National Department of Scientific Instruction.","Palmer, Alonzo Benjamin, 1815-1887",New York,A.S. Barnes & Company,,1885,c1885|||1885|||1885-01-01T00:00:00,,,monographic,English,text,print,"207 p., [3] leaves of plates : ill. ; 19 cm.",,,Physiology|||Hygiene|||Juvenile literature,,,juvenile,417949,,07009253,,,University of Pittsburgh,collection.120
00acf6271m,"third reader: for the use of schools, The",,,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860",,"Louisville, Ky",Morton & Griswold,,1839,c1839|||1839|||1839-01-01T00:00:00,,,monographic,English,text,print,180 p. ; 19 cm.,,,Readers (Elementary)|||Recitations,1800-1870,,,426175,,,,,University of Pittsburgh,collection.120
