id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
00ack2700m,"United States' spelling book, with appropriate reading lessons: being an easy standard for spelling, reading and pronouncing the English language, according to the rules established by John Walker, in his critical and pronouncing dictionary, The",,,,,Pittsburgh,"Cramer, Spear and Eichbaum",,1815/1809,"1815|||1809|||1815, c1809|||ca. 1815-1809|||1815-01-01T00:00:00",,,monographic,English,text,print,156 p. ; 17 cm.,,,Spellers|||Readers|||English language|||Pronunciation,,,,459469,,,,,University of Pittsburgh,collection.120
00ack2791m,"Cobb's spelling book: being a just standard for pronouncing the English language, containing the rudiments of the English, language arranged in catechetical order, an organization of the alphabet, an easy scheme of spelling and pronunciation, intermixed with easy reading lessons : to which are added, some useful tables, with the names of cities, counties, towns, rivers, lakes, &c. in the United States, and a list of the proper names contained in the New Testament, and pronounced according to the best authorities : designed to teach the orthography and orthoepy of J. Walker",Spelling book. 1825 (Knowlton & Rice),,"Cobb, Lyman, 1800-1864","Walker, John, 1732-1807","Watertown, N.Y",Printed and published by Knowlton & Rice,,1825,c1825|||1825|||1825-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,168 p. ; 18 cm.,,,Spellers,,,,459560,,,,,University of Pittsburgh,collection.120
00ack5272m,"new guide to the English tongue: in five parts, containing,  I. Words both common and proper, from one to six syllables ... II. A large and useful table of words that are the same in sound but different in signification ... III. A short but comprehensive grammar ... IV. An useful collection of sentences in prose and verse, divine, moral and historical ... V. Forms of prayer for children on several occasions, A",,,"Dilworth, Thomas, d. 1780",,Carlisle,Printed by Archibald Loudon,,1810,1810|||1810-01-01T00:00:00,,,monographic,English,text,print,132 p. : ill. ; 17 cm.,,,English language|||Grammar|||Spellers,,,,461642,,,,,University of Pittsburgh,collection.120
00acl4424m,"Dr. Scudder's tales for little readers, about the heathen",,Tales for little readers about the heathen,,American Tract Society,New York,American Tract Society,,1849,c1849|||1849|||1849-01-01T00:00:00,,,monographic,English,text,print,198 p. : ill. ; 16 cm.,Juvenile literature,,Paganism|||Religions|||Christianity and other religions|||Hinduism|||Sunday-school literature,,,,469898,,,,,University of Pittsburgh,collection.120
00acl5621m,My story book,,,,,Boston,Massachusetts Sabbath School Society,,1800/1899,[18--?]|||ca. 1800-1899|||1800-01-01T00:00:00,,,monographic,English,text,print,64 p. : ill. ; 12 cm.,,,Sunday-school literature,,,,470922,,,,,University of Pittsburgh,collection.120
00acn8305m,Cyr's fourth reader,Fourth reader. 1899,,"Cyr, Ellen M., d. 1920",,Boston,Ginn & Company,,1899,c1899|||1899|||1899-01-01T00:00:00,,,monographic,English,text,print,"viii, 388 p. : ill., ports. ; 19 cm.",,,Readers (Elementary),1870-1950,,,491421,,,,,University of Pittsburgh,collection.120
00acq4243m,"Beadle's dime American speaker: comprising gems of elocution and humor, for schools, exhibitions, parlors, etc",,,"Victor, Orville J. (Orville James), 1827-1910",,New York,Beadle and Company,,1863,c1863|||1863|||1863-01-01T00:00:00,,Rev. and enl. ed.,monographic,English,text,print,98 p. ; 17 cm.,,,Recitations,,,,506319,,54047905,,,University of Pittsburgh,collection.120
00acq4264m,"national school primer, or, primary word-builder, The",,Primary word-builder,"Watson, J. Madison (James Madison), 1827-1900",,New York,American Book Company,,1858,c1858|||1858|||1858-01-01T00:00:00,,,monographic,English,text,print,64 p. : ill. ; 18 cm.,,,Readers (Primary),1800-1870,,,506340,,,,,University of Pittsburgh,collection.120
00acy5431m,"young gentleman and lady's monitor, and English teacher's assistant: being a collection of select pieces from our best modern writers : calculated to eradicate vulgar prejudices and rusticity of manners, improve the understanding, rectify the will, purify the passions, direct the minds of youth to the pursuit of proper objects, and to facilitate their reading, writing, and speaking the English language, with elegance and propriety : particularly adapted for the use of our eminent schools and academies, as well as private persons, who have not an opportunity of perusing the works of those celebrated authors, from whence this collection is made : divided into small portions for the ease of reading in classes, The",,,"Moore, John Hamilton, d. 1807",,New York,"Printed for Evert Duyckinck, by Southwick and Crooker",,1802,1802|||1802-01-01T00:00:00,,Latest ed.,monographic,English,text,print,"vi, 382, [5] p. ; 18 cm.",,,Readers|||Youth|||Conduct of life,,,juvenile,568840,,,,,University of Pittsburgh,collection.120
00acy5488m,McGuffey's eclectic primer,Eclectic primer. 1881 (American Book Company),,"McGuffey, William Holmes, 1800-1873",,New York,American Book Company,,1881,c1881|||1881|||1881-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,64 p. : ill. ; 19 cm.,,,Readers (Primary),1870-1950,,,568896,,,,,University of Pittsburgh,collection.120
00acz7897m,"Introduction to the national reader: a selection of easy lessons : designed to fill the same place in the common schools of the United States, that is held by Murray's introduction, and the compilations of Guy, Mylius, and Pinnock, in those of Great Britain",,,"Pierpont, John, 1785-1866",,New York,George F. Cooledge,,1835,c1835|||1835|||1835-01-01T00:00:00,,,monographic,English,text,print,168 p. ; 19 cm.,,,Readers,,,,580420,,,,,University of Pittsburgh,collection.120
00acz7992m,First lessons in numbers: oral and written,,,"Maglathlin, Henry B. (Henry Bartlett), 1819-1910","Greenleaf, Benjamin, 1786-1864",Boston,"Leach, Shewell, and Sanborn",,1881,c1881|||1881|||1881-01-01T00:00:00,,,monographic,English,text,print,"iv, 124 p. : ill. ; 18 cm.",Early works to 1900,,Arithmetic,,,,580512,,,,,University of Pittsburgh,collection.120
00acz8145m,"progressive third reader, for public and private schools: containing the elementary principles of elocution, illustrated by examples and exercises in connection with the tables and rules, and a series of lessons in reading : with original designs and engravings, The",,,"Town, Salem, 1779-1864","Holbrook, Nelson M.",Boston|||Portland [Me.],Bazin & Ellsworth|||Bailey and Noyes,,1857,c1857|||1857|||1857-01-01T00:00:00,,,monographic,English,text,print,304 p. : ill. ; 20 cm.,,,Readers,,,,580641,,,,,University of Pittsburgh,
00aep6688m,"Old textbooks: spelling, grammar, reading, arithmetic, geography, American history, civil government, physiology, penmanship, art, music, as taught in the common schools from colonial days to 1900",,,"Nietz, John A. (John Alfred), 1888-1970",,Pittsburgh],University of Pittsburgh Press,,1961,[1961]|||1961|||1961-01-01T00:00:00,,,monographic,English,text,print,"vii, 364 p. ports., map, facsims., tables. 24 cm.",bibliography,,Textbooks|||History,,United States,,904606,,60013851,,,University of Pittsburgh,collection.120
00aep6689m,"evolution of American secondary school textbooks: rhetoric & literature, algebra, geometry, natural history (zoology), botany, natural philosophy (physics), chemistry, Latin and Greek, French, German & world history as taught in American Latin grammar school academies and early high schools before 1900, The",,,"Nietz, John A. (John Alfred), 1888-1970",,"Rutland, Vt",C. E. Tuttle Co.,,1966,[1966]|||1966|||1966-01-01T00:00:00,,,monographic,English,text,print,"xii, 265 p. facsims., ports. 22 cm.",,,Textbooks|||History,,United States,,904607,,65020613,,,University of Pittsburgh,
00z329908m,"History of the United States: from their first settlement as colonies, to the close of the war with Great Britain in 1815 : to which are added questions, adapted to the use of schools",,,"Hale, Salma, 1787-1866",,Philadelphia,Uriah Hunt,,1835/1826,"1835|||1826|||1835, c1826|||ca. 1835-1826|||1835-01-01T00:00:00",,,monographic,English,text,print,"298, 24 p. ; 15 cm.",,,History,,United States,,329908,,06036138,,,University of Pittsburgh,collection.120
00z329961m,"history of the United States of America: on a plan adapted to the capacity of youth, and designed to aid the memory by systematick  arrangement and interesting associations : illustrated by engravings, A",,,"Goodrich, Charles A. (Charles Augustus), 1790-1862",,New York,Collins & Co.,,1825/1822,"1825|||1822|||1825, c1822|||ca. 1825-1822|||1825-01-01T00:00:00",,2nd ed.,monographic,English,text,print,"296, 20 p. : ill. ; 15 cm.",,,History,,United States,,329961,,,,,University of Pittsburgh,collection.120
00z330014m,"practical grammar of the English language, A",,,"Butler, Noble, 1819-1882",,Louisville,"John P. Morton & Co., c1846.",,1846,1846|||1846-01-01T00:00:00,,Electrotype ed.,monographic,English,text,print,254 p. ; 19 cm.,,,English language|||Grammar,,,,330014,,11004899,,,University of Pittsburgh,collection.120
00z330817m,"Geography on the productive system: for schools, academies, and families : accompanied by a large and valuable atlas",,,"Smith, Roswell Chamberlain, 1797-1875",,Hartford,Daniel Burgess & Co.|||Spalding and Storrs,,1838/1836,"1838|||1836|||1838, c1836|||ca. 1838-1836|||1838-01-01T00:00:00",,Rev. and improved.,monographic,English,text,print,247 p. : ill. ; 17 cm.,,,Geography|||Textbooks,1800-1870,,,330817,,42032793,,,University of Pittsburgh,collection.120
00z331728m,"Classical English letter-writer, or, Epistolary selections: designed to improve young persons in the art of letter-writing and in the principles of virtue and piety  : with introductory rules and observations on epistolary composition, and biographical notices of the writers from whom the letters are selected",,Epistolary selections,,,Philadelphia,Caleb Richardson,,1816,1816|||1816-01-01T00:00:00,,,monographic,English,text,print,"xxiv, 321 p. ; 19 cm.",,,English letters|||Collections|||Letter writing,,,,331728,,,,,University of Pittsburgh,collection.120
00z332218m,"young American, or, Book of government and law : showing their history, nature and necessity : for the use of schools, The",,Book of government and law,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860",,New York,William Robinson,,1842,1842|||1842-01-01T00:00:00,,,monographic,English,text,print,282 p. : ill. ; 17 cm.,,,Politics and government|||Political science,,United States,,332218,,09021785,,,University of Pittsburgh,collection.120
00z333331m,"pictorial history of the United States: for schools and families, A",,,"Lossing, Benson John, 1813-1891",,New York,"F.J. Huntington, Mason Brothers",,1854,c1854|||1854|||1854-01-01T00:00:00,,,monographic,English,text,print,"343 p. : ill., ports ; 20 cm.",,,History,,United States,,333331,,02005784,,,University of Pittsburgh,collection.120
00z334080m,"young lady's accidence , or, A short and easy introduction to English grammar: designed principally for the use of young learners : more especially those of the fair sex : though proper for either, The",,A short and easy introduction to English grammar,"Bingham, Caleb, 1757-1817",,Boston,Samuel T. Armstrong,,1815,"1815, c1805|||1815|||1815-01-01T00:00:00",,20th ed.,monographic,English,text,print,60 p. ; 14 cm.,,,English language|||Grammar,,,,334080,,,,,University of Pittsburgh,collection.120
00z336193m,"improved grammar of the English language, An",,,"Webster, Noah, 1758-1843",,New Haven,Sidney Babcock,,1839/1831,"1839|||1831|||1839, c1831|||ca. 1839-1831|||1839-01-01T00:00:00",,,monographic,English,text,print,192 p. ; 19 cm.,,,English language|||Grammar,,,,336193,,,,,University of Pittsburgh,collection.120
00z339026m,Illustrated school history of the United States and the adjacent parts of America: from the earliest discoveries to the present time,,,"Quackenbos, G. P. (George Payn), 1826-1881",,New York,D. Appleton & Co.,,1857,c1857|||1857|||1857-01-01T00:00:00,,,monographic,English,text,print,"460 p. : ill., ports., maps ; 19 cm.",,,History,,United States,,339026,,02005259,,,University of Pittsburgh,collection.120
00z357226m,"system of modern geography, comprising a description of the present state of the world and its five great divisions: America, Europe, Asia, Africa, and Oceanica : with their several empires, kingdoms, states, territories, &c. ... illustrated by an atlas of sixteen maps, drawn and engraved to accompany the work, A",,Mitchell's school geography,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868",,Philadelphia,"Thomas, Cowperthwait & Co.",,1840/1839,"1840|||1839|||1840, c1839|||ca. 1840-1839|||1840-01-01T00:00:00",,,monographic,English,text,print,"336 p. : ill., maps ; 17 cm.",,,Geography|||Textbooks,1800-1870,,,357226,,,,,University of Pittsburgh,collection.120
00z357387m,Lessons in geography for little learners,,,,"Quackenbos, John Duncan, 1848-1926",New York,American Book Company,,1889,c1889|||1889|||1889-01-01T00:00:00,,,monographic,English,text,print,"68 p. : ill., maps ; 19 cm.",,,Geography|||Textbooks,1870-1945,,,357387,,,,,University of Pittsburgh,collection.120
00z357449m,Peter Parley's geography for beginners: with eighteen maps and one hundred and fifty engravings,,,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860",,New York,Huntington and Savage,,1845/1844,"1845|||1844|||1845, c1844|||ca. 1845-1844|||1845-01-01T00:00:00",,,monographic,English,text,print,"160 p. : ill., maps ; 15 cm.",,,Geography|||Textbooks,1800-1870,,,357449,,,,,University of Pittsburgh,collection.120
00z357466m,"easy grammar of geography: intended as a companion and introduction to the ""Geography on a popular plan for schools and young persons"" by the same author : with maps, An",,,"Phillips, R. (Richard), Sir, 1767-1840",,London,Printed for Richard Phillips,,1806,1806|||1806-01-01T00:00:00,,New ed.,monographic,English,text,print,144 p. : maps ; 14 cm.,,,Geography|||Textbooks,1800-1870,,,357466,,,,,University of Pittsburgh,collection.120
00z360346m,"Tower's common school grammar: with models of clausal, phrasal, and verbal analysis and parsing : gradually developing the construction of the English sentence",Common school grammar. 1861,,"Tower, David B. (David Bates), 1808-1868",,Boston,"Crosby, Nichols, Lee & Company",,1861/1859,"1861|||1859|||1861, c1859|||ca. 1861-1859|||1861-01-01T00:00:00",,,monographic,English,text,print,"viii, 243 p. ; 19 cm.",,,English language|||Grammar,,,,360346,,,,,University of Pittsburgh,collection.120
00z360370m,"practical new grammar, with exercises of bad English, or, An easy guide to speaking and writing the English language properly and correctly: to which is added, a curious and useful appendix, A",,An easy guide to speaking and writing the English language properly and correctly,"Fisher, A. (Anne), 1719?-1778",,Newcastle,Printed for Tho. Slack,,1780,1780|||1780-01-01T00:00:00,,"18th ed., enl. and much improved.",monographic,English,text,print,"xii, 180 p. ; 17 cm.",Early works to 1800,,English language|||Grammar,,,,360370,,,,,University of Pittsburgh,collection.120
00z360511m,"First lessons in our country's history: bringing out its salient points, and aiming to combine simplicity with sense",,Swinton's primary United States,"Swinton, William, 1833-1892",,New York,"Ivison, Blakeman, Taylor, & Company",,1872,c1872|||1872|||1872-01-01T00:00:00,,,monographic,English,text,print,"viii, 119 p. : ill., maps ; 18 cm.",,,History,,United States,,360511,,,,,University of Pittsburgh,collection.120
00z360707m,"pictorial history of the United States: with notices of other portions of America, A",,,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860",,New York|||Cincinnati,"Huntington and Savage, Mason and Law|||H.W. Derby & Company",,1850/1843,"1850|||1843|||1850, c1843|||ca. 1850-1843|||1850-01-01T00:00:00",,Rev. and improved ed.,monographic,English,text,print,"viii, 360 p. : ill., maps ; 19 cm.",,,History,,United States|||America,,360707,,,,,University of Pittsburgh,collection.120
00z398954m,"new universal letter writer: containing letters on duty, amusement, love, courtship, marriage, friendship, trade, religion, and other useful subjects, The",,,"Cook, Thomas.",,Montpelier,Lucius Q.C. Bowles,,1816,1816|||1816-01-01T00:00:00,,,monographic,English,text,print,288 p. ; 17 cm.,,,Letter writing,,,,398954,,,,,University of Pittsburgh,collection.120
00z411590m,"Palmer method of business writing: a  series of self-teaching in rapid, plain, unshaded, coarse-pen, muscular movement writing, The",,,"Palmer, A. N. (Austin Norman), 1859-1927",,New York,A.N. Palmer Company,,1915,1915|||1915-01-01T00:00:00,,,monographic,English,text,print,95 p. : ill. ; 15 x 24 cm.,,,Penmanship,,,,411590,,,,,University of Pittsburgh,collection.120
00z412377m,"Penmanship explained, or, The principles of writing reduced to an exact science",,,"Potter, S. A.",,Philadelphia,Cowperthwait & Co.,,1868/1866,"1868|||1866|||1868, 1866|||ca. 1868-1866|||1868-01-01T00:00:00",,,monographic,English,text,print,"123 p., [6] pages of plates : ill. ; 19cm.",,,Penmanship,,,,412377,,,,,University of Pittsburgh,collection.120
00z412637m,"New vertical script primer, The",,,,,New York : Potter & Putnam,,,1898,"1898|||1898, c1895|||1898|||1898-01-01T00:00:00",,,monographic,English,text,print,48 p. : ill. ; 20 cm.,,,"Penmanship, Vertical",,,,412637,,,,,University of Pittsburgh,collection.120
00z418146m,Cornell's primary geography: forming part first of a systematic series of school geographies,Primary geography. 1855,,"Cornell, S. S. (Sophia S.)",,New York,D. Appleton & Company,,1855/1854,"1855|||1854|||1855, c1854|||ca. 1855-1854|||1855-01-01T00:00:00",,,monographic,English,text,print,"98 p. : ill., maps ; 23 cm.",,,Geography|||Textbooks,1800-1870,,,418146,,,,,University of Pittsburgh,collection.120
00z423660m,Lessons in hygiene: an elementary text-book on the maintenance of health : with the rudiments of anatomy and physiology and the treatment of emergent cases : comprising also lessons on the action of stimulants and sedatives on the brain and nervous system : adapted for common schools,,,"Cutter, John C. (John Clarence), 1851-1909",,Philadelphia,J.B. Lippincott Company,,1885,1885|||1885-01-01T00:00:00,,,monographic,English,text,print,180 p. : ill. ; 20 cm.,,,Hygiene|||Juvenile literature|||Physiology,,,,423660,,07033419,,,University of Pittsburgh,collection.120
00z426609m,"Dainty songs for little lads and lasses: for use in the kindergarten, school and home",,,"Murray, James R. (James Ramsey), 1841-1905",,Cincinnati,John Church Co.,,1887,c1887|||1887|||1887-01-01T00:00:00,,,monographic,English,notated music,print,1 score (160 p.) ; 16 cm.,,,Children's songs,,,juvenile,426609,,,,,University of Pittsburgh,collection.120
00z426876m,School melodies: containing a choice collection of popular airs with original and appropriate words composed expressly for the use of schools,,,"Greene, J. W. (James Whitman)",,Boston,Morris Cotton,,1852,c1852|||1852|||1852-01-01T00:00:00,,,monographic,English,notated music,print,72 p. of music ; 11 x 17 cm.,,,School songbooks,,,,426876,,,,,University of Pittsburgh,collection.120
00z444840m,"first reader, The",,,"Monroe, Lewis B. (Lewis Baxter), 1825?-1879",,Philadelphia,Cowperthwait & Co.,,1873,c1873|||1873|||1873-01-01T00:00:00,,,monographic,English,text,print,96 p. : ill. ; 19 cm.,,,Readers (Elementary),1870-1950,,,444840,,55054644,,,University of Pittsburgh,collection.120
00z469484m,"Analysis of civil government: including a topical and tabular arrangement of the Constitution of the United States : designed as a class-book for the use of grammar, high, and normal schools, academies, and other institutions of learning",,,"Townsend, Calvin, d. 1881",,New York|||Philadelphia|||Chicago,"Ivison, Phinney, Blakeman, & Co.|||J.B. Lipppincott & Co.|||S.C.Griggs & Co.",,1869/1868,"1869|||1868|||1869, c1868|||ca. 1869-1868|||1869-01-01T00:00:00",,,monographic,English,text,print,342 p. ; 20 cm.,handbook,,"Politics and government|||Handbooks, manuals, etc|||United States.",,United States,,469484,,09025699,,,University of Pittsburgh,collection.120
00z470549m,"principles of the government of the United States: adapted to the use of schools, The",,,"Davis, Pardon.",,Philadelphia,H.C. Carey and I. Lea,,1823/1822,"1823|||1822|||1823, c1822|||ca. 1823-1822|||1823-01-01T00:00:00",,,monographic,English,text,print,240 p. ; 18 cm.,,,Constitutions|||States|||United States.,,United States,,470549,,09021786,,,University of Pittsburgh,collection.120
00z480908m,"Fashionable American letter writer, or, The art of polite correspondence: containing a variety of plain and elegant letters on business, love, courtship, marriage, relationship, friendship, &c : with forms of complimentary cards : to the whole is prefixed directions for letter writing, and rules for composition, The",,The art of polite correspondence,,,Brookfield,E. Merriam & Co.,,1832,1832|||1832-01-01T00:00:00,,,monographic,English,text,print,"xi, 179 p. ; 15 cm.",,,Letter writing,,,,480908,,,,,University of Pittsburgh,collection.120
00z573063m,"child's book of American geography: designed as an easy and entertaining work for the use of beginners : with sixty engravings, and eighteen maps, The",,,"Goodrich, Samuel G. (Samuel Griswold), 1793-1860","Brown, George Loring, 1814-1889|||Bowen, Abel, 1790-1850",Boston,Waitt & Dow,,1832/1831,"1832|||1831|||1832, c1831|||ca. 1832-1831|||1832-01-01T00:00:00",,,monographic,English,text,print,"64 p. : ill. (Some col.), maps ; 18 cm.",,,Description and travel|||Geography|||Textbooks,1800-1870,United States|||America,,573063,,,,,University of Pittsburgh,collection.120
00z792242m,"Chesterfield's art of letter-writing simplified: being a guide to friendly, affectionate, polite and business correspondence : containing a large collection of the most valuable information relative to the art of letter-writing, with clear and complete instructions how to begin and end correspondence, rules for punctuation and spelling, &c. : to which is appended the complete rules of etiquette and the usages of society : containing the most approved rules for correct deportment in fashionable life, together with hints to gentlemen and ladies on irregular and vulgar habits, also, the etiquette of love and courtship, marriage etiquette, &c",,Art of letter-writing simplified|||Complete rules of etiquette,,,New York,Dick & Fitzgerald,,1857,c1857|||1857|||1857-01-01T00:00:00,,,monographic,English,text,print,"68, 64,16 p. ; 17 cm.",,,Letter writing|||Etiquette,,,,792242,,,,,University of Pittsburgh,collection.120
01acf7207m,"Cobb's juvenile reader no. 1: containing interesting, moral, and instructive reading lessons, composed of easy words of one and two syllables : designed for the use of small children in families and school",Juvenile reader no. 1. 1830,,"Cobb, Lyman, 1800-1864",,"Ithaca, N.Y","Andrus, Woodruff, & Gauntlett",,1830,c1830|||1830|||1830-01-01T00:00:00,,,monographic,English,text,print,72 p. : ill. ; 15 cm.,,,Readers (Primary),1800-1870,,,426991,,,,,University of Pittsburgh,collection.120
01ach2440m,"gradual primer, or, Primary school enunciator: The child's first step, taken in the right place, The",,Primary school enunciator|||The child's first step,"Tower, David B. (David Bates), 1808-1868",,New York,Daniel Burgess & Co.,,1855/1853,"1855|||1853|||1855, c1853|||ca. 1855-1853|||1855-01-01T00:00:00",,"New ed.,",monographic,English,text,print,104 p. : ill. ; 17 cm.,,,Readers (Primary),1800-1870,,juvenile,441166,,,,,University of Pittsburgh,collection.120
01z358174m,Elements of useful knowledge: containing a historical and geographical account of the United States : for the use of schools,,,"Webster, Noah, 1758-1843",,New London,"Printed for O.D. Cooke, by E.P Cady",,1807,1807|||1807-01-01T00:00:00,,,monographic,English,text,print,3 v. ; 17 cm.,,,Geography|||Textbooks|||History,"1800-1870|||Colonial period, ca 1600-1775",United States,,358174,,a 33000174,,,University of Pittsburgh,collection.120
02ach1100m,"Cobb's juvenile reader no. 2: containing interesting, moral, and instructive reading lessons, composed of words of one, two, and three syllables : designed for the use of small children, and, in connexion with No. I, to accompany the spelling book in families and schools",Juvenile reader no. 2. 1831,,"Cobb, Lyman, 1800-1864",,Baltimore,Printed and published by Joseph Jewett,,1831,1831|||1831-01-01T00:00:00,,,monographic,English,text,print,144 p. : ill. ; 15 cm.,,,Readers (Elementary),1800-1870,,,440130,,,,,University of Pittsburgh,collection.120
02ack2728m,"speller and definer, or, Class-book no. 2: designed to answer the purposes of a spelling book and to supersede the necessity of the use of a dictionary as a class-book, The",,Class-book no. 2,"Hazen, Edward.",,New York,"Lamport, Blakeman & Law",,1829,c1829|||1829|||1829-01-01T00:00:00,,179th rev. ed.,monographic,English,text,print,215 p. ; 16 cm.,,,Spellers,,,,459497,,,,,University of Pittsburgh,collection.120
03ach2155m,"Cobb's juvenile reader no. 3: containing interesting, historical, moral, and instructive reading lessons, composed of words of a greater number of syllables than the lessons in Nos. I and II, and a greater variety of composition, both in prose and poetry, selected from the writings of the best American and English authors : to which are prefixed observations on the principles of good reading : designed for the use of larger children in families and schools",Juvenile reader no. 3. 1831 (Loomis),,"Cobb, Lyman, 1800-1864",,Pittsburgh,Luke Loomis,,1831,1831|||1831-01-01T00:00:00,,,monographic,English,text,print,216 p. : ill. ; 15 cm.,,,Readers (Elementary),1800-1870,,,440884,,,,,University of Pittsburgh,collection.120
31735035516370,Epochs in American history,,,"Ellis, Edward Sylvester, 1840-1916",,Chicago,A. Flanagan,,1896,c1896|||1896|||1896-01-01T00:00:00,,,monographic,English,text,print,192 p. : ill. ; 19 cm.,,,History,,United States,,1190981,,02005754,,,University of Pittsburgh,collection.120
31735035996432,Expert shorthand speed course: teacher's handbook,,,"Blanchard, Clyde Insley, 1888-","Zoubek, Charles E. (Charles Edward), 1913-1997",New York|||Chicago|||San Francisco|||Boston|||Dallas|||Toronto|||London,The Gregg Pub. Co.,c1945,c1945,,,,monographic,English,text,print,"v, 227 p. ; 21 cm.",,,Shorthand|||Exercises for dictation,,,,1156467,,,,,University of Pittsburgh,collection.120
31735045572330,National penmanship compendium for self-instruction and for use in schools and colleges,,,"Taylor, A. D.",,New York,Horace G. Healey,,1904,1904|||1904-01-01T00:00:00,,,monographic,English,text,print,1 v. (loose leave) : ill. ; 10 x 23 cm.,,,Penmanship,,,,4008096,,,,,University of Pittsburgh,collection.120
31735056711504,"principles of English grammar: adapted to the use of common schools, The",,,"Whiting, Joseph, 1800-1845",,Detroit|||New York,A. McFarran|||Mark H. Newman,,1845/1844,"1845|||1844|||1845, c1844|||ca. 1845-1844|||1845-01-01T00:00:00",,,monographic,English,text,print,60 p. ; 19 cm.,,,English language|||Grammar,,,,360824,,,,,University of Pittsburgh,collection.120
31735057849709,Key to Pearson's Latin prose composition,,,"Inglis, Alexander James, 1879-1924",,New York,American Book Company,,1904,[1904?]|||1904|||1904-01-01T00:00:00,,,monographic,English|||Latin,text,print,105 p. ; 18 cm.,,,Latin language|||Composition and exercises,,,,398826,,,,,University of Pittsburgh,collection.120
